neighbor_scope,support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
all_champions_exploratory,143,Zyra,mage_support,1,110,Varus,,Marksman,False,0.3815242052078247,0.6184757947921753,False,False
all_champions_exploratory,143,Zyra,mage_support,2,104,Graves,,Marksman,False,0.3976914882659912,0.6023085117340088,False,False
all_champions_exploratory,143,Zyra,mage_support,3,6,Urgot,,Fighter,False,0.4049321413040161,0.5950678586959839,False,False
all_champions_exploratory,143,Zyra,mage_support,4,99,Lux,mage_support,Mage,True,0.5491921901702881,0.4508078098297119,True,True
all_champions_exploratory,143,Zyra,mage_support,5,82,Mordekaiser,,Fighter,False,0.6351028680801392,0.36489713191986084,False,False
all_champions_exploratory,147,Seraphine,enchanter,1,86,Garen,,Fighter,False,0.2529652714729309,0.7470347285270691,False,False
all_champions_exploratory,147,Seraphine,enchanter,2,23,Tryndamere,,Fighter,False,0.4012600779533386,0.5987399220466614,False,False
all_champions_exploratory,147,Seraphine,enchanter,3,54,Malphite,,Tank,False,0.43876850605010986,0.5612314939498901,False,False
all_champions_exploratory,147,Seraphine,enchanter,4,8,Vladimir,,Mage,False,0.462346613407135,0.537653386592865,False,True
all_champions_exploratory,147,Seraphine,enchanter,5,26,Zilean,enchanter,Support,True,0.4633070230484009,0.5366929769515991,True,False
all_champions_exploratory,161,Vel'Koz,mage_support,1,429,Kalista,,Marksman,False,0.22149157524108887,0.7785084247589111,False,False
all_champions_exploratory,161,Vel'Koz,mage_support,2,69,Cassiopeia,,Mage,False,0.2754341959953308,0.7245658040046692,False,True
all_champions_exploratory,161,Vel'Koz,mage_support,3,45,Veigar,,Mage,False,0.49709421396255493,0.5029057860374451,False,True
all_champions_exploratory,161,Vel'Koz,mage_support,4,145,Kai'Sa,,Marksman,False,0.5263842344284058,0.47361576557159424,False,False
all_champions_exploratory,161,Vel'Koz,mage_support,5,110,Varus,,Marksman,False,0.5566802024841309,0.44331979751586914,False,False
all_champions_exploratory,201,Braum,warden,1,267,Nami,enchanter,Support,True,0.45179808139801025,0.5482019186019897,False,True
all_champions_exploratory,201,Braum,warden,2,110,Varus,,Marksman,False,0.46626853942871094,0.5337314605712891,False,False
all_champions_exploratory,201,Braum,warden,3,497,Rakan,engage_tank,Support,True,0.545534610748291,0.454465389251709,False,True
all_champions_exploratory,201,Braum,warden,4,31,Cho'Gath,,Tank,False,0.5681170225143433,0.43188297748565674,False,False
all_champions_exploratory,201,Braum,warden,5,27,Singed,,Tank,False,0.5893177390098572,0.4106822609901428,False,False
all_champions_exploratory,223,Tahm Kench,warden,1,526,Rell,engage_tank,Tank,True,0.43318992853164673,0.5668100714683533,False,False
all_champions_exploratory,223,Tahm Kench,warden,2,38,Kassadin,,Assassin,False,0.4345558285713196,0.5654441714286804,False,False
all_champions_exploratory,223,Tahm Kench,warden,3,64,Lee Sin,,Fighter,False,0.5563316345214844,0.4436683654785156,False,False
all_champions_exploratory,223,Tahm Kench,warden,4,2,Olaf,,Fighter,False,0.5622755289077759,0.4377244710922241,False,False
all_champions_exploratory,223,Tahm Kench,warden,5,235,Senna,enchanter,Marksman,True,0.5637311935424805,0.43626880645751953,False,False
all_champions_exploratory,235,Senna,enchanter,1,14,Sion,,Tank,False,0.19050335884094238,0.8094966411590576,False,False
all_champions_exploratory,235,Senna,enchanter,2,498,Xayah,,Marksman,False,0.4157766103744507,0.5842233896255493,False,True
all_champions_exploratory,235,Senna,enchanter,3,90,Malzahar,,Mage,False,0.43664294481277466,0.5633570551872253,False,False
all_champions_exploratory,235,Senna,enchanter,4,117,Lulu,enchanter,Support,True,0.47568851709365845,0.5243114829063416,True,False
all_champions_exploratory,235,Senna,enchanter,5,61,Orianna,,Mage,False,0.528656005859375,0.471343994140625,False,False
all_champions_exploratory,267,Nami,enchanter,1,10,Kayle,enchanter,Fighter,True,0.38531696796417236,0.6146830320358276,True,False
all_champions_exploratory,267,Nami,enchanter,2,201,Braum,warden,Support,True,0.45179808139801025,0.5482019186019897,False,True
all_champions_exploratory,267,Nami,enchanter,3,110,Varus,,Marksman,False,0.4662587642669678,0.5337412357330322,False,False
all_champions_exploratory,267,Nami,enchanter,4,122,Darius,,Fighter,False,0.4982836842536926,0.5017163157463074,False,False
all_champions_exploratory,267,Nami,enchanter,5,516,Ornn,,Tank,False,0.5083147287368774,0.49168527126312256,False,False
