jungle_champion_id,jungle_champion_name,n,mean,median,std,min,max,q10,q25,q75,q90
92,Riven,376,0.595596926713948,0.625,0.14740703121548954,0.1111111111111111,0.8888888888888888,0.375,0.5,0.6666666666666666,0.7777777777777778
78,Poppy,369,0.5793059319482083,0.5555555555555556,0.1546227885589834,0.125,1.0,0.375,0.5,0.6666666666666666,0.7777777777777778
25,Morgana,334,0.6423819028609448,0.6666666666666666,0.1364247420206734,0.1111111111111111,0.8888888888888888,0.5,0.5555555555555556,0.75,0.7777777777777778
82,Mordekaiser,268,0.6251036484245439,0.625,0.13506487959241334,0.2222222222222222,0.8888888888888888,0.5,0.5,0.75,0.7777777777777778
2,Olaf,239,0.6065783356578336,0.625,0.13636402481566204,0.1111111111111111,0.8888888888888888,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
14,Sion,216,0.6286008230452674,0.6666666666666666,0.12975620332957633,0.2222222222222222,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
518,Neeko,191,0.6297993019197208,0.625,0.12990378601619923,0.2222222222222222,0.8888888888888888,0.5,0.5555555555555556,0.75,0.7777777777777778
136,AurelionSol,182,0.6385836385836386,0.6666666666666666,0.1414433298650233,0.125,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
164,Camille,141,0.5332939322301025,0.5555555555555556,0.15226174966738298,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.625,0.6666666666666666
67,Vayne,81,0.5869341563786008,0.625,0.1370675328930531,0.3333333333333333,0.8888888888888888,0.375,0.5,0.6666666666666666,0.7777777777777778
29,Twitch,59,0.6501883239171375,0.625,0.12216001596047066,0.4444444444444444,1.0,0.5,0.5555555555555556,0.75,0.7972222222222225
6,Urgot,55,0.625,0.625,0.10840980734372517,0.375,0.8888888888888888,0.5,0.5555555555555556,0.6666666666666666,0.7777777777777778
10,Kayle,40,0.617013888888889,0.625,0.12607905183200682,0.375,0.8888888888888888,0.4444444444444444,0.5,0.6875,0.7527777777777778
516,Ornn,39,0.6314102564102564,0.625,0.11827448541902265,0.375,1.0,0.5,0.5555555555555556,0.6666666666666666,0.7777777777777778
81,Ezreal,34,0.6450163398692811,0.6666666666666666,0.1220993019242127,0.4444444444444444,0.875,0.5,0.5138888888888888,0.75,0.7777777777777778
145,Kaisa,32,0.6762152777777778,0.6666666666666666,0.13555301700866468,0.375,1.0,0.5555555555555556,0.625,0.7569444444444444,0.865277777777778
111,Nautilus,31,0.6263440860215054,0.625,0.11868594431721083,0.3333333333333333,0.8888888888888888,0.5,0.5555555555555556,0.75,0.75
27,Singed,24,0.5972222222222222,0.5902777777777778,0.1494757343821469,0.25,0.875,0.4444444444444444,0.5,0.6944444444444444,0.7777777777777778
777,Yone,21,0.5548941798941799,0.5555555555555556,0.17907923095172104,0.2222222222222222,0.8888888888888888,0.3333333333333333,0.375,0.6666666666666666,0.75
221,Zeri,18,0.6219135802469136,0.6666666666666666,0.12019217579395529,0.4444444444444444,0.7777777777777778,0.48333333333333334,0.5,0.75,0.75
83,Yorick,18,0.5763888888888888,0.5555555555555556,0.13866403367074565,0.375,0.875,0.4625,0.5,0.6388888888888888,0.7777777777777778
38,Kassadin,18,0.5277777777777778,0.5555555555555556,0.13524635259264886,0.2222222222222222,0.7777777777777778,0.375,0.4444444444444444,0.625,0.6666666666666666
23,Tryndamere,16,0.6362847222222222,0.625,0.12289574000559428,0.5,0.8888888888888888,0.5,0.5555555555555556,0.6666666666666666,0.8263888888888888
44,Taric,15,0.5916666666666667,0.625,0.13463730755454792,0.375,0.7777777777777778,0.4027777777777778,0.5,0.7083333333333333,0.75
119,Draven,14,0.5982142857142857,0.5555555555555556,0.15849484618261128,0.3333333333333333,0.8888888888888888,0.4125,0.5,0.7291666666666666,0.7694444444444445
4,TwistedFate,10,0.6069444444444445,0.625,0.12713370957279335,0.375,0.7777777777777778,0.4875,0.5138888888888888,0.6666666666666666,0.7777777777777778
875,Sett,9,0.5509259259259259,0.5555555555555556,0.1326734248232139,0.375,0.7777777777777778,0.4305555555555555,0.4444444444444444,0.625,0.6888888888888889
74,Heimerdinger,7,0.7043650793650793,0.75,0.14931132325515228,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.8125,0.8805555555555555
42,Corki,7,0.5218253968253969,0.5,0.1491266462231234,0.25,0.6666666666666666,0.3666666666666667,0.4722222222222222,0.6458333333333333,0.6666666666666666
240,Kled,7,0.5218253968253969,0.5,0.08778874420813519,0.375,0.6666666666666666,0.45,0.5,0.5555555555555556,0.6000000000000001
13,Ryze,5,0.6222222222222222,0.5555555555555556,0.14907119849998599,0.4444444444444444,0.7777777777777778,0.4888888888888889,0.5555555555555556,0.7777777777777778,0.7777777777777778
150,Gnar,5,0.6138888888888889,0.6666666666666666,0.1719083160751756,0.375,0.7777777777777778,0.425,0.5,0.75,0.7666666666666667
895,Nilah,5,0.55,0.625,0.25920551691659655,0.125,0.75,0.275,0.5,0.75,0.75
157,Yasuo,5,0.48888888888888893,0.5555555555555556,0.0993807989999907,0.3333333333333333,0.5555555555555556,0.37777777777777777,0.4444444444444444,0.5555555555555556,0.5555555555555556
22,Ashe,4,0.6388888888888888,0.6111111111111112,0.1063807897507042,0.5555555555555556,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.6944444444444444,0.7444444444444445
110,Varus,4,0.5972222222222222,0.5555555555555556,0.12318643236713028,0.5,0.7777777777777778,0.5166666666666667,0.5416666666666667,0.6111111111111112,0.7111111111111111
166,Akshan,4,0.46875,0.4722222222222222,0.07722605239635315,0.375,0.5555555555555556,0.3958333333333333,0.4270833333333333,0.5138888888888888,0.538888888888889
555,Pyke,3,0.6805555555555555,0.6666666666666666,0.06364688465216439,0.625,0.75,0.6333333333333333,0.6458333333333333,0.7083333333333333,0.7333333333333333
96,KogMaw,3,0.6666666666666666,0.6666666666666666,0.11111111111111108,0.5555555555555556,0.7777777777777778,0.5777777777777778,0.6111111111111112,0.7222222222222222,0.7555555555555555
84,Akali,3,0.6296296296296297,0.6666666666666666,0.06415002990995834,0.5555555555555556,0.6666666666666666,0.5777777777777778,0.6111111111111112,0.6666666666666666,0.6666666666666666
18,Tristana,3,0.6203703703703703,0.5555555555555556,0.11226255234242721,0.5555555555555556,0.75,0.5555555555555556,0.5555555555555556,0.6527777777777778,0.7111111111111111
142,Zoe,3,0.5370370370370371,0.5,0.11564811108145182,0.4444444444444444,0.6666666666666666,0.45555555555555555,0.4722222222222222,0.5833333333333333,0.6333333333333333
86,Garen,3,0.47685185185185186,0.5,0.09247677942332491,0.375,0.5555555555555556,0.4,0.4375,0.5277777777777778,0.5444444444444445
202,Jhin,3,0.4259259259259259,0.5,0.17858612520357325,0.2222222222222222,0.5555555555555556,0.2777777777777778,0.3611111111111111,0.5277777777777778,0.5444444444444445
21,MissFortune,2,0.6527777777777778,0.6527777777777778,0.13749298523071754,0.5555555555555556,0.75,0.5750000000000001,0.6041666666666667,0.7013888888888888,0.7305555555555555
1,Annie,2,0.625,0.625,0.1767766952966369,0.5,0.75,0.525,0.5625,0.6875,0.725
58,Renekton,2,0.5902777777777778,0.5902777777777778,0.049104637582399115,0.5555555555555556,0.625,0.5625,0.5729166666666667,0.6076388888888888,0.6180555555555556
3,Galio,2,0.5625,0.5625,0.08838834764831845,0.5,0.625,0.5125,0.53125,0.59375,0.6125
412,Thresh,2,0.5277777777777778,0.5277777777777778,0.039283710065919325,0.5,0.5555555555555556,0.5055555555555555,0.5138888888888888,0.5416666666666667,0.55
893,Aurora,2,0.5277777777777778,0.5277777777777778,0.039283710065919325,0.5,0.5555555555555556,0.5055555555555555,0.5138888888888888,0.5416666666666667,0.55
498,Xayah,2,0.5,0.5,0.1767766952966369,0.375,0.625,0.4,0.4375,0.5625,0.6
39,Irelia,2,0.4027777777777778,0.4027777777777778,0.2160604053625562,0.25,0.5555555555555556,0.28055555555555556,0.3263888888888889,0.4791666666666667,0.525
