matchId,gameDuration,Input_Role,Input_Player_ID,Input_Ally_TOP_ID,Input_Enemy_TOP_ID,Input_Ally_JUNGLE_ID,Input_Enemy_JUNGLE_ID,Input_Ally_MIDDLE_ID,Input_Enemy_MIDDLE_ID,Input_Ally_BOTTOM_ID,Input_Enemy_BOTTOM_ID,Input_Ally_UTILITY_ID,Input_Enemy_UTILITY_ID,Target_GoldDiff_5,Target_XpDiff_5,Target_CsDiff_5,Target_GoldDiff_10,Target_XpDiff_10,Target_CsDiff_10,Target_GoldDiff_15,Target_XpDiff_15,Target_CsDiff_15,Target_GoldDiff_20,Target_XpDiff_20,Target_CsDiff_20,Target_EarlyTakedowns,Target_LaneCsBefore10,Target_DmgTotal,Target_DmgPhys,Target_DmgMagic,Target_DmgTrue,Target_DmgTurret,Target_DmgObj,Target_TotalCS,Target_GoldEarned,Target_DragonTakedowns,Target_BaronTakedowns,Target_RiftHeraldTakedowns,Target_VoidMonsterTakedowns,Target_TurretPlates,Target_MaxCsAdvantage,Target_SoloKills,Target_VisionScore,Target_WardsPlaced,Target_WardsKilled,Target_ControlWardsPlaced,Target_TimeCC,Target_TotalCC,Target_TotalHeal,Target_HealOnTeammates,Target_DamageShielded,Target_DamageTaken,Target_DamageMitigated,Target_KillParticipation,Target_Team_Dragons,Target_Team_Barons,Target_Team_Towers,Target_Team_Inhibitors,Target_Team_RiftHeralds,Target_Team_VoidGrubs,Target_Team_ElderDragons,Target_JgCsBefore10,Target_EnemyJgInvades
EUW1_7712794748,31.1,BOTTOM,523,36,14,266,163,69,950,523,804,117,432,527,-356,2,-217,-1069,-10,243,-1163,-26,-1000,-1956,-47,5,64.0,1180.546623794212,1113.6655948553057,46.141479099678456,20.70739549839228,571.8649517684887,841.6720257234726,263,20323,2,0,1,1,22,7.0,1,0.4823151125401929,0.1929260450160771,0.0643086816720257,0.0,0.5787781350482315,4.405144694533762,227.2990353697749,0.0,0.0,699.0353697749196,542.2186495176849,0.42,3,0,8,1,1,3,0,,
EUW1_7712794748,31.1,UTILITY,117,36,14,266,163,69,950,523,804,117,432,-23,30,-1,169,-102,-2,342,871,1,-79,409,6,7,8.0,389.48553054662375,64.59807073954984,283.9549839228296,40.93247588424437,116.81672025723472,138.39228295819936,30,10587,1,0,0,0,10,11.0,1,3.5691318327974275,1.607717041800643,0.5144694533762058,0.3536977491961414,1.1897106109324758,11.12540192926045,175.65916398713824,123.21543408360128,257.2025723472669,595.3054662379421,337.39549839228295,0.65,3,0,8,1,1,3,0,,
EUW1_7712769883,25.78333333333333,TOP,893,893,24,254,154,61,38,145,81,432,78,-164,131,15,-136,-48,8,-2076,-2363,-8,-918,100,26,2,76.0,684.5119586296056,93.51001939237231,590.9631544925662,0.0,236.0051712992889,300.6205559146736,173,9305,0,1,1,2,13,27.0,1,0.96961861667744,0.387847446670976,0.0387847446670976,0.0387847446670976,0.2327084680025856,7.369101486748545,99.48287007110537,0.0,0.0,754.8287007110536,381.02133160956686,0.43,3,1,10,1,1,3,0,,
EUW1_7712769883,25.78333333333333,JUNGLE,254,893,24,254,154,61,38,145,81,432,78,-225,-430,-11,-349,-93,-5,-51,241,-8,1600,2019,13,3,,551.0924369747898,540.4266321913381,0.0,10.665804783451842,41.88752424046542,1524.240465416936,197,11405,3,1,1,5,4,35.19999995827675,1,1.357466063348416,0.3102779573367808,0.193923723335488,0.0775694893341952,0.96961861667744,9.6961861667744,394.557207498384,0.0,0.0,867.1881060116353,1127.8215901745314,0.47,3,1,10,1,1,3,0,73.0,19.0
EUW1_7712769883,25.78333333333333,MIDDLE,61,893,24,254,154,61,38,145,81,432,78,176,71,16,1117,742,38,743,187,38,1423,1149,44,5,99.0,811.6483516483516,60.387847446670975,744.0853264382675,7.136393018745959,462.6632191338073,579.0562378797673,250,12017,1,1,1,2,21,53.0,0,0.6981254040077569,0.2327084680025856,0.0775694893341952,0.0775694893341952,0.8920491273432449,8.377504848093082,74.3503555268261,0.0,56.12152553329024,574.945054945055,357.9444085326438,0.7,3,1,10,1,1,3,0,,
EUW1_7712769883,25.78333333333333,BOTTOM,145,893,24,254,154,61,38,145,81,432,78,383,-336,-2,204,-217,-5,1746,1020,20,4891,2087,21,3,90.0,1180.5300581771169,804.7058823529411,289.256625727214,86.52876535229476,591.8939883645766,1211.0148674854556,256,16805,2,1,1,2,25,35.0,0,0.96961861667744,0.387847446670976,0.1551389786683904,0.0775694893341952,0.1551389786683904,3.762120232708468,151.0277957336781,0.0,0.0,448.623141564318,280.8791208791209,0.63,3,1,10,1,1,3,0,,
EUW1_7712769883,25.78333333333333,UTILITY,432,893,24,254,154,61,38,145,81,432,78,192,539,2,458,222,-2,1273,2834,6,1829,3368,9,8,13.0,732.333548804137,277.5048480930833,372.7989657401422,81.99095022624434,190.27795733678084,196.2120232708468,36,10053,2,1,1,2,20,10.0,2,3.219133807369101,1.163542340012928,0.3490627020038784,0.1163542340012928,2.210730446024564,11.17000646412411,259.66386554621846,48.75242404654169,0.0,661.3962508080155,663.1803490627019,0.77,3,1,10,1,1,3,0,,
EUW1_7711445675,23.883333333333333,TOP,41,41,904,245,126,166,103,119,145,267,111,-230,-323,-10,-212,-41,-9,30,-67,-12,-1622,-2458,-37,2,64.0,930.062805303559,637.8087927424982,96.97138869504536,195.2826238660153,106.85275645498952,389.22540125610607,163,9074,0,1,0,1,2,1.0,1,0.8374040474528961,0.3768318213538032,0.0418702023726448,0.0,0.3768318213538032,8.960223307745988,234.05443126308444,0.0,0.0,920.4745289602232,464.0474528960223,0.24,3,1,4,0,0,0,0,,
EUW1_7711445675,23.883333333333333,JUNGLE,245,41,904,245,126,166,103,119,145,267,111,-82,-46,-2,357,698,10,97,559,16,1071,1426,16,8,,763.4193998604327,103.04256803907886,552.9378925331473,107.39706908583392,0.0,1105.0383810188416,198,12589,3,1,0,1,0,34.84999996423721,2,1.3398464759246336,0.3349616189811584,0.2512212142358688,0.2512212142358688,0.7955338450802513,21.144452198185625,544.7732030704815,0.0,0.0,1217.083042568039,853.3147243545011,0.59,3,1,4,0,0,0,0,71.0,13.0
EUW1_7711445675,23.883333333333333,MIDDLE,166,41,904,245,126,166,103,119,145,267,111,-38,-68,5,1177,532,10,2603,2518,26,4548,3279,31,8,86.0,1237.2226099092811,951.29099790649,191.9748778785764,93.9148639218423,531.165387299372,531.165387299372,197,14361,0,0,0,0,12,36.0,3,0.7117934403349616,0.418702023726448,0.0,0.0,0.1256106071179344,2.554082344731333,177.78087927424983,0.0,0.0,781.42358688067,550.7606420097698,0.56,3,1,4,0,0,0,0,,
