matchId,teamId,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,SUCCESS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,SUCCESS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,SUCCESS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
7696392898,200,16.2,0-14,14-25,0,3050,0,NEUTRAL,,FARM_HEAVY,1,GROUP,1,42,20,84,799,44
7696395703,100,16.2,0-14,14-25,1,865,0,NEUTRAL,,MIXED,,GROUP,1,110,30,163,799,518
7696395703,200,16.2,0-14,14-25,1,865,0,BOT,1,MIXED,,GROUP,1,202,20,61,14,16
7696397118,100,16.2,0-14,14-25,1,-762,0,NEUTRAL,,FARM_HEAVY,1,GROUP,1,804,200,238,13,201
7696397118,200,16.2,0-14,14-25,1,-762,0,TOP,0,FARM_HEAVY,1,GROUP,1,202,266,63,83,163
7696404030,100,16.2,0-14,14-25,0,7327,1,NEUTRAL,,MIXED,,,,81,245,115,420,267
7696404030,200,16.2,0-14,14-25,0,7327,1,NEUTRAL,,MIXED,,,,110,131,157,8,117
7696405024,100,16.2,0-14,14-25,1,-1672,0,NEUTRAL,,GANK_HEAVY,1,GROUP,0,21,126,134,897,526
7696405024,200,16.2,0-14,14-25,1,-1672,0,NEUTRAL,,MIXED,,GROUP,1,360,121,103,92,99
7696419744,100,16.2,0-14,14-25,1,-338,-1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,147,60,18,23,37
7696419744,200,16.2,0-14,14-25,1,-338,-1,BOT,1,GANK_HEAVY,1,GROUP,1,67,121,61,114,53
7696422655,100,16.2,0-14,14-25,1,240,0,NEUTRAL,,MIXED,,SPLIT,1,202,141,154,126,43
7696422655,200,16.2,0-14,14-25,1,240,0,NEUTRAL,,FARM_HEAVY,0,GROUP,1,498,104,54,127,40
7696423840,100,16.2,0-14,14-25,1,583,0,NEUTRAL,,FARM_HEAVY,1,GROUP,1,115,35,134,36,44
7696423840,200,16.2,0-14,14-25,1,583,0,TOP,0,FARM_HEAVY,0,GROUP,1,360,60,238,24,526
7696429577,100,16.2,0-14,14-25,0,4609,1,NEUTRAL,,FARM_HEAVY,1,,,110,200,245,48,53
7696429577,200,16.2,0-14,14-25,0,4609,1,NEUTRAL,,GANK_HEAVY,1,,,22,77,13,17,147
7696437484,100,16.2,0-14,14-25,0,-4238,-2,NEUTRAL,,MIXED,,,,804,120,800,85,432
7696437484,200,16.2,0-14,14-25,0,-4238,-2,NEUTRAL,,MIXED,,,,99,121,105,14,267
7696438547,100,16.2,0-14,14-25,0,-6675,-2,BOT,1,GANK_HEAVY,1,GROUP,1,145,92,115,875,60
7696438547,200,16.2,0-14,14-25,0,-6675,-2,NEUTRAL,,GANK_HEAVY,1,GROUP,1,429,246,4,150,117
7696441983,100,16.2,0-14,14-25,0,7049,0,BOT,1,MIXED,,,,110,131,157,85,12
7696441983,200,16.2,0-14,14-25,0,7049,0,NEUTRAL,,MIXED,,,,42,24,84,266,37
7696445259,100,16.2,0-14,14-25,0,-3565,-1,NEUTRAL,,GANK_HEAVY,1,,,136,421,80,875,9
7696445259,200,16.2,0-14,14-25,0,-3565,-1,BOT,1,MIXED,,,,202,20,14,904,16
7696445876,100,16.2,0-14,14-25,1,-797,0,BOT,1,MIXED,,GROUP,1,51,35,950,68,143
7696445876,200,16.2,0-14,14-25,1,-797,0,BOT,0,GANK_HEAVY,1,GROUP,1,236,799,103,904,267
7696450109,100,16.2,0-14,14-25,0,-4595,-3,NEUTRAL,,FARM_HEAVY,0,GROUP,1,121,106,61,98,44
7696450109,200,16.2,0-14,14-25,0,-4595,-3,NEUTRAL,,FARM_HEAVY,1,GROUP,1,110,238,84,64,12
7696450867,100,16.2,0-14,14-25,1,-2140,-1,NEUTRAL,,MIXED,,GROUP,1,81,203,134,69,111
7696450867,200,16.2,0-14,14-25,1,-2140,-1,NEUTRAL,,FARM_HEAVY,1,GROUP,1,110,80,163,85,432
7696451389,100,16.2,0-14,14-25,0,5121,2,NEUTRAL,,GANK_HEAVY,1,,,523,154,38,83,117
7696451389,200,16.2,0-14,14-25,0,5121,2,NEUTRAL,,GANK_HEAVY,1,,,81,126,115,92,432
7696459903,100,16.2,0-14,14-25,1,-1931,-1,NEUTRAL,,MIXED,,,,236,238,161,13,201
7696459903,200,16.2,0-14,14-25,1,-1931,-1,BOT,1,MIXED,,,,804,126,111,14,117
7696462270,100,16.2,0-14,14-25,0,5883,1,NEUTRAL,,MIXED,,,,804,91,163,60,12
7696462270,200,16.2,0-14,14-25,0,5883,1,NEUTRAL,,MIXED,,,,15,59,134,67,412
7696464598,100,16.2,0-14,14-25,0,6849,1,BOT,1,FARM_HEAVY,1,,,15,2,84,48,517
7696464598,200,16.2,0-14,14-25,0,6849,1,NEUTRAL,,MIXED,,,,18,887,147,23,497
7696465449,100,16.2,0-14,14-25,1,1661,0,NEUTRAL,,GANK_HEAVY,1,GROUP,1,22,91,136,79,117
7696465449,200,16.2,0-14,14-25,1,1661,0,NEUTRAL,,FARM_HEAVY,1,GROUP,0,18,234,147,86,53
7696467097,100,16.2,0-14,14-25,0,-4542,0,TOP,1,GANK_HEAVY,1,GROUP,1,901,203,38,84,497
7696467097,200,16.2,0-14,14-25,0,-4542,0,BOT,1,MIXED,,GROUP,1,15,121,61,80,555
7696474599,100,16.2,0-14,14-25,0,-6826,0,TOP,1,MIXED,,,,202,163,800,58,43
7696474599,200,16.2,0-14,14-25,0,-6826,0,BOT,1,MIXED,,,,110,36,105,893,53
7696480266,100,16.2,0-14,14-25,1,861,-1,BOT,1,GANK_HEAVY,1,GROUP,1,110,9,517,27,3
7696480266,200,16.2,0-14,14-25,1,861,-1,TOP,1,MIXED,,GROUP,1,145,141,142,34,497
7696488049,100,16.2,0-14,14-25,0,-3680,0,NEUTRAL,,MIXED,,,,202,20,13,14,235
7696488049,200,16.2,0-14,14-25,0,-3680,0,BOT,1,FARM_HEAVY,0,,,236,91,157,82,201
