epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
13,0.681689565617421,0.6829616045790478,1,0.5351,0.5294,0.5188,4541,0.5909,0.5913,0.5889,4219,0.5389,0.5371,0.534,3778
14,0.6805985591133233,0.6821890055023877,1,0.5369,0.5308,0.5186,4541,0.5928,0.5932,0.5906,4219,0.5413,0.5403,0.5397,3778
15,0.6798924196996866,0.6814428550741193,1,0.5367,0.531,0.5209,4541,0.5961,0.5965,0.5945,4219,0.5405,0.5396,0.539,3778
16,0.6779832661051032,0.6805626997084384,1,0.5371,0.5316,0.5222,4541,0.5954,0.5957,0.5943,4219,0.5408,0.5396,0.5387,3778
17,0.6770401272878631,0.6798454675375911,1,0.5435,0.5396,0.5353,4541,0.598,0.5983,0.5972,4219,0.5389,0.5379,0.5371,3778
18,0.6748460706922205,0.6798964972020003,0,0.5413,0.5374,0.5334,4541,0.5997,0.5999,0.599,4219,0.5418,0.5407,0.5397,3778
19,0.674161006432096,0.6796851953274102,1,0.5389,0.5358,0.5334,4541,0.5968,0.5972,0.5947,4219,0.5431,0.5419,0.5407,3778
20,0.6733011807281959,0.6789646705596781,1,0.5391,0.5347,0.5293,4541,0.5961,0.5963,0.5955,4219,0.541,0.5408,0.5408,3778
21,0.6724302025615866,0.6789515965279387,1,0.5437,0.5408,0.5389,4541,0.5985,0.5987,0.598,4219,0.5373,0.537,0.537,3778
22,0.6710293710332635,0.6783412364130295,1,0.5417,0.5391,0.5377,4541,0.6046,0.6048,0.6045,4219,0.5389,0.5383,0.538,3778
23,0.669581178723253,0.678608616334331,0,0.5426,0.5395,0.5371,4541,0.6068,0.6069,0.6066,4219,0.5379,0.5369,0.5361,3778
24,0.6681042554616524,0.6794150612479337,0,0.5378,0.5352,0.5337,4541,0.5975,0.5978,0.5968,4219,0.5312,0.5303,0.5296,3778
25,0.6672935305916516,0.6784545679786282,0,0.5411,0.5391,0.5385,4541,0.6001,0.6003,0.5999,4219,0.5315,0.531,0.5308,3778
26,0.6668005730496647,0.6793560197712403,0,0.5338,0.5323,0.532,4541,0.599,0.599,0.5989,4219,0.541,0.5405,0.5403,3778
27,0.6644940891039957,0.6788617848139729,0,0.5411,0.5384,0.5368,4541,0.5997,0.5998,0.5995,4219,0.5379,0.5373,0.5372,3778
28,0.6645883883114797,0.6793768214897052,0,0.5367,0.5348,0.5343,4541,0.6056,0.6058,0.6052,4219,0.5307,0.5298,0.5292,3778
29,0.6624401247440861,0.6790512507942122,0,0.5393,0.537,0.5359,4541,0.6042,0.6042,0.6042,4219,0.5304,0.5302,0.5302,3778
30,0.6602978882450743,0.6787707244280833,0,0.5428,0.5403,0.539,4541,0.608,0.608,0.6079,4219,0.5349,0.5348,0.5348,3778
31,0.6580660316746448,0.6795694851633256,0,0.5444,0.5423,0.5414,4541,0.603,0.603,0.603,4219,0.5379,0.5378,0.5378,3778
32,0.6573038630074051,0.6797304898147454,0,0.5439,0.5423,0.5419,4541,0.5982,0.5984,0.5979,4219,0.5347,0.5337,0.533,3778
33,0.6561099093980999,0.6797790708073909,0,0.558,0.5557,0.5546,4541,0.6006,0.6008,0.6001,4219,0.5426,0.5414,0.5403,3778
34,0.6541905742006253,0.6798624693439697,0,0.5464,0.5456,0.5456,4541,0.6013,0.6014,0.6012,4219,0.5368,0.5367,0.5367,3778
35,0.6522076208982774,0.6796089487027396,0,0.5541,0.5518,0.551,4541,0.6001,0.6003,0.5998,4219,0.5352,0.5346,0.5344,3778
36,0.6502733244912071,0.6805939814967754,0,0.5492,0.5483,0.5483,4541,0.5952,0.5954,0.5944,4219,0.5365,0.5358,0.5354,3778
37,0.6478889004026371,0.680778985580212,0,0.5523,0.5506,0.5502,4541,0.5987,0.5988,0.5986,4219,0.5418,0.5412,0.541,3778
