epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
18,0.6794982793972577,0.6829126886909989,1,0.5228,0.5214,0.519,5369,0.5908,0.5909,0.5908,5882,0.54,0.5331,0.5205,4930
19,0.6791694447877241,0.6828140301551109,1,0.5211,0.5206,0.5203,5369,0.5928,0.5932,0.5928,5882,0.5458,0.5392,0.528,4930
20,0.6777576036259607,0.6824804995467417,1,0.5264,0.5251,0.5235,5369,0.5966,0.5962,0.5962,5882,0.5396,0.5322,0.5178,4930
21,0.6773720370331392,0.6820739531678395,1,0.5219,0.5215,0.5214,5369,0.5935,0.5929,0.5928,5882,0.5387,0.5324,0.5222,4930
22,0.6764232772255913,0.6821397178265851,0,0.5202,0.5199,0.5199,5369,0.5959,0.5953,0.5952,5882,0.543,0.5366,0.5263,4930
23,0.6755893880340653,0.6822519248713899,0,0.5267,0.5257,0.5244,5369,0.5983,0.5974,0.5971,5882,0.5391,0.5341,0.5282,4930
24,0.6743370320187809,0.6822626181261995,0,0.5265,0.5257,0.5249,5369,0.5925,0.5921,0.5921,5882,0.5414,0.5356,0.5273,4930
25,0.6745445957442023,0.6820817268439355,0,0.5249,0.5247,0.5247,5369,0.5935,0.5934,0.5934,5882,0.5387,0.5331,0.5254,4930
26,0.6738007674765869,0.6826349715089233,0,0.529,0.5286,0.5285,5369,0.5903,0.5897,0.5896,5882,0.5355,0.53,0.5224,4930
27,0.6719327845952636,0.682452722914933,0,0.5241,0.5232,0.5224,5369,0.591,0.5903,0.5901,5882,0.5375,0.5315,0.5222,4930
28,0.67179998508363,0.6825044938150396,0,0.5319,0.5309,0.5298,5369,0.5942,0.5934,0.5933,5882,0.5318,0.5271,0.5218,4930
29,0.670892617182078,0.6823084853425647,0,0.526,0.5247,0.523,5369,0.5886,0.5881,0.5881,5882,0.5351,0.5301,0.5244,4930
30,0.6692843768197267,0.6825608921736832,0,0.5305,0.5299,0.5298,5369,0.5891,0.5886,0.5886,5882,0.5353,0.5288,0.5176,4930
31,0.6681841507579268,0.6827525888401038,0,0.5355,0.534,0.5314,5369,0.5864,0.5852,0.5845,5882,0.5349,0.5284,0.5174,4930
32,0.6672808826272257,0.682638055217246,0,0.5286,0.5279,0.5274,5369,0.5894,0.5891,0.5891,5882,0.5371,0.5327,0.5283,4930
33,0.6659299240701292,0.6833734751352804,0,0.5355,0.5344,0.5332,5369,0.5838,0.5833,0.5832,5882,0.5339,0.5306,0.5285,4930
34,0.6647706211319228,0.6838248698441107,0,0.5293,0.529,0.529,5369,0.5843,0.5841,0.5841,5882,0.5304,0.5257,0.5206,4930
35,0.6622565850791996,0.6841133511812756,0,0.5368,0.5355,0.5338,5369,0.5823,0.5826,0.5823,5882,0.5274,0.5243,0.5225,4930
36,0.661385364540539,0.6845899179502187,0,0.5278,0.5279,0.5278,5369,0.584,0.5839,0.5839,5882,0.5282,0.5242,0.5208,4930
