support_champion_name,rows,v5_mean,v9_mean,backbone_mean,productive_mean,no_productive_share
Rammus,107,0.5029493896972264,0.33350879445544207,0.25853360035603024,1.8981308411214952,0.2616822429906542
Yunara,2,0.5845444594219078,0.33264446240404544,0.21428571428571427,1.5,0.5
Sylas,1353,0.49083352579112466,0.33178289072175804,0.2590724316334072,1.9415373244641538,0.2409460458240946
Singed,116,0.5031367366281267,0.3310424049351309,0.2579946633825944,1.661206896551724,0.28448275862068967
Khazix,4,0.5290131848021147,0.32596845030581817,0.21666666666666667,1.0,0.25
Naafiri,16,0.47009437653638475,0.32534097399238976,0.24464285714285713,1.89375,0.1875
Quinn,48,0.4610595655109892,0.3231010971896189,0.2506200396825397,2.2395833333333335,0.20833333333333334
Bard,22623,0.5061715449920616,0.32096602912950867,0.23839171260600778,1.7744596207399548,0.2669849268443619
Poppy,3414,0.48814069837721186,0.32035421103487915,0.23642703713002483,1.5449912126537786,0.3151728178090217
Qiyana,142,0.4628479049347716,0.31995601066597673,0.24496981891348088,1.6288732394366199,0.2746478873239437
Pantheon,3907,0.48255392700672933,0.3170345194944624,0.23938413348446622,1.7895572050166368,0.2684924494497057
MasterYi,28,0.46983822593813546,0.3117041580181836,0.2470238095238095,2.0142857142857142,0.2857142857142857
Gwen,3,0.5587600526398115,0.30909743197922307,0.20634920634920637,1.0,0.0
Nidalee,977,0.45680756610575013,0.30902591786016465,0.23340400643368914,1.4619242579324463,0.3725690890481064
TwistedFate,176,0.4620332783793005,0.3007620894323565,0.23746617965367964,1.5176136363636366,0.3352272727272727
Cassiopeia,16,0.4656701130433677,0.29945701023586613,0.22671130952380952,1.25,0.3125
Fiora,60,0.4823244430192298,0.29812910749624016,0.22182539682539681,1.5316666666666667,0.35
LeeSin,128,0.4433664781082645,0.29325468630389595,0.22173549107142856,1.61484375,0.2890625
Alistar,13953,0.44976581560309126,0.2895626572254385,0.20620868357376634,1.3165985809503333,0.3895219666021644
Vayne,24,0.44474406862337346,0.287489615546146,0.2265873015873016,0.85,0.4583333333333333
Viego,13,0.4897708640085521,0.28724034939332116,0.22032967032967032,1.9076923076923078,0.3076923076923077
Sejuani,67,0.4221457833200987,0.28675505399786017,0.21597370291400142,1.3970149253731343,0.3880597014925373
Skarner,172,0.4448445849164815,0.2817841160072377,0.20555094130675525,1.2959302325581397,0.37790697674418605
JarvanIV,334,0.4289495562262477,0.27969056909687934,0.20981251782149984,1.5568862275449102,0.3502994011976048
Janna,14180,0.43375721336491035,0.2796370820492195,0.20179595674659145,1.441410437235543,0.36932299012693937
Zoe,1964,0.4219998615809678,0.27935549702604,0.2019560420909708,1.3718940936863544,0.3711812627291242
Rengar,106,0.42352648104569074,0.2786365918359176,0.20835579514824798,1.1330188679245283,0.4339622641509434
Rell,12474,0.4373914077290479,0.27826984231508317,0.19647829389892882,1.4247394580727915,0.36323552990219654
Lucian,6,0.37139438548868675,0.27818754524427963,0.2595238095238095,1.5833333333333333,0.5
Taliyah,333,0.4441300308301211,0.27808624124921794,0.19573502073502072,1.5912912912912913,0.3123123123123123
Blitzcrank,8649,0.4348205857701826,0.2778341755920316,0.19569933766083608,1.2986472424557753,0.37703780783905655
Galio,874,0.4348220880656466,0.2778124136628215,0.1989498202026806,1.3695652173913044,0.36384439359267734
Kennen,81,0.44209844555314565,0.2757750939967757,0.20358612580834803,1.5814814814814815,0.3333333333333333
Ekko,155,0.45853933616336484,0.2756754426849348,0.20125960061443932,1.2767741935483872,0.3870967741935484
RekSai,93,0.428826693273797,0.27049007961367705,0.19178187403993854,1.3849462365591398,0.3978494623655914
Gragas,356,0.42393702078889467,0.2695179100003048,0.19596040663456393,1.2896067415730337,0.42696629213483145
Trundle,447,0.4263510085181109,0.26936903177813,0.20076701821668266,1.3062639821029083,0.39373601789709173
Caitlyn,20,0.38696961522922135,0.26882955595999597,0.21089285714285713,1.0550000000000002,0.4
Katarina,30,0.3925053005132121,0.26715213634495033,0.2114285714285714,1.4633333333333334,0.3333333333333333
Rakan,15160,0.4187952524345345,0.26667354432973633,0.1885969499937178,1.2372625329815305,0.40573878627968335
Aurora,31,0.4444304617230659,0.2650915375881838,0.19957757296466974,1.0419354838709676,0.5483870967741935
Jayce,8,0.4004994149669604,0.2634933828868522,0.17038690476190477,1.7875,0.375
Aatrox,51,0.4176038760773782,0.2632941213958278,0.20529878618113911,1.2549019607843137,0.37254901960784315
Neeko,9380,0.41035881376516287,0.2613960260556364,0.19060412224591328,1.1708955223880597,0.41375266524520254
Maokai,2561,0.421003424724084,0.25995286227821063,0.1798162919990331,1.188481062085123,0.4201483795392425
Draven,6,0.5060098758829714,0.2599482201105772,0.24305555555555555,1.75,0.3333333333333333
Lissandra,201,0.423379399032112,0.25971883594203116,0.18580312722103765,1.254228855721393,0.44776119402985076
Leona,12027,0.41426731404073,0.2595970126498962,0.18104671235751305,1.2042155150910452,0.427704331919847
Nautilus,28879,0.4161522916633062,0.25955534166221694,0.18010393118083826,1.163402472384778,0.4296893936770664
Akali,16,0.45750773603298034,0.25890521016091034,0.19084821428571427,1.3,0.375
Zac,379,0.4161401930410826,0.25640865579804334,0.1837793692674959,1.2968337730870712,0.37994722955145116
Amumu,735,0.410077522446097,0.25580508278830416,0.17855685131195334,1.2726530612244897,0.39591836734693875
Vex,57,0.3740241052170365,0.25396846468993534,0.18437761069340017,1.6350877192982456,0.42105263157894735
Ivern,364,0.3913544429505531,0.2518030639532626,0.18078231292517005,1.1582417582417583,0.45879120879120877
FiddleSticks,1395,0.40524715898064223,0.25065067946194036,0.17480628093531317,1.2180645161290322,0.42867383512544804
Ambessa,7,0.40321796969087076,0.2504081882088847,0.16343537414965986,1.7857142857142858,0.42857142857142855
Viktor,10,0.3310366069824834,0.24918988958242427,0.20714285714285713,1.2,0.3
Zed,127,0.38414554821814856,0.2483107290684254,0.17634045744281965,1.174015748031496,0.33858267716535434
Chogath,62,0.4278986283374816,0.24803577727243817,0.1703917050691244,1.3887096774193548,0.3548387096774194
Lillia,6,0.5004963615376753,0.246149853008134,0.1994047619047619,0.6666666666666666,0.6666666666666666
Rumble,75,0.38463350348380615,0.24481282482270197,0.17725396825396825,1.164,0.44
Karma,27136,0.3872413347731952,0.24396342336506832,0.16751977692610062,1.1212448408018867,0.4542305424528302
Azir,3,0.42629831714600974,0.23981532615736192,0.15079365079365079,0.3333333333333333,0.6666666666666666
Shen,976,0.3665246756514032,0.23744695949564293,0.1654030054644809,1.343545081967213,0.3401639344262295
Syndra,88,0.3674558134801378,0.23664124491214258,0.18038419913419912,1.0409090909090908,0.5454545454545454
Thresh,19852,0.37826721529802937,0.23647650674066964,0.1562087423121576,1.0724813620793876,0.4693733628853516
Teemo,230,0.3954299163259164,0.23429112466080795,0.16907867494824017,0.9365217391304348,0.49130434782608695
KSante,227,0.36486484962245147,0.23221325991050865,0.16774701069855255,0.8740088105726872,0.5154185022026432
Varus,26,0.34711990752718513,0.23014070911005916,0.16062271062271063,0.8846153846153846,0.46153846153846156
Sion,119,0.36901455225619606,0.23001899687330601,0.1790816326530612,1.1445378151260504,0.47058823529411764
Annie,477,0.37199771130762416,0.22915194694048394,0.15732754317659978,1.1073375262054508,0.4528301886792453
Anivia,1592,0.36895101816428216,0.22849928862331922,0.1626689997607083,1.0111180904522614,0.49120603015075376
Brand,1171,0.37611689009297805,0.22678712932083464,0.15613029157008662,1.0350128095644748,0.48334756618274977
Zilean,5960,0.3632546960152771,0.22463635238543336,0.1602161233620965,1.0458389261744967,0.46895973154362414
Diana,6,0.3698428858583782,0.22400677192008192,0.1351190476190476,1.0,0.6666666666666666
Lux,3027,0.356235730341071,0.22063982189181883,0.14926022936429278,1.0584737363726462,0.4886025768087215
TahmKench,1598,0.3611372964860509,0.22010190453150044,0.14911422015614756,0.976720901126408,0.5037546933667084
Morgana,2078,0.3590784735412301,0.21955876878097091,0.149293620239241,1.0008662175168432,0.5052935514918191
Heimerdinger,204,0.3220403712031696,0.2194650398413891,0.16318860877684407,0.6754901960784314,0.6421568627450981
Braum,14668,0.3591134453520027,0.21917929288998722,0.146081930863428,0.9390100899918189,0.5146577583856013
MonkeyKing,27,0.34430105202747513,0.21799215062364202,0.1519400352733686,0.8444444444444444,0.5925925925925926
Sett,65,0.38161031805286233,0.21651748257170605,0.15274725274725276,0.9123076923076923,0.5230769230769231
Urgot,24,0.3509776161356383,0.21565822852153246,0.15243055555555554,1.0875000000000001,0.4583333333333333
Ezreal,131,0.36902367901359234,0.2153247445295039,0.15139949109414758,0.8809160305343512,0.5343511450381679
Ahri,62,0.3674803171675012,0.2144210768073187,0.15518433179723504,0.970967741935484,0.5161290322580645
Zaahen,37,0.3540857438092385,0.21426025023185258,0.13655083655083655,1.3675675675675676,0.43243243243243246
Ornn,58,0.33797542193184604,0.2137388381700979,0.15818965517241376,0.9672413793103448,0.5172413793103449
Garen,4,0.36782030570502466,0.21245417822732576,0.14285714285714285,0.25,0.75
Mel,800,0.33964759793331495,0.2057439748597944,0.1380922619047619,0.918125,0.525
Nasus,109,0.34133274790878043,0.20519160573688938,0.14570773263433814,0.9036697247706422,0.5412844036697247
Malzahar,47,0.33540387606207367,0.2042502657549775,0.1554711246200608,0.5957446808510638,0.6170212765957447
Nami,35437,0.34617523496966535,0.20317630742659926,0.13131865806118703,0.9482151423653244,0.516211868950532
Renata,2483,0.3450582948867364,0.20299159611304116,0.13461922022131445,0.9225130890052355,0.5255739025372533
Nocturne,8,0.4276512580484701,0.20150292967425426,0.11875,0.6,0.375
Velkoz,3327,0.33090794429730797,0.2013193709468199,0.13412304807706069,0.8013525698827773,0.5581605049594229
Udyr,10,0.39160356852379613,0.20092867213561622,0.12142857142857141,0.85,0.5
Taric,4608,0.3223018566844765,0.19946839133270286,0.133974041005291,0.9383463541666666,0.5399305555555556
Yorick,3,0.17541810106374936,0.19820791552165884,0.15595238095238095,0.3333333333333333,0.6666666666666666
Orianna,155,0.32504344878285363,0.19730346394560627,0.13159754224270354,0.8929032258064517,0.5419354838709678
DrMundo,23,0.3797970843254643,0.19724305598012049,0.13524844720496895,0.9347826086956522,0.4782608695652174
Zeri,3,0.4202869176490303,0.19644829618080548,0.1111111111111111,1.4333333333333333,0.3333333333333333
Sona,11424,0.3335971472202456,0.19583762850509623,0.12973793684140322,0.8878063725490195,0.5346638655462185
Veigar,360,0.3373755019787408,0.19583530237929944,0.1419047619047619,0.8402777777777778,0.5444444444444444
Kled,11,0.29141490648567636,0.19416284082632188,0.14891774891774892,0.5454545454545454,0.5454545454545454
Hecarim,1,0.48490093238511056,0.1935046058627184,0.0,4.0,0.0
Swain,1274,0.3265352773337573,0.19215191769801396,0.12653995664199744,0.9055729984301413,0.5172684458398744
Ashe,549,0.33465265643420705,0.19154049751308586,0.12443837279902853,0.8194899817850637,0.5355191256830601
Kindred,36,0.31416723662162244,0.19145883400207106,0.13974867724867723,0.75,0.5277777777777778
Karthus,114,0.3500956233501037,0.18964718480345874,0.11744987468671679,1.269298245614035,0.3333333333333333
Jinx,2,0.32342795621746245,0.18944037064817182,0.25,0.0,1.0
Soraka,7211,0.322337698829907,0.18884429563854196,0.1150555368451638,1.042185549854389,0.43710997087782555
Lulu,22250,0.3220609947644693,0.18835854650208245,0.12265082932049223,0.853447191011236,0.5524044943820224
Hwei,481,0.3161285815153788,0.1853025876398631,0.11777299277299276,0.8041580041580042,0.5634095634095634
Zyra,1605,0.30587259064348576,0.18206650763443613,0.11718736092567869,0.7314641744548287,0.5981308411214953
Senna,10154,0.3087440928364943,0.1806221455492739,0.12003409400001876,0.9760685444159937,0.4894622808745322
Seraphine,7739,0.31412041245586053,0.17952846105651116,0.11407020102264966,0.8050910970409614,0.5629926347073265
Volibear,10,0.28440642186278964,0.17764322444084693,0.13285714285714284,0.4,0.8
Tryndamere,3,0.3527850569489283,0.1749204968775041,0.09722222222222221,1.3333333333333333,0.3333333333333333
Malphite,121,0.319863273756099,0.173558375855737,0.10158402203856749,0.78099173553719,0.5454545454545454
Riven,13,0.4004027168924455,0.17028988307465237,0.11767399267399267,0.15384615384615385,0.8461538461538461
Xerath,864,0.29398963908165204,0.16815271024966127,0.1056699184303351,0.7460648148148148,0.5648148148148148
Ziggs,33,0.31528795228090417,0.16814892791046201,0.12023809523809523,0.5424242424242424,0.5757575757575758
Milio,7935,0.2924578179495655,0.16664488508516556,0.10217316290095117,0.6939130434782609,0.6071833648393195
Kayle,67,0.26659188755031293,0.15881044507133024,0.11728855721393035,0.7283582089552239,0.6119402985074627
MissFortune,49,0.29621967982955266,0.15819203564691187,0.10689990281827016,0.7,0.5306122448979592
Jhin,26,0.3208265762069254,0.15755993119711326,0.08905677655677655,0.8653846153846154,0.46153846153846156
Illaoi,6,0.39798964818052057,0.15182527415352623,0.07142857142857142,0.5,0.5
Kalista,14,0.3080054296111366,0.14842418392713394,0.07695578231292517,0.4642857142857143,0.6428571428571429
Yasuo,15,0.3134691264389877,0.14511413678439727,0.08412698412698412,0.2,0.8
Smolder,4,0.2729814021457173,0.14488663410815905,0.07291666666666666,0.75,0.5
KogMaw,40,0.2341170984505152,0.13751985036713205,0.09770833333333333,0.3825,0.8
Mordekaiser,10,0.2825739323850341,0.13290683018243743,0.07440476190476189,0.5,0.6
Vladimir,10,0.24692354246974962,0.12321001148147388,0.0875,0.3,0.8
Kassadin,4,0.267092381533136,0.11634457572658961,0.0,0.25,0.75
Kaisa,2,0.20813857317837425,0.11257765783680629,0.08333333333333333,0.0,1.0
Olaf,3,0.1853131193710699,0.10940304490885405,0.041666666666666664,0.3333333333333333,0.6666666666666666
Yuumi,4689,0.14909535543748414,0.10355797954588744,0.07233012420152535,0.46468330134357005,0.7344849648112604
Irelia,1,0.17062650472830274,0.08044025423223766,0.0,0.0,1.0
Aphelios,2,0.28460572207350504,0.07596381391456654,0.0,0.0,1.0
Gangplank,4,0.25048977831890884,0.07396564800343394,0.03125,0.5,0.5
Xayah,1,0.2133679840847968,0.04902432136455809,0.0,0.0,1.0
Yone,1,0.11508769516313615,0.04896563335799701,0.0,0.0,1.0
