error_rank,match_id,team_id,minute,event_type,killer,victim,assists,killer_relation,victim_relation,assist_relations,ally_support_involved,ally_adc_involved,ally_support_died,ally_adc_died,ally_support_assist,ally_adc_assist,x,y,nearest_frame_minute,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,out_bot_context_v5,far_from_adc_v5
2,EUW1_7706461344,100,6.1897166666666665,CHAMPION_KILL,"Lucian(BOTTOM,T200,pid9)","Zeri(BOTTOM,T100,pid4)","Sona(UTILITY,T200,pid10)",enemy_bottom,ally_adc,enemy_utility,False,True,False,True,False,False,10294,1681,6.004083333333333,BLUE_BASE,BOT_LANE_CORE,7889.873636503946,False,False
2,EUW1_7706461344,100,6.437416666666667,CHAMPION_KILL,"Graves(JUNGLE,T200,pid7)","KSante(TOP,T100,pid1)",,enemy_jungle,ally_top,,False,False,False,False,False,False,5129,13303,6.004083333333333,BLUE_BASE,BOT_LANE_CORE,7889.873636503946,False,False
2,EUW1_7706461344,100,6.5098,CHAMPION_KILL,"Cassiopeia(MIDDLE,T100,pid3)","TwistedFate(MIDDLE,T200,pid8)","Viego(JUNGLE,T100,pid2)",ally_middle,enemy_middle,ally_jungle,False,False,False,False,False,False,8697,7072,7.004433333333333,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4595.846494390343,True,True
2,EUW1_7706461344,100,7.048416666666666,CHAMPION_KILL,"Lucian(BOTTOM,T200,pid9)","Viego(JUNGLE,T100,pid2)","Sona(UTILITY,T200,pid10)",enemy_bottom,ally_jungle,enemy_utility,False,False,False,False,False,False,7451,3273,7.004433333333333,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4595.846494390343,True,True
2,EUW1_7706461344,100,7.467133333333333,CHAMPION_KILL,"Graves(JUNGLE,T200,pid7)","Yuumi(UTILITY,T100,pid5)",,enemy_jungle,ally_support,,True,False,True,False,False,False,5652,5454,7.004433333333333,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4595.846494390343,True,True
2,EUW1_7706461344,100,7.91035,CHAMPION_KILL,"Graves(JUNGLE,T200,pid7)","Zeri(BOTTOM,T100,pid4)","Lucian(BOTTOM,T200,pid9); Sona(UTILITY,T200,pid10)",enemy_jungle,ally_adc,enemy_bottom; enemy_utility,False,True,False,True,False,False,9644,856,8.004983333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,3850.187527900426,True,False
2,EUW1_7706461344,100,9.2702,CHAMPION_KILL,"Graves(JUNGLE,T200,pid7)","Zeri(BOTTOM,T100,pid4)","TwistedFate(MIDDLE,T200,pid8); Sona(UTILITY,T200,pid10)",enemy_jungle,ally_adc,enemy_middle; enemy_utility,False,True,False,True,False,False,8519,4735,9.005266666666667,MID_LANE,BOT_SIDE_NEAR,3208.092891423189,True,True
2,EUW1_7706461344,100,9.324183333333334,CHAMPION_KILL,"Lucian(BOTTOM,T200,pid9)","Cassiopeia(MIDDLE,T100,pid3)","Graves(JUNGLE,T200,pid7); TwistedFate(MIDDLE,T200,pid8); Sona(UTILITY,T200,pid10)",enemy_bottom,ally_middle,enemy_jungle; enemy_middle; enemy_utility,False,False,False,False,False,False,8873,4310,9.005266666666667,MID_LANE,BOT_SIDE_NEAR,3208.092891423189,True,True
2,EUW1_7706461344,100,9.421666666666667,CHAMPION_KILL,"Lucian(BOTTOM,T200,pid9)","Yuumi(UTILITY,T100,pid5)","Graves(JUNGLE,T200,pid7); TwistedFate(MIDDLE,T200,pid8); Sona(UTILITY,T200,pid10)",enemy_bottom,ally_support,enemy_jungle; enemy_middle; enemy_utility,True,False,True,False,False,False,7592,5761,9.005266666666667,MID_LANE,BOT_SIDE_NEAR,3208.092891423189,True,True
2,EUW1_7706461344,100,10.5765,CHAMPION_KILL,"KSante(TOP,T100,pid1)","Camille(TOP,T200,pid6)",,ally_top,enemy_top,,False,False,False,False,False,False,4311,13467,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
2,EUW1_7706461344,100,10.762516666666667,CHAMPION_KILL,"TwistedFate(MIDDLE,T200,pid8)","KSante(TOP,T100,pid1)","Camille(TOP,T200,pid6); Graves(JUNGLE,T200,pid7)",enemy_middle,ally_top,enemy_top; enemy_jungle,False,False,False,False,False,False,3537,11564,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
3,EUW1_7708715292,200,1.6661333333333332,CHAMPION_KILL,"Teemo(TOP,T200,pid6)","Swain(TOP,T100,pid1)",,ally_top,enemy_top,,False,False,False,False,False,False,1047,10285,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,2.5401,CHAMPION_KILL,"Qiyana(MIDDLE,T100,pid3)","Yasuo(MIDDLE,T200,pid8)",,enemy_middle,ally_middle,,False,False,False,False,False,False,8057,7449,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,2.6258166666666667,CHAMPION_KILL,"Tristana(BOTTOM,T100,pid4)","Senna(UTILITY,T200,pid10)","Blitzcrank(UTILITY,T100,pid5)",enemy_bottom,ally_support,enemy_utility,True,False,True,False,False,False,11832,2035,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,2.7087666666666665,CHAMPION_KILL,"Caitlyn(BOTTOM,T200,pid9)","Tristana(BOTTOM,T100,pid4)","Senna(UTILITY,T200,pid10)",ally_adc,enemy_bottom,ally_support,True,True,False,False,True,False,12713,2723,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
