match_id,team_id,frame_idx,minute,support_x,support_y,support_zone_v5_abs,support_exclusion_reason
EUW1_7696415596,200,8,8.003116666666667,12252.0,1598.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696415596,200,9,9.00365,5597.0,9302.0,RIVER_TOP,support_dead_with_xy
EUW1_7696416882,100,7,7.003233333333333,6781.0,6784.0,MID_LANE,support_dead_with_xy
EUW1_7696416882,200,6,6.0010666666666665,13891.0,11859.0,RED_BASE,support_in_base
EUW1_7696417908,100,8,8.004366666666666,1649.0,2545.0,BLUE_BASE,support_in_base
EUW1_7696417908,200,6,6.0041,13822.0,13223.0,RED_BASE,support_in_base
EUW1_7696417908,200,7,7.0042333333333335,14111.0,4606.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696418485,100,8,8.003916666666667,394.0,461.0,BLUE_BASE,support_in_base
EUW1_7696418485,200,6,6.003283333333333,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696418485,200,9,9.004433333333333,10487.0,2512.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696418485,200,11,11.005016666666666,14198.0,11595.0,RED_BASE,support_in_base
EUW1_7696418721,100,7,7.003566666666667,11602.0,1891.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696418721,200,6,6.003466666666666,14108.0,4990.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696418721,200,10,10.004733333333334,13827.0,12751.0,RED_BASE,support_in_base
EUW1_7696419096,200,5,5.0007,14128.0,13611.0,RED_BASE,support_in_base
EUW1_7696419142,200,11,11.003866666666667,14304.0,14345.0,RED_BASE,support_in_base
EUW1_7696419482,100,10,10.0056,9717.0,1606.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696420352,100,9,9.003183333333334,13717.0,5348.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696420352,200,5,5.002166666666667,14219.0,14020.0,RED_BASE,support_in_base
EUW1_7696420352,200,7,7.002866666666667,14282.0,13538.0,RED_BASE,support_in_base
EUW1_7696420352,200,9,9.003183333333334,13065.0,5806.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696420352,200,11,11.004016666666667,8367.0,8386.0,MID_LANE,support_dead_with_xy
EUW1_7696420357,200,6,6.002966666666667,14196.0,13689.0,RED_BASE,support_in_base
EUW1_7696420357,200,10,10.003816666666667,13439.0,4615.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696421092,100,5,5.0013,2979.0,734.0,BLUE_BASE,support_in_base
EUW1_7696421092,100,7,7.003633333333333,10840.0,2066.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696421092,200,5,5.0013,14149.0,13816.0,RED_BASE,support_in_base
EUW1_7696421092,200,11,11.00485,12983.0,13673.0,RED_BASE,support_in_base
EUW1_7696421341,200,8,8.003516666666666,14196.0,12786.0,RED_BASE,support_in_base
EUW1_7696422039,100,10,10.001366666666666,11084.0,1762.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696422857,100,8,8.003866666666667,10067.0,1510.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696422857,100,9,9.00395,11908.0,4310.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696423013,200,9,9.00365,14272.0,13755.0,RED_BASE,support_in_base
EUW1_7696423840,200,11,11.004516666666667,14321.0,13673.0,RED_BASE,support_in_base
EUW1_7696424817,100,6,6.001916666666666,2044.0,1494.0,BLUE_BASE,support_in_base
EUW1_7696424817,200,6,6.001916666666666,12396.0,1477.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696424817,200,10,10.0051,12321.0,12064.0,RED_BASE,support_in_base
EUW1_7696424817,200,11,11.005566666666667,13740.0,13897.0,RED_BASE,support_in_base
EUW1_7696424842,100,11,11.004966666666666,1698.0,630.0,BLUE_BASE,support_in_base
EUW1_7696424842,200,9,9.004033333333334,8640.0,8534.0,MID_LANE,support_dead_with_xy
EUW1_7696424842,200,11,11.004966666666666,14193.0,14100.0,RED_BASE,support_in_base
EUW1_7696425130,200,9,9.002266666666667,12132.0,4398.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696425531,100,5,5.0026,2714.0,653.0,BLUE_BASE,support_in_base
EUW1_7696425531,200,11,11.004583333333333,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696426517,100,5,5.002833333333333,2495.0,2618.0,BLUE_BASE,support_in_base
EUW1_7696426517,200,9,9.0045,13995.0,4764.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696426517,200,11,11.0052,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696426765,100,10,10.004716666666667,3690.0,10277.0,TOP_SIDE_NEAR,support_dead_with_xy
EUW1_7696426765,200,11,11.00515,12760.0,12942.0,RED_BASE,support_in_base
EUW1_7696427432,100,5,5.002883333333333,2851.0,1382.0,BLUE_BASE,support_in_base
EUW1_7696427432,100,10,10.004966666666666,394.0,461.0,BLUE_BASE,support_in_base
EUW1_7696427432,200,5,5.002883333333333,14362.0,14116.0,RED_BASE,support_in_base
EUW1_7696427432,200,8,8.004066666666667,13080.0,3167.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696427432,200,10,10.004966666666666,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696428269,100,6,6.0011833333333335,1741.0,588.0,BLUE_BASE,support_in_base
EUW1_7696428269,100,10,10.002733333333333,12086.0,5061.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696428269,100,11,11.004283333333333,12657.0,2155.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696428269,200,5,5.00105,12849.0,2851.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696428561,100,8,8.00445,3746.0,798.0,BLUE_BASE,support_in_base
EUW1_7696428561,100,9,9.004633333333333,10967.0,4482.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696428561,200,11,11.00555,14111.0,13823.0,RED_BASE,support_in_base
EUW1_7696428690,200,7,7.003933333333333,6495.0,9687.0,RED_TOP_JUNGLE,support_dead_with_xy
EUW1_7696429277,200,10,10.004233333333334,13722.0,1408.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696429370,100,6,6.0013,2500.0,648.0,BLUE_BASE,support_in_base
EUW1_7696429577,100,6,6.00335,841.0,563.0,BLUE_BASE,support_in_base
EUW1_7696429577,200,10,10.004566666666667,12764.0,2956.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696429577,200,11,11.004583333333333,14060.0,11518.0,RED_BASE,support_in_base
EUW1_7696429744,100,11,11.00405,1325.0,803.0,BLUE_BASE,support_in_base
EUW1_7696429744,200,10,10.003916666666667,14044.0,13700.0,RED_BASE,support_in_base
EUW1_7696431736,200,9,9.004316666666666,14165.0,13580.0,RED_BASE,support_in_base
EUW1_7696431871,200,6,6.00175,10393.0,1367.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696432086,100,5,5.00065,7704.0,6724.0,MID_LANE,support_dead_with_xy
EUW1_7696432086,100,6,6.0010666666666665,11830.0,4860.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696432086,100,11,11.003616666666666,2655.0,2024.0,BLUE_BASE,support_in_base
EUW1_7696432321,200,10,10.002066666666666,14064.0,13803.0,RED_BASE,support_in_base
EUW1_7696432321,200,11,11.002383333333333,11341.0,3289.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696432451,100,11,11.004566666666667,833.0,1098.0,BLUE_BASE,support_in_base
EUW1_7696432451,200,9,9.003816666666667,14021.0,12385.0,RED_BASE,support_in_base
EUW1_7696432451,200,10,10.004233333333334,13715.0,5635.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696432886,200,7,7.002966666666667,12526.0,1936.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696434115,200,9,9.003116666666667,14104.0,4744.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696434115,200,10,10.003516666666666,13032.0,4357.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696434449,100,6,6.003066666666666,14000.0,4764.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696434449,200,6,6.003066666666666,13997.0,4427.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696434449,200,9,9.003783333333333,14076.0,4576.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696434915,100,6,6.003116666666667,778.0,526.0,BLUE_BASE,support_in_base
EUW1_7696435204,100,6,6.002483333333333,2737.0,1382.0,BLUE_BASE,support_in_base
EUW1_7696435204,100,10,10.003033333333333,687.0,544.0,BLUE_BASE,support_in_base
EUW1_7696435824,100,5,5.002366666666667,394.0,461.0,BLUE_BASE,support_in_base
EUW1_7696436627,100,6,6.0014666666666665,10452.0,856.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696436627,200,8,8.00395,14334.0,14379.0,RED_BASE,support_in_base
EUW1_7696437374,100,9,9.002916666666666,13224.0,5473.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696437484,100,7,7.003383333333334,12383.0,2733.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696437484,100,9,9.00375,12888.0,2231.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696437484,200,7,7.003383333333334,14335.0,14356.0,RED_BASE,support_in_base
EUW1_7696438547,200,6,6.000866666666667,14094.0,13610.0,RED_BASE,support_in_base
EUW1_7696438606,200,5,5.0030833333333335,8375.0,7182.0,MID_LANE,support_dead_with_xy
EUW1_7696438652,100,8,8.003583333333333,2713.0,667.0,BLUE_BASE,support_in_base
