model,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds,best_epoch,hidden_dims,dropout,lr,weight_decay,run_id,outdir,wall_seconds
mlp_per_role_raw,raw,0.030631674453616142,0.17501906882855978,0.14100007712841034,0.14971002072091377,0.38709874844237313,0.37284844328693745,0.0756162479519844,0.18980245292186737,0.398394471662134,268322,57314,val,140.59411549568176,17,"[192, 96]",0.4,0.0005,0.0001,049_h192-96_d0p4_lr5em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\049_h192-96_d0p4_lr5em04_wd1em04,141.0242190361023
mlp_per_role_raw,raw,0.03071010671555996,0.17524299334227306,0.14109162986278534,0.1475328703881068,0.38629394895250274,0.3727778525306051,0.07283754646778107,0.18980245292186737,0.38375450552140555,268322,57314,val,285.26348400115967,18,"[256, 128, 64]",0.4,0.0005,0.001,105_h256-128-64_d0p4_lr5em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\105_h256-128-64_d0p4_lr5em04_wd1em03,286.0575821399689
mlp_per_role_raw,raw,0.03069286234676838,0.17519378512598094,0.14113913476467133,0.14801151829291082,0.3861942400083305,0.3727062505691645,0.07186094671487808,0.18980245292186737,0.3786091570927158,268322,57314,val,176.0842854976654,20,"[128, 64]",0.3,0.0005,0.0005,014_h128-64_d0p3_lr5em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\014_h128-64_d0p3_lr5em04_wd5em04,176.56950426101685
mlp_per_role_raw,raw,0.0306396521627903,0.17504185831620475,0.14102409780025482,0.14948855147049434,0.3867759464022922,0.37247080120756043,0.07490157335996628,0.18980245292186737,0.394629111515222,268322,57314,val,141.40887904167175,17,"[192, 96]",0.4,0.0005,0.001,051_h192-96_d0p4_lr5em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\051_h192-96_d0p4_lr5em04_wd1em03,141.83682537078857
mlp_per_role_raw,raw,0.03066878393292427,0.17512505227101083,0.141047865152359,0.1486798871866618,0.3861314809425162,0.3720962199795008,0.07574008405208588,0.18980245292186737,0.39904691897351013,268322,57314,val,219.45807075500488,13,"[256, 128, 64]",0.4,0.001,0.0005,101_h256-128-64_d0p4_lr1em03_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\101_h256-128-64_d0p4_lr1em03_wd5em04,220.1324872970581
mlp_per_role_raw,raw,0.030699092894792557,0.17521156609879543,0.1411534696817398,0.14783858781841086,0.3852194805382597,0.3720925456299608,0.07512533664703369,0.18980245292186737,0.3958080387820868,268322,57314,val,170.77468276023865,19,"[128, 64]",0.3,0.0005,0.001,015_h128-64_d0p3_lr5em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\015_h128-64_d0p3_lr5em04_wd1em03,171.254239320755
mlp_per_role_raw,raw,0.030668135732412338,0.17512320158223563,0.1410769671201706,0.1486979192532336,0.3860625072701613,0.37208009244247464,0.07604220509529114,0.18980245292186737,0.40063868472023434,268322,57314,val,213.73763418197632,13,"[256, 128, 64]",0.4,0.001,0.0001,100_h256-128-64_d0p4_lr1em03_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\100_h256-128-64_d0p4_lr1em03_wd1em04,214.6655514240265
mlp_per_role_raw,raw,0.030690109357237816,0.17518592796579815,0.1410682648420334,0.1480879624308692,0.38578037715921504,0.37187579373894913,0.07761983573436737,0.18980245292186737,0.40895064599781417,268322,57314,val,235.39530730247498,13,"[256, 128, 64]",0.4,0.001,0.001,102_h256-128-64_d0p4_lr1em03_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\102_h256-128-64_d0p4_lr1em03_wd1em03,236.14567160606384
mlp_per_role_raw,raw,0.030714286491274834,0.17525491859367268,0.1412063091993332,0.14741681482522018,0.38469743451435606,0.37169128740129487,0.07522103190422058,0.18980245292186737,0.39631222224080265,268322,57314,val,170.83910012245178,19,"[128, 64]",0.3,0.0005,0.0001,013_h128-64_d0p3_lr5em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\013_h128-64_d0p3_lr5em04_wd1em04,171.35017371177673
mlp_per_role_raw,raw,0.030686240643262863,0.17517488588054755,0.1410350799560547,0.1481953271288835,0.3857746388683296,0.3716756781869161,0.07673183083534241,0.18980245292186737,0.40427207158871253,268322,57314,val,315.35340094566345,30,"[192, 96]",0.4,0.0002,0.0005,053_h192-96_d0p4_lr2em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\053_h192-96_d0p4_lr2em04_wd5em04,316.06984996795654
