epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
30,0.638373462762526,0.6670764813770094,0,0.5613,0.5521,0.5387,2877,0.6395,0.6384,0.6382,3062,0.5582,0.5576,0.5575,2689
31,0.6362558595621848,0.667495102668575,0,0.5659,0.5581,0.5496,2877,0.6349,0.6331,0.6318,3062,0.5567,0.5563,0.5563,2689
32,0.6330135871512838,0.667491131829328,0,0.5714,0.5621,0.549,2877,0.6398,0.639,0.639,3062,0.5545,0.5528,0.5511,2689
33,0.6321695087323133,0.6682869938626104,0,0.5652,0.557,0.5473,2877,0.6417,0.6408,0.6407,3062,0.5467,0.5448,0.5429,2689
34,0.6275967448697679,0.6695552901971562,0,0.568,0.5604,0.5524,2877,0.6332,0.632,0.6315,3062,0.5496,0.549,0.549,2689
35,0.6267087463800072,0.6691418600566497,0,0.5666,0.5582,0.5479,2877,0.6355,0.635,0.6351,3062,0.55,0.5488,0.548,2689
36,0.6241098660906358,0.6719477786630543,0,0.5645,0.5572,0.5501,2877,0.6303,0.63,0.63,3062,0.5459,0.5443,0.5429,2689
37,0.6213639901374197,0.6711053376270429,0,0.5697,0.5621,0.5544,2877,0.6297,0.6287,0.6285,3062,0.5489,0.548,0.5476,2689
38,0.6175454073549326,0.6717891981960755,0,0.5697,0.5611,0.5505,2877,0.631,0.6305,0.6306,3062,0.5493,0.5488,0.5487,2689
39,0.6167455396474719,0.6735042300119416,0,0.5697,0.5619,0.5537,2877,0.6303,0.6295,0.6294,3062,0.5478,0.5474,0.5474,2689
40,0.6120756902468789,0.6738796518337101,0,0.5756,0.5684,0.5616,2877,0.631,0.63,0.6299,3062,0.5426,0.5423,0.5423,2689
