epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
16,1.0726408112069274,1.078044767024755,1,0.5347,0.3373,0.2697,5910,0.424,0.4222,0.4051,5910,0.5592,0.3438,0.282,5910
17,1.0718221386071993,1.0771722752027302,1,0.5328,0.3386,0.2744,5910,0.4347,0.4246,0.4109,5910,0.5579,0.3437,0.2827,5910
18,1.0695015874207523,1.0767384084146439,1,0.5303,0.3402,0.2798,5910,0.4303,0.4257,0.4103,5910,0.5562,0.3445,0.2857,5910
19,1.0684044990039316,1.076183274393356,1,0.5294,0.3394,0.2789,5910,0.4169,0.423,0.4027,5910,0.5535,0.3459,0.2901,5910
20,1.0666184923168769,1.0756693723843183,1,0.5284,0.3415,0.2851,5910,0.4367,0.4278,0.4149,5910,0.5585,0.3438,0.2824,5910
21,1.0654409278669534,1.0754922663499862,1,0.525,0.3429,0.2904,5910,0.4259,0.4301,0.4106,5910,0.5508,0.3443,0.2888,5910
22,1.0639675684991827,1.0755398450567435,0,0.523,0.3445,0.2945,5910,0.4227,0.4237,0.4062,5910,0.5494,0.3485,0.2971,5910
23,1.0639395366061963,1.0752834310386388,1,0.5237,0.3456,0.2959,5910,0.4247,0.4323,0.4115,5910,0.5494,0.3467,0.2941,5910
24,1.0611569207735272,1.0754386170866526,0,0.523,0.3441,0.2952,5910,0.4294,0.4314,0.413,5910,0.544,0.3444,0.2929,5910
25,1.061018468563125,1.0749424752043386,1,0.5156,0.3463,0.3052,5910,0.4235,0.4294,0.4097,5910,0.5425,0.3462,0.2969,5910
26,1.06035661705456,1.074364804737459,1,0.5103,0.3489,0.312,5910,0.4342,0.4347,0.4176,5910,0.5442,0.347,0.2975,5910
27,1.0574200614858198,1.075751010939958,0,0.5091,0.3455,0.3072,5910,0.4225,0.4305,0.4092,5910,0.5391,0.3483,0.3017,5910
28,1.0570763463699677,1.0757229612966883,0,0.5066,0.3469,0.3129,5910,0.4205,0.4279,0.407,5910,0.5415,0.3485,0.3014,5910
29,1.0565229292044986,1.0756801977577144,0,0.5064,0.3485,0.316,5910,0.4269,0.4302,0.4117,5910,0.5452,0.3495,0.3014,5910
30,1.0532010573824448,1.0754828081921677,0,0.4973,0.3464,0.315,5910,0.4323,0.4366,0.4175,5910,0.5416,0.3459,0.2977,5910
31,1.0533256455323015,1.0752497670614174,0,0.5069,0.3512,0.3209,5910,0.4146,0.4261,0.4033,5910,0.5403,0.3475,0.3017,5910
32,1.0505575228463575,1.0752845172752987,0,0.497,0.3477,0.3198,5910,0.423,0.4249,0.4072,5910,0.5428,0.3477,0.3008,5910
33,1.0487207298149717,1.0768501077610022,0,0.503,0.3566,0.3347,5910,0.414,0.4237,0.4008,5910,0.5382,0.3517,0.3106,5910
34,1.0485980285605803,1.0768090914953783,0,0.4895,0.3586,0.3406,5910,0.4249,0.4287,0.4099,5910,0.5457,0.3508,0.3063,5910
35,1.0467107403701936,1.0766581595851685,0,0.4981,0.3555,0.3319,5910,0.4227,0.4326,0.4105,5910,0.5328,0.3504,0.3122,5910
36,1.0454166375642702,1.0766881426377144,0,0.4932,0.3602,0.3455,5910,0.4118,0.4238,0.4008,5910,0.5349,0.351,0.3136,5910
37,1.0438892876032848,1.0772443896017705,0,0.4951,0.3534,0.3349,5910,0.42,0.4323,0.4082,5910,0.5327,0.3495,0.3083,5910
38,1.0402790201900372,1.079112747114927,0,0.4909,0.3602,0.3455,5910,0.4203,0.4345,0.4098,5910,0.5269,0.346,0.3053,5910
39,1.040110426142736,1.0788258912801338,0,0.4846,0.3602,0.3472,5910,0.4171,0.4293,0.406,5910,0.5234,0.347,0.3106,5910
40,1.0390390218211916,1.078937021084445,0,0.4836,0.3538,0.3417,5910,0.4217,0.4298,0.4089,5910,0.5335,0.3507,0.312,5910
41,1.0363495450737916,1.078521970282553,0,0.4893,0.3599,0.347,5910,0.4171,0.4338,0.4076,5910,0.5267,0.3505,0.3119,5910
