support_champion_name,games,mean,median,std,q25,q75
Leblanc,829,0.5187767974531614,0.5170542027481706,0.17667430871617662,0.4058552373027592,0.6415338856588817
Warwick,15,0.5115826678333343,0.5281555608651305,0.17316806882656943,0.3650538866494929,0.6540226939701592
Camille,574,0.5114559364273342,0.5045107972011228,0.17379130773726734,0.3896881692345266,0.6198216107429321
Jax,197,0.5109930579780323,0.5160231659901139,0.2215822845928769,0.3312744463153583,0.6932679446697663
Bard,22623,0.5061715449920616,0.5099430659414063,0.1715288819085577,0.39006200159903576,0.6232204226965404
Draven,6,0.5060098758829714,0.508216375257348,0.3005528709856781,0.346302900065791,0.5871963327230578
Singed,116,0.5031367366281267,0.5079784482855914,0.2032374391398359,0.362346728681993,0.6562997037539671
Rammus,107,0.5029493896972264,0.5041132172594107,0.19475334877623207,0.38596807938250566,0.6581590263999154
Gnar,2,0.500860292793222,0.500860292793222,0.051056349916134613,0.482809147169056,0.5189114384173881
Lillia,6,0.5004963615376753,0.46720576040512524,0.1964034451962938,0.44453435827085264,0.5524081161114454
Pyke,11462,0.4919837306692401,0.49509376713164527,0.1741018955389735,0.37456123052590357,0.6123539276009055
Sylas,1353,0.49083352579112466,0.48490093238511056,0.17914567483300306,0.37080204900140357,0.6154785671649855
Viego,13,0.4897708640085521,0.5133914381775799,0.15319914356566539,0.45244717983721555,0.5947116639633663
Poppy,3414,0.48814069837721186,0.49411898874255583,0.1781708887365774,0.36859994517908595,0.6126334570993475
Hecarim,1,0.48490093238511056,0.48490093238511056,,0.48490093238511056,0.48490093238511056
Pantheon,3907,0.48255392700672933,0.481853743327753,0.18565334404768177,0.3546008676088524,0.6138858258341553
Fiora,60,0.4823244430192298,0.4973670351062066,0.18732084975834512,0.3398271902436496,0.633886341075033
XinZhao,90,0.48129052026785013,0.4559935065520837,0.19149071924707756,0.34427978084659727,0.6461272831481271
Evelynn,17,0.4792759088964981,0.43043989891576023,0.22623391630305809,0.4053600464421103,0.6674789828639933
Renekton,1,0.4787952587223708,0.4787952587223708,,0.4787952587223708,0.4787952587223708
Vi,58,0.4737669532496772,0.44993917281873197,0.1618486497989194,0.3485145112719906,0.6099451935224487
Naafiri,16,0.47009437653638475,0.455173512970525,0.15190688390773946,0.40434539770595834,0.540299388424712
MasterYi,28,0.46983822593813546,0.4467436842673044,0.2278949804035493,0.32203102284582386,0.6264072374779817
Cassiopeia,16,0.4656701130433677,0.43807510018559115,0.22443057961063587,0.29463197233212557,0.6672963096257634
Qiyana,142,0.4628479049347716,0.47814167240564664,0.18344513236172394,0.3260732440453821,0.5851013970906023
TwistedFate,176,0.4620332783793005,0.4663426214898525,0.19205693472556878,0.3167209673827372,0.6090929353336272
Quinn,48,0.4610595655109892,0.4581748034826791,0.1275838259666774,0.3986633912533293,0.5433105480002602
Ekko,155,0.45853933616336484,0.44904091251739897,0.1730892210515365,0.34798161326094873,0.5839715442491182
Akali,16,0.45750773603298034,0.4341643274496504,0.1694839784928022,0.3343739776611529,0.5600163576165023
Nidalee,977,0.45680756610575013,0.45957669188523026,0.20047495841398028,0.31080815663079053,0.5977860980470562
Alistar,13953,0.44976581560309126,0.4503472777849353,0.1789268063257798,0.3242008108355793,0.5736412138065627
Ryze,11,0.4451049024961065,0.4181656955143432,0.17355122188762664,0.362905357607163,0.5549244684616341
Skarner,172,0.4448445849164815,0.4627444405244112,0.17361821658612278,0.3208954091788493,0.5643888404886879
Vayne,24,0.44474406862337346,0.4396779979411373,0.16980642382603736,0.32323168064568625,0.5208340556861192
Aurora,31,0.4444304617230659,0.4531048798533764,0.19296263777367298,0.37308946988675773,0.5275284492046466
Taliyah,333,0.4441300308301211,0.4452553923589698,0.18047002385231775,0.3275408129206012,0.5629607099894846
LeeSin,128,0.4433664781082645,0.4502461123587632,0.21452534190530664,0.2708676021294912,0.6043980182164388
Kennen,81,0.44209844555314565,0.4380872543910924,0.1845994538566772,0.33546059428184405,0.5476257328358193
Rell,12474,0.4373914077290479,0.43837970042777485,0.17689282279988153,0.31385870261273824,0.5611942974214811
Galio,874,0.4348220880656466,0.4280690301325528,0.17457135399038473,0.3134714640967221,0.5422697860840673
Blitzcrank,8649,0.4348205857701826,0.43142994515192074,0.1793367815366314,0.30668841550712944,0.557775257160176
Janna,14180,0.43375721336491035,0.4360147459154716,0.19097753700572967,0.29644258328934914,0.5646184763447386
JarvanIV,334,0.4289495562262477,0.43024305697893417,0.1982322084377515,0.29779062554503694,0.5642402145719628
RekSai,93,0.428826693273797,0.39996933867108225,0.1913579333435292,0.29906975624424414,0.5223656932030998
Chogath,62,0.4278986283374816,0.4395957648846964,0.16969833161111883,0.33413696364650947,0.5299351749558784
Nocturne,8,0.4276512580484701,0.4594479722912278,0.19158977018658696,0.3084325945020566,0.5312434298563851
Trundle,447,0.4263510085181109,0.42115316809615927,0.19450906255732575,0.28939694728715815,0.5700198431930362
Azir,3,0.42629831714600974,0.4253158267749521,0.24069092446900814,0.30570798428701795,0.5463974048194727
Gragas,356,0.42393702078889467,0.42471846459649254,0.19996684389679104,0.2794184992870311,0.550198426080952
Rengar,106,0.42352648104569074,0.43243827439914173,0.1802669794700515,0.2861264703849784,0.5099668077390733
Lissandra,201,0.423379399032112,0.43470328960890486,0.17126320716366034,0.2871311123922919,0.5383252716293798
Sejuani,67,0.4221457833200987,0.39765967971818716,0.1833674184426749,0.28903739270545314,0.5328656057868467
Zoe,1964,0.4219998615809678,0.4199563658863532,0.17963627793681008,0.2901886085349806,0.54325058581988
Maokai,2561,0.421003424724084,0.4194818319961796,0.1777718418624644,0.29567099166705657,0.5392088303553734
Zeri,3,0.4202869176490303,0.45867317660324586,0.18753815700031595,0.3375993671866189,0.5221675975885494
