role_slot,champion_name,n
enemy_bottom,Fiora,226
enemy_bottom,Anivia,216
enemy_bottom,Singed,214
enemy_bottom,Malzahar,203
enemy_bottom,Taliyah,200
enemy_bottom,Sion,186
enemy_bottom,Aurora,167
enemy_bottom,Akshan,159
enemy_bottom,Qiyana,154
enemy_bottom,Viego,131
enemy_bottom,Zoe,126
enemy_bottom,Rengar,101
enemy_bottom,Ahri,95
enemy_bottom,Olaf,84
enemy_bottom,TahmKench,84
enemy_bottom,TwistedFate,69
enemy_bottom,Yone,69
enemy_bottom,Pantheon,64
enemy_bottom,LeeSin,58
enemy_bottom,Irelia,55
enemy_bottom,Zed,55
enemy_bottom,Ryze,54
enemy_bottom,Soraka,54
enemy_bottom,Chogath,50
enemy_bottom,Karma,45
enemy_bottom,Quinn,40
enemy_bottom,Riven,39
enemy_bottom,Akali,38
enemy_bottom,MasterYi,36
enemy_bottom,Sylas,33
enemy_bottom,Annie,31
enemy_bottom,Camille,30
enemy_bottom,DrMundo,28
enemy_bottom,KSante,25
enemy_bottom,Kayle,25
enemy_bottom,Graves,23
enemy_bottom,Lissandra,23
enemy_bottom,Ornn,22
enemy_bottom,Talon,22
enemy_bottom,Kennen,21
enemy_bottom,Kindred,20
enemy_bottom,MonkeyKing,20
enemy_bottom,Morgana,20
enemy_bottom,XinZhao,20
enemy_bottom,Gwen,19
enemy_bottom,Jax,18
enemy_bottom,Kled,18
enemy_bottom,Leblanc,18
enemy_bottom,Azir,17
enemy_bottom,Orianna,17
enemy_bottom,Kayn,15
enemy_bottom,Neeko,15
enemy_bottom,Fizz,14
enemy_bottom,Pyke,14
enemy_bottom,Sona,14
enemy_bottom,Kassadin,13
enemy_bottom,Teemo,13
enemy_bottom,Vex,13
enemy_bottom,Lulu,12
enemy_bottom,Nunu,12
enemy_bottom,RekSai,12
enemy_bottom,Elise,11
enemy_bottom,Jayce,11
enemy_bottom,FiddleSticks,10
enemy_bottom,Galio,10
enemy_bottom,Malphite,10
enemy_bottom,Nautilus,10
enemy_bottom,Urgot,10
enemy_bottom,Ambessa,9
enemy_bottom,Diana,9
enemy_bottom,Nasus,9
enemy_bottom,Zac,9
enemy_bottom,Maokai,8
enemy_bottom,Gangplank,7
enemy_bottom,Nidalee,7
enemy_bottom,Briar,6
enemy_bottom,Renata,6
enemy_bottom,Sett,6
enemy_bottom,Shaco,6
enemy_bottom,Tryndamere,6
enemy_bottom,Aatrox,5
enemy_bottom,Darius,5
enemy_bottom,Garen,5
enemy_bottom,Renekton,5
enemy_bottom,Trundle,5
enemy_bottom,Shen,4
enemy_bottom,Alistar,3
enemy_bottom,Bard,3
enemy_bottom,JarvanIV,3
enemy_bottom,Mordekaiser,3
enemy_bottom,Nami,3
enemy_bottom,Nocturne,3
enemy_bottom,Rumble,3
enemy_bottom,Udyr,3
enemy_bottom,Zaahen,3
enemy_bottom,Belveth,2
enemy_bottom,Blitzcrank,2
enemy_bottom,Gnar,2
enemy_bottom,Gragas,2
enemy_bottom,Khazix,2
enemy_bottom,Rakan,2
enemy_bottom,Rammus,2
enemy_bottom,Sejuani,2
enemy_bottom,Taric,2
enemy_bottom,Vi,2
enemy_bottom,Warwick,2
enemy_bottom,Yorick,2
enemy_bottom,Braum,1
enemy_bottom,Hecarim,1
enemy_bottom,Illaoi,1
enemy_bottom,Ivern,1
enemy_bottom,Janna,1
enemy_bottom,Leona,1
enemy_bottom,Volibear,1
enemy_bottom,Yuumi,1
enemy_jungle,Viego,13317
enemy_jungle,Khazix,12231
enemy_jungle,JarvanIV,11286
enemy_jungle,Diana,8629
enemy_jungle,Talon,8608
enemy_jungle,LeeSin,8520
enemy_jungle,Hecarim,7913
enemy_jungle,DrMundo,7655
enemy_jungle,Ambessa,7521
enemy_jungle,XinZhao,7050
