config_id,start_minute,max_minute,far_adc_threshold,w_outside,w_far,w_xp,rows,coverage,score_mean,score_std,score_p25,score_median,score_p75,rank_score
cfg_104_s6p0_m12_far2500_w0p35-0p4-0p25,6.0,12.0,2500.0,0.35,0.4,0.25,16280,0.9997543601080816,0.3168385229763988,0.1866009556380347,0.170671743374609,0.3022391004120444,0.4416666666666666,0.619225171340731
cfg_090_s6p0_m10_far2800_w0p3-0p45-0p25,6.0,10.0,2800.0,0.3,0.45,0.25,16175,0.9933063129452224,0.2951054436335218,0.210413873986476,0.1235389779977821,0.2584757442116868,0.4351945166462742,0.6187984073952584
cfg_098_s6p0_m11_far2800_w0p35-0p4-0p25,6.0,11.0,2800.0,0.35,0.4,0.25,16267,0.9989560304593466,0.3027912189754159,0.1945732421947947,0.149172643891338,0.2815372537824722,0.4331912153820852,0.6184082316831949
cfg_086_s6p0_m10_far2500_w0p35-0p4-0p25,6.0,10.0,2500.0,0.35,0.4,0.25,16175,0.9933063129452224,0.2961924670280679,0.2076998869470041,0.1305041089611809,0.2632637976346912,0.4341592084881772,0.618201615962326
cfg_066_s5p0_m12_far2200_w0p3-0p45-0p25,5.0,12.0,2200.0,0.3,0.45,0.25,16281,0.9998157700810612,0.3188229010646852,0.1817268298547018,0.1786456962358515,0.3058720574747783,0.4428571428571428,0.6181905142098781
cfg_057_s5p0_m11_far2200_w0p3-0p45-0p25,5.0,11.0,2200.0,0.3,0.45,0.25,16278,0.9996315401621224,0.3090358336905229,0.1880105945337691,0.1642019554160303,0.2907070268688657,0.4341899694110472,0.6180261151792965
cfg_107_s6p0_m12_far2800_w0p35-0p4-0p25,6.0,12.0,2800.0,0.35,0.4,0.25,16280,0.9997543601080816,0.3101964263343022,0.1854543019028714,0.164267624668138,0.29503101252491,0.4355791615169413,0.6175527558917626
cfg_048_s5p0_m10_far2200_w0p3-0p45-0p25,5.0,10.0,2200.0,0.3,0.45,0.25,16265,0.9988332105133874,0.293952993844255,0.1963550709473411,0.1408671016483517,0.2674386701097482,0.4225,0.617113725309747
cfg_089_s6p0_m10_far2800_w0p35-0p4-0p25,6.0,10.0,2800.0,0.35,0.4,0.25,16175,0.9933063129452224,0.2900348163325502,0.2065325299655833,0.1239699461261144,0.2527685400731626,0.4265507774990457,0.6166198787287962
cfg_069_s5p0_m12_far2500_w0p3-0p45-0p25,5.0,12.0,2500.0,0.3,0.45,0.25,16281,0.9998157700810612,0.3102505511739273,0.1798573752201631,0.1714285714285714,0.2958921973484024,0.4315051714752314,0.615915207841365
cfg_060_s5p0_m11_far2500_w0p3-0p45-0p25,5.0,11.0,2500.0,0.3,0.45,0.25,16278,0.9996315401621224,0.300733677405967,0.1860515029392778,0.1566460439056934,0.2803985225513905,0.4236968919100863,0.615777956444038
cfg_065_s5p0_m12_far2200_w0p35-0p4-0p25,5.0,12.0,2200.0,0.35,0.4,0.25,16281,0.9998157700810612,0.3119378524687466,0.1782386263587303,0.1742473901432386,0.2985202915895985,0.4333333333333333,0.615767043441899
cfg_056_s5p0_m11_far2200_w0p35-0p4-0p25,5.0,11.0,2200.0,0.35,0.4,0.25,16278,0.9996315401621224,0.302331696643099,0.1843165778727524,0.16,0.2833844408070395,0.4252542407424118,0.6155770827715067
cfg_091_s6p0_m11_far2200_w0p45-0p35-0p2,6.0,11.0,2200.0,0.45,0.35,0.2,16267,0.9989560304593466,0.2923681810085695,0.1913376985773105,0.1399999999999999,0.2703068358363542,0.4184654497588345,0.6153529610045803
cfg_051_s5p0_m10_far2500_w0p3-0p45-0p25,5.0,10.0,2500.0,0.3,0.45,0.25,16265,0.9988332105133874,0.285901964025626,0.1942906663133356,0.1316656900087899,0.2560959507042253,0.4132763975155279,0.6148841979558196
cfg_047_s5p0_m10_far2200_w0p35-0p4-0p25,5.0,10.0,2200.0,0.35,0.4,0.25,16265,0.9988332105133874,0.2872601405851823,0.1922467338299124,0.1363372093023255,0.2610572448029785,0.4127236217597664,0.6145426535227038
cfg_030_s4p0_m12_far2200_w0p3-0p45-0p25,4.0,12.0,2200.0,0.3,0.45,0.25,16283,0.9999385900270203,0.3104785129435677,0.1744055339441167,0.1769547077128468,0.2974134977732099,0.4290473959873784,0.6143866577854588
cfg_100_s6p0_m12_far2200_w0p45-0p35-0p2,6.0,12.0,2200.0,0.45,0.35,0.2,16280,0.9997543601080816,0.2992876983861151,0.1819615225025034,0.1569029825773034,0.2824662609739471,0.4172289802650191,0.6143231764820147
cfg_072_s5p0_m12_far2800_w0p3-0p45-0p25,5.0,12.0,2800.0,0.3,0.45,0.25,16281,0.9998157700810612,0.3030621545327944,0.1785059333660084,0.164417676618386,0.2883831199620673,0.423244911959753,0.6140720959568919
cfg_063_s5p0_m11_far2800_w0p3-0p45-0p25,5.0,11.0,2800.0,0.3,0.45,0.25,16278,0.9996315401621224,0.2938796412835933,0.1847015982152811,0.15,0.2722114816084869,0.4168125747966579,0.6140021778023641
cfg_082_s6p0_m10_far2200_w0p45-0p35-0p2,6.0,10.0,2200.0,0.45,0.35,0.2,16175,0.9933063129452224,0.2808866819487558,0.2038153555682397,0.1166666666666666,0.2499034749034748,0.4136038343059701,0.6139750995328344
cfg_068_s5p0_m12_far2500_w0p35-0p4-0p25,5.0,12.0,2500.0,0.35,0.4,0.25,16281,0.9998157700810612,0.3043179858991841,0.1766550313619655,0.1684902514109799,0.2887458150914241,0.4230257784583971,0.613767991628957
cfg_021_s4p0_m11_far2200_w0p3-0p45-0p25,4.0,11.0,2200.0,0.3,0.45,0.25,16281,0.9998157700810612,0.3002255931164219,0.1791470545320179,0.1628525444512568,0.2836661765907048,0.4194279984721161,0.6136971200234203
cfg_094_s6p0_m11_far2500_w0p45-0p35-0p2,6.0,11.0,2500.0,0.45,0.35,0.2,16267,0.9989560304593466,0.28555479603695,0.1902098769018608,0.1327001774660385,0.263513986013986,0.4092268031304964,0.6136519375076215
cfg_059_s5p0_m11_far2500_w0p35-0p4-0p25,5.0,11.0,2500.0,0.35,0.4,0.25,16278,0.9996315401621224,0.2949520021679383,0.1826616724020778,0.1540838564781404,0.2742092528545369,0.4169440902258067,0.6136046722352722
cfg_054_s5p0_m10_far2800_w0p3-0p45-0p25,5.0,10.0,2800.0,0.3,0.45,0.25,16265,0.9988332105133874,0.2792379615663577,0.1929380646537672,0.1250533276450511,0.25,0.4040076335877862,0.6131456169660954
cfg_103_s6p0_m12_far2500_w0p45-0p35-0p2,6.0,12.0,2500.0,0.45,0.35,0.2,16280,0.9997543601080816,0.2922812487546655,0.1808854493301301,0.150057203807894,0.273592790637032,0.41,0.6125990646040129
cfg_050_s5p0_m10_far2500_w0p35-0p4-0p25,5.0,10.0,2500.0,0.35,0.4,0.25,16265,0.9988332105133874,0.2801036696352899,0.1905070239965548,0.1307193732193732,0.25,0.4052816686967113,0.6125894463827181
cfg_097_s6p0_m11_far2800_w0p45-0p35-0p2,6.0,11.0,2800.0,0.45,0.35,0.2,16267,0.9989560304593466,0.280032368217848,0.1893725970414697,0.1266404589679126,0.2568707899571341,0.401613495160989,0.6122962679856838
cfg_085_s6p0_m10_far2500_w0p45-0p35-0p2,6.0,10.0,2500.0,0.45,0.35,0.2,16175,0.9933063129452224,0.2742401080177923,0.2025958120041354,0.11237609312595,0.2393264471702173,0.403687927533983,0.6122799216774103
cfg_012_s4p0_m10_far2200_w0p3-0p45-0p25,4.0,10.0,2200.0,0.3,0.45,0.25,16278,0.9996315401621224,0.2846257413702659,0.1849955355359122,0.1404700260963048,0.2618625241127418,0.4040653197690139,0.612239579015888
cfg_033_s4p0_m12_far2500_w0p3-0p45-0p25,4.0,12.0,2500.0,0.3,0.45,0.25,16283,0.9999385900270203,0.3021487364895973,0.1725732920540618,0.1706367193803045,0.2884492959208386,0.4186675343506225,0.6121710299276483
cfg_071_s5p0_m12_far2800_w0p35-0p4-0p25,5.0,12.0,2800.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2979282999959547,0.1755255819914831,0.1623837335063811,0.2820464234959734,0.4155576264356235,0.6121512196371665
cfg_062_s5p0_m11_far2800_w0p35-0p4-0p25,5.0,11.0,2800.0,0.35,0.4,0.25,16278,0.9996315401621224,0.2888595256147172,0.1815385773710849,0.1488480122399486,0.2667849200913387,0.4090885944406115,0.6120492484153301
cfg_029_s4p0_m12_far2200_w0p35-0p4-0p25,4.0,12.0,2200.0,0.35,0.4,0.25,16283,0.9999385900270203,0.3036921173906672,0.1711353076610708,0.1725305092928475,0.2897856958430157,0.4191377836214794,0.6120483107899648
cfg_024_s4p0_m11_far2500_w0p3-0p45-0p25,4.0,11.0,2500.0,0.3,0.45,0.25,16281,0.9998157700810612,0.2921747099660363,0.1772781206227121,0.1564689397477814,0.2739654813890622,0.4101129470822003,0.6115262632205514
cfg_020_s4p0_m11_far2200_w0p35-0p4-0p25,4.0,11.0,2200.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2936035446287018,0.1757103467945416,0.1597082494969818,0.2761433172302737,0.41,0.6113416980046333
cfg_106_s6p0_m12_far2800_w0p45-0p35-0p2,6.0,12.0,2800.0,0.45,0.35,0.2,16280,0.9997543601080816,0.2864694141928309,0.1800208282554388,0.1448390943580413,0.2671315667040941,0.4037561268555854,0.6111773113692386
cfg_053_s5p0_m10_far2800_w0p35-0p4-0p25,5.0,10.0,2800.0,0.35,0.4,0.25,16265,0.9988332105133874,0.274180111893718,0.1893877642413918,0.1247799295774647,0.2457977714556662,0.3985832537408468,0.6110689569078549
cfg_088_s6p0_m10_far2800_w0p45-0p35-0p2,6.0,10.0,2800.0,0.45,0.35,0.2,16175,0.9933063129452224,0.2688521636592143,0.2017354407668645,0.1046990984166891,0.2325742125538182,0.4,0.6109442214345134
cfg_036_s4p0_m12_far2800_w0p3-0p45-0p25,4.0,12.0,2800.0,0.3,0.45,0.25,16283,0.9999385900270203,0.2952232401349418,0.1713313705079886,0.163152954307493,0.2808265582655826,0.4099307136894982,0.6104133541928951
cfg_032_s4p0_m12_far2500_w0p35-0p4-0p25,4.0,12.0,2500.0,0.35,0.4,0.25,16283,0.9999385900270203,0.2962878716538046,0.1695806079239779,0.1670643956721662,0.2824380165289256,0.4098355308530418,0.6101010517214644
cfg_015_s4p0_m10_far2500_w0p3-0p45-0p25,4.0,10.0,2500.0,0.3,0.45,0.25,16278,0.9996315401621224,0.2768147387900964,0.1830128985270731,0.1338001003685711,0.2508142717028724,0.3951450219854379,0.6100825873972024
cfg_027_s4p0_m11_far2800_w0p3-0p45-0p25,4.0,11.0,2800.0,0.3,0.45,0.25,16281,0.9998157700810612,0.2855796429729593,0.1760276024093245,0.15,0.2663709223847019,0.4020940634318243,0.6098320943579199
cfg_011_s4p0_m10_far2200_w0p35-0p4-0p25,4.0,10.0,2200.0,0.35,0.4,0.25,16278,0.9996315401621224,0.2780292614587289,0.1812433561118706,0.1365472337979955,0.2550075559104229,0.3946363464116915,0.6097946292063682
cfg_023_s4p0_m11_far2500_w0p35-0p4-0p25,4.0,11.0,2500.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2864472040505812,0.1741265447902275,0.1536980968858131,0.2677606398171951,0.4010869565217391,0.6094352892877151
cfg_035_s4p0_m12_far2800_w0p35-0p4-0p25,4.0,12.0,2800.0,0.35,0.4,0.25,16283,0.9999385900270203,0.2901318748941108,0.1685410413779595,0.1605831946007628,0.27485408171424,0.4029288804559257,0.6085579824057201
cfg_018_s4p0_m10_far2800_w0p3-0p45-0p25,4.0,10.0,2800.0,0.3,0.45,0.25,16278,0.9996315401621224,0.2703933418125807,0.1817705344152577,0.1269822994815614,0.2456055552476875,0.3884816967310298,0.6084255987681547
cfg_064_s5p0_m12_far2200_w0p45-0p35-0p2,5.0,12.0,2200.0,0.45,0.35,0.2,16281,0.9998157700810612,0.285665160258477,0.1709875488257627,0.1543478260869565,0.2674439461883408,0.3971428571428571,0.6083371817399548
cfg_055_s5p0_m11_far2200_w0p45-0p35-0p2,5.0,11.0,2200.0,0.45,0.35,0.2,16278,0.9996315401621224,0.2769542140828558,0.1770184376392954,0.1397794379579783,0.2556906362326775,0.3916666666666666,0.6083121441894209
cfg_026_s4p0_m11_far2800_w0p35-0p4-0p25,4.0,11.0,2800.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2805849222789573,0.1730820618392218,0.1477691076430572,0.2604834718923198,0.3948572758299721,0.6079494880480886
cfg_014_s4p0_m10_far2500_w0p35-0p4-0p25,4.0,10.0,2500.0,0.35,0.4,0.25,16278,0.9996315401621224,0.2710861480541338,0.1795661126482618,0.1311317293517643,0.2474842843312717,0.3858074788074535,0.6079028334863665
cfg_046_s5p0_m10_far2200_w0p45-0p35-0p2,5.0,10.0,2200.0,0.45,0.35,0.2,16265,0.9988332105133874,0.2633712290894378,0.1849209928839474,0.1166666666666666,0.2346800143010368,0.3780904595695171,0.6075671489397655
cfg_058_s5p0_m11_far2500_w0p45-0p35-0p2,5.0,11.0,2500.0,0.45,0.35,0.2,16278,0.9996315401621224,0.2704969814170901,0.1757256602361273,0.1333333333333333,0.2491567138594405,0.3839533249774234,0.6066328644353174
cfg_067_s5p0_m12_far2500_w0p45-0p35-0p2,5.0,12.0,2500.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2789977770101097,0.169746741364547,0.1477750719504095,0.2606023102310231,0.3894291151284491,0.6066314628519166
cfg_017_s4p0_m10_far2800_w0p35-0p4-0p25,4.0,10.0,2800.0,0.35,0.4,0.25,16278,0.9996315401621224,0.2653782396296754,0.178538330427337,0.1257056035481527,0.2407690302398331,0.3809652145092757,0.6064529171351974
cfg_049_s5p0_m10_far2500_w0p45-0p35-0p2,5.0,10.0,2500.0,0.45,0.35,0.2,16265,0.9988332105133874,0.2571093170082819,0.1835763173543938,0.1123876598686484,0.229156626506024,0.3747825330549756,0.6059113638646682
cfg_061_s5p0_m11_far2800_w0p45-0p35-0p2,5.0,11.0,2800.0,0.45,0.35,0.2,16278,0.9996315401621224,0.2651660644330217,0.1748671262123735,0.1282270930691974,0.2425788935790368,0.3775,0.6053091208313776
cfg_070_s5p0_m12_far2800_w0p45-0p35-0p2,5.0,12.0,2800.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2734068018447841,0.1688720165003901,0.1419031403707907,0.2544943381491604,0.381650581539223,0.6052508503596044
cfg_052_s5p0_m10_far2800_w0p45-0p35-0p2,5.0,10.0,2800.0,0.45,0.35,0.2,16265,0.9988332105133874,0.2519262039844065,0.1827408767148858,0.1066246056782334,0.2220957348880025,0.3689220183486238,0.6046241090680408
cfg_028_s4p0_m12_far2200_w0p45-0p35-0p2,4.0,12.0,2200.0,0.45,0.35,0.2,16283,0.9999385900270203,0.2770165363700824,0.1631759016184789,0.1523711178322101,0.2591146554110157,0.3838003910867754,0.6043253727730703
cfg_019_s4p0_m11_far2200_w0p45-0p35-0p2,4.0,11.0,2200.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2677716573209152,0.1675350365661458,0.1383951571354971,0.2485279805352798,0.3752139086109594,0.6037227274745574
cfg_031_s4p0_m12_far2500_w0p45-0p35-0p2,4.0,12.0,2500.0,0.45,0.35,0.2,16283,0.9999385900270203,0.2705378213503276,0.1619464188463016,0.1471201370545617,0.2525202477930199,0.37594900611288,0.6026607849374661
cfg_010_s4p0_m10_far2200_w0p45-0p35-0p2,4.0,10.0,2200.0,0.45,0.35,0.2,16278,0.9996315401621224,0.2536719143068447,0.1728296970324519,0.1172565694165115,0.2294168731521341,0.361113592468299,0.6023990620521658
cfg_022_s4p0_m11_far2500_w0p45-0p35-0p2,4.0,11.0,2500.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2615098593150596,0.1662828493737742,0.1333333333333333,0.2412182741116751,0.3690644562949223,0.6020947117156747
cfg_034_s4p0_m12_far2800_w0p45-0p35-0p2,4.0,12.0,2800.0,0.45,0.35,0.2,16283,0.9999385900270203,0.2651513241855955,0.1611340707591185,0.1408974160687613,0.2470523049645389,0.368868587972551,0.6013397810783648
cfg_025_s4p0_m11_far2800_w0p45-0p35-0p2,4.0,11.0,2800.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2563803627648888,0.1654736576569015,0.1285714285714285,0.2354813962408898,0.3638713954259197,0.6008260548905787
