matchId,teamId,win,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
7696109407,100,1,16.2,0-14,14-25,1,440,1,NEUTRAL,GANK_HEAVY,GROUP,110,76,166,13,161
7696109407,200,0,16.2,0-14,14-25,1,440,1,BOT,FARM_HEAVY,SPLIT,51,120,7,2,432
7696110990,100,1,16.2,0-14,14-25,1,1137,-1,TOP,FARM_HEAVY,GROUP,42,233,3,518,201
7696110990,200,0,16.2,0-14,14-25,1,1137,-1,NEUTRAL,FARM_HEAVY,GROUP,69,876,246,799,43
7696111588,100,0,16.2,0-14,14-25,1,1715,2,TOP,GANK_HEAVY,GROUP,110,163,157,86,40
7696111588,200,1,16.2,0-14,14-25,1,1715,2,BOT,FARM_HEAVY,GROUP,69,59,432,67,518
7696112699,100,0,16.2,0-14,14-25,1,-464,0,BOT,MIXED,,115,246,950,82,267
7696112699,200,1,16.2,0-14,14-25,1,-464,0,NEUTRAL,MIXED,,202,56,147,114,60
7696114018,100,1,16.2,0-14,14-25,1,710,-1,NEUTRAL,FARM_HEAVY,GROUP,236,59,142,68,412
7696114018,200,0,16.2,0-14,14-25,1,710,-1,TOP,FARM_HEAVY,GROUP,523,234,7,777,37
7696114098,100,0,16.2,0-14,14-25,1,987,1,TOP,MIXED,SPLIT,14,234,517,13,267
7696114098,200,1,16.2,0-14,14-25,1,987,1,TOP,MIXED,GROUP,236,64,103,887,432
7696114808,100,0,16.2,0-14,14-25,1,195,0,BOT,GANK_HEAVY,GROUP,21,234,13,516,111
7696114808,200,1,16.2,0-14,14-25,1,195,0,NEUTRAL,MIXED,SPLIT,147,121,69,8,37
7696115271,100,0,16.2,0-14,14-25,1,882,0,NEUTRAL,FARM_HEAVY,GROUP,15,799,38,154,117
7696115271,200,1,16.2,0-14,14-25,1,882,0,TOP,MIXED,SPLIT,221,28,10,777,350
7696116882,100,0,16.2,0-14,14-25,1,-1591,0,BOT,FARM_HEAVY,GROUP,523,106,268,8,412
7696116882,200,1,16.2,0-14,14-25,1,-1591,0,BOT,GANK_HEAVY,GROUP,29,31,41,69,117
7696118010,100,0,16.2,0-14,14-25,1,-1691,-1,NEUTRAL,MIXED,GROUP,81,234,69,86,888
7696118010,200,1,16.2,0-14,14-25,1,-1691,-1,NEUTRAL,FARM_HEAVY,SPLIT,8,131,246,51,89
7696118812,100,1,16.2,0-14,14-25,1,3481,-1,BOT,MIXED,SPLIT,804,233,101,266,37
7696118812,200,0,16.2,0-14,14-25,1,3481,-1,NEUTRAL,MIXED,GROUP,110,121,157,34,154
7696120185,100,1,16.2,0-14,14-25,1,1146,1,NEUTRAL,MIXED,SPLIT,22,421,134,875,32
