champion_name,count,mean,median,std,q25,q75
JarvanIV,300,0.30757687572102854,0.29340009948955137,0.18474390029014529,0.1635828225076823,0.41526435215325047
Blitzcrank,7662,0.3075439045614022,0.28967904644052467,0.1645972424193008,0.18347867778467103,0.4166666666666667
Aatrox,51,0.30711868047787727,0.29801130627902284,0.17706190364696603,0.20224293694096476,0.43156454783748366
Rengar,92,0.30420595415302176,0.3131361421807385,0.1701679380900698,0.1759996690603449,0.39661064588717954
Zoe,1614,0.30371240628730617,0.2847163502275449,0.1634250748408406,0.18147965663732318,0.40448581463327077
Janna,12618,0.3035536710962898,0.2844781179535515,0.1752802343194132,0.17242280265983073,0.413921499721396
Lissandra,169,0.30174581534804296,0.29131299373467723,0.15811148471865297,0.1761255115961801,0.4079182295573893
Gragas,301,0.30041872289244936,0.28994612443517553,0.18630208666657486,0.15714285714285714,0.3975962004458661
Trundle,407,0.2998453702783642,0.28120336630227316,0.18527796093456564,0.15745642701525053,0.41238905970354733
Maokai,2247,0.2988276650774011,0.2833333333333333,0.1631395398890498,0.17752363653159503,0.4
Chogath,57,0.2958289433864849,0.2831081081081081,0.14558418502783155,0.18820572844946298,0.41239304200852145
Leona,10671,0.29238442650520174,0.27277029528834584,0.1671247386120716,0.1673183487621486,0.3941880198777061
Zac,295,0.2919195405224536,0.2655096904925319,0.18338835728284195,0.1471488965585106,0.4030268948054183
Rakan,13786,0.2914299192928366,0.2766958514777502,0.1607227074708831,0.17077207168073505,0.39350078658729226
Nautilus,25871,0.2903489796709834,0.2764004149377593,0.1582734405720032,0.1723453187718817,0.3916666666666667
Amumu,633,0.2848545764211289,0.2756238200771567,0.16166231675043455,0.15757502420135527,0.3947909553076865
Neeko,8722,0.28364713921781237,0.2654849107355662,0.15815330572898276,0.16424379229757052,0.3855047472293379
Ivern,309,0.2835330871223793,0.2630558428128232,0.17109832586540075,0.14210471422611598,0.4055423782416192
Syndra,60,0.28190095573247015,0.24198541037959462,0.1785846777648489,0.15230422560327167,0.3837710014600521
FiddleSticks,1305,0.2772251554078009,0.2601809954751131,0.1664686445103534,0.15067466266866564,0.3729725337233869
Karma,23653,0.26684791450238804,0.2491747296528173,0.1588279222245221,0.1459981386691484,0.36777891854893907
Teemo,198,0.26677335861418516,0.24577487118509714,0.16728247523456924,0.13795579705422312,0.3578610709132085
Rumble,69,0.26642781282971134,0.23537375607498262,0.17326108340241866,0.1164317410597755,0.39333333333333337
Katarina,25,0.2645832049387211,0.20703441295546554,0.17050731175500503,0.1370404839460214,0.4088381555153707
Sett,52,0.26342565789847017,0.2193760318534764,0.16051596930320183,0.14761392418366595,0.35673095210058653
Zed,120,0.26110818290028465,0.24460985991895084,0.1641932216471135,0.1313141278610892,0.36418688538983846
Brand,990,0.25964946795135274,0.2317929248028347,0.17728185344040367,0.12808080061758734,0.35744038798085365
Thresh,17412,0.25948364509712807,0.24213609207413064,0.15306573401321136,0.14222608886857818,0.3561107727666792
Vex,46,0.2580560540910576,0.2403517917361419,0.1550960744629193,0.1642084423023968,0.34992143274267823
KSante,201,0.2579194771461092,0.24047619047619045,0.1550954326061721,0.13333333333333333,0.35
Ezreal,90,0.25534913648981317,0.20198842419716206,0.17803488946126722,0.13585353339420228,0.3623933565162344
Ahri,48,0.254589163613106,0.2029952433512036,0.1994421195135055,0.11355169880450866,0.34062638159113023
Annie,393,0.24923637577634436,0.2132929092619429,0.17161357038937536,0.12251153192522454,0.33384200354324367
TahmKench,1397,0.24905235738771006,0.2336823734729494,0.14977304399244132,0.1339779005524862,0.336443310920473
Sion,85,0.24559164616534546,0.25600874935666496,0.14972341156387803,0.11703078450844091,0.3619047619047619
Morgana,1753,0.24487678106679384,0.22188519243313762,0.16108010962409888,0.12267867191896453,0.3388132941666385
Lux,2534,0.2440838610384573,0.21944760787757125,0.15960881645800948,0.12278068900007408,0.3360353964344879
Zilean,5300,0.24383734469121365,0.22144403215831787,0.1614765907726149,0.1191959407739179,0.34357349993117614
Braum,13343,0.2432864970440564,0.2242852161785216,0.15117886489592475,0.1270781367055871,0.3383143613061434
Shen,818,0.2431003315284245,0.2180546270168584,0.15780121318412826,0.13132849650937176,0.3239193304423503
Anivia,1065,0.24202594648066325,0.21229976209357657,0.15407644977413995,0.12809694793536802,0.339017521902378
DrMundo,21,0.24187804157245626,0.2246584699453552,0.12158571844480419,0.180248387867208,0.3050936500685244
Ornn,41,0.24053365790868228,0.1921719602181585,0.1667257117621506,0.12329627931851173,0.2833333333333333
Heimerdinger,172,0.23564552510594636,0.19972576673382586,0.1692808159155857,0.11731947003005894,0.3311308214263816
Zaahen,30,0.23559206366892035,0.20198746262427372,0.16360808184948952,0.10802336803558307,0.31524768620577426
Urgot,21,0.23438563430681236,0.2021895492155045,0.18536288952325,0.09330070357907616,0.29830893488137306
Mel,697,0.23293395046349108,0.2062118691070438,0.1542587640686908,0.11097085658605721,0.32485000810766984
Karthus,103,0.227071957865839,0.19230458609749068,0.15595904091217636,0.10286305873748439,0.3312130837923011
Renata,2179,0.2265630782546803,0.2,0.14895011325581867,0.11011603375527426,0.32325166316013
Varus,24,0.2263012651776237,0.185785658333671,0.17347186036055937,0.12143954546208131,0.30656296023564067
Nasus,92,0.22538281300328827,0.19923312086360845,0.15192171970131063,0.10752527356608682,0.32580320541407143
Nami,31107,0.22499688211067967,0.2,0.1502229680845834,0.10942417859324596,0.3156109096598919
Velkoz,2823,0.2230785591188721,0.2,0.14560254744468204,0.11340153625580601,0.311081569321729
Veigar,328,0.21803434556852513,0.1854592379438143,0.15367962166540805,0.10939102680166156,0.2993716153813861
Kindred,36,0.21791375543530545,0.18462811821772812,0.18038716049188944,0.10057729238195312,0.29614280412191074
Sona,10084,0.2161981934522519,0.18645527983272503,0.15276074215024313,0.09947846190827306,0.3048890888270281
Swain,1167,0.21584898417627135,0.19368481302467566,0.14385592466381847,0.10439719678476125,0.3015514585114143
Taric,4232,0.21424342338483746,0.1885514762982053,0.15305951583768135,0.09575070512112693,0.30307419834735727
Hwei,407,0.21396514665073435,0.1891075219896876,0.14143627113229115,0.09965671696589198,0.2967601335697966
Ashe,470,0.2119687374681953,0.17709992433570476,0.15127831402118894,0.10229413460615089,0.291314539949601
Lulu,19513,0.20760708376061907,0.18286987900658033,0.1452715322622052,0.09536285040607806,0.2918125171813433
Soraka,6096,0.20696327127740158,0.18193760504164905,0.14305274820883182,0.09769108689506287,0.2884691054000564
MonkeyKing,23,0.20548421875248693,0.18526080084299262,0.1304275474797364,0.13403465275298626,0.22878269132604995
Orianna,131,0.20291182261734148,0.17460063897763578,0.14953089709571205,0.0735661268556005,0.28998188315409984
Zyra,1333,0.20205472870344102,0.173460211874846,0.1391294706872412,0.09598066949552095,0.28507242818561257
Malphite,110,0.20169590789184408,0.17733821246736375,0.1315904321232633,0.09876098817823581,0.28314693411921604
Seraphine,6120,0.19915754909867098,0.17398778641758147,0.14020276277081348,0.09237425763060245,0.2800822763132953
Senna,9009,0.1976372065922743,0.16666666666666666,0.15024912967713128,0.08333333333333333,0.28022613065326635
Milio,6756,0.1844312386213246,0.15791131617033966,0.1380540981815456,0.07879360635140292,0.26205654777037307
Xerath,708,0.1824484910875684,0.15744444593481738,0.13090645551927074,0.08350733110616182,0.2521868966445331
Ziggs,26,0.1705249152783224,0.13970755995001094,0.12087049673120301,0.08552537141277416,0.2075280060761782
MissFortune,32,0.16341190544365763,0.13178590044305444,0.13410211586264772,0.06937957358755895,0.20669778470800917
Kayle,53,0.16306932924098036,0.14166666666666666,0.13894555856311228,0.04953505007153073,0.23664302600472814
KogMaw,31,0.15987878121688076,0.15714285714285714,0.09429094861843432,0.10081490834554557,0.2215897665254425
Yuumi,3921,0.0930763934445403,0.05703471678412946,0.11890805893669593,0.010551948051948035,0.12386723091390953
