model,variant_id,feature_set,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds
histgbr,v5_frame_rebuild,champions_only,quantile,0.07307719361981901,0.2703279371796763,0.2294002734364621,0.15203790780273974,0.39004813330905835,0.3804454805314399,0.11200767427367558,0.29356393218040466,0.3815443996875038,268423,57335,val,3.6718497276306152
histgbr,v5_geometry,champions_only,quantile,0.07307719361981901,0.2703279371796763,0.2294002734364621,0.15203790780273974,0.39004813330905835,0.3804454805314399,0.11200767427367558,0.29356393218040466,0.3815443996875038,268423,57335,val,2.2742621898651123
histgbr,v5_frame_rebuild,no_spells,quantile,0.07307714214827794,0.27032784197762155,0.2294001683071039,0.15203850506042704,0.39004885049263727,0.3804450752559847,0.11200848358953161,0.29356393218040466,0.38154715655157095,268423,57335,val,3.3104658126831055
histgbr,v5_geometry,no_spells,quantile,0.07307714214827794,0.27032784197762155,0.2294001683071039,0.15203850506042704,0.39004885049263727,0.3804450752559847,0.11200848358953161,0.29356393218040466,0.38154715655157095,268423,57335,val,2.3977770805358887
histgbr,events_light_85_10_05,no_spells,raw,0.024241823264866864,0.15569785889621882,0.12594353150123108,0.15528755221912116,0.3941436456432305,0.38013399132477016,0.06552091114767147,0.1694057732820511,0.38676905679349455,268423,57335,val,2.3309009075164795
histgbr,events_light_85_10_05,no_side,raw,0.02424342191910974,0.15570299264660825,0.12591355101395219,0.15523184670869394,0.39404203546320377,0.3801256847188844,0.06583658372371685,0.1694057732820511,0.38863246776190236,268423,57335,val,3.8349430561065674
histgbr,events_light_85_10_05,champions_only,quantile,0.07054591456869103,0.2656048090089692,0.22529339530787673,0.15202015172379868,0.3899628803049011,0.3799925976109476,0.11072693686043006,0.2884318232536316,0.3838929269710391,268423,57335,val,2.1964354515075684
histgbr,v5_frame_rebuild,champions_only,raw,0.03044994630436417,0.174499129809762,0.14056961879388868,0.15497728363553875,0.3937850325280592,0.3799275207174272,0.07309685290974688,0.18982748687267303,0.38506990802009966,268423,57335,val,4.398845672607422
histgbr,v5_geometry,champions_only,raw,0.03044994630436417,0.174499129809762,0.14056961879388868,0.15497728363553875,0.3937850325280592,0.3799275207174272,0.07309685290974688,0.18982748687267303,0.38506990802009966,268423,57335,val,2.1225531101226807
histgbr,v5_frame_rebuild,no_spells,raw,0.030450235682833632,0.17449995897659584,0.1405691655010541,0.15496925303417486,0.3937747598129274,0.3799190275856344,0.07309527250530212,0.18982748687267303,0.38506158254273704,268423,57335,val,2.9732778072357178
histgbr,v5_geometry,no_spells,raw,0.030450235682833632,0.17449995897659584,0.1405691655010541,0.15496925303417486,0.3937747598129274,0.3799190275856344,0.07309527250530212,0.18982748687267303,0.38506158254273704,268423,57335,val,2.373730421066284
histgbr,events_light_85_10_05,champions_only,raw,0.024260205565664952,0.15575687967362775,0.12596525270683928,0.15464701631002964,0.39328751768731357,0.37942200283880156,0.06585114075150963,0.1694057732820511,0.38871839770107003,268423,57335,val,2.495959758758545
