model,variant_id,feature_set,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds
histgbr,events_combat_only_80_20,no_side,quantile,0.07241049783882096,0.26909198768975073,0.2285130329622069,0.14171522370685186,0.3764697287617491,0.36739268417643484,0.10847119116281342,0.29045915603637695,0.3734473123278942,268423,57335,val,4.055745363235474
histgbr,events_combat_only_80_20,champions_only,raw,0.029856535231364154,0.17279043732615573,0.13927086554100804,0.14420671188212908,0.3798318977803742,0.367463053824134,0.06949813051012603,0.186782106757164,0.3720813075552294,268423,57335,val,2.221128463745117
histgbr,events_combat_only_80_20,champions_only,quantile,0.07245326787667508,0.26917144699368667,0.22868172975080656,0.141208268590297,0.37582539638363743,0.3664715313271996,0.10755154318822706,0.29045915603637695,0.37028112542872416,268423,57335,val,2.1104438304901123
histgbr,events_combat_strong_65_35,all,raw,0.037012749016546186,0.1923869772529996,0.15590730245322576,0.12205295723316012,0.34942900572056795,0.342906939855041,0.07034225705283399,0.20532485842704773,0.3425900672315657,268423,57335,val,11.138718366622925
histgbr,events_combat_strong_65_35,all,quantile,0.07396457956026227,0.2719642983192137,0.2315726605478826,0.12312565018724353,0.3508956494832876,0.341955013017545,0.102088854803153,0.2904311716556549,0.3515079122574109,268423,57335,val,7.1758105754852295
histgbr,events_combat_strong_65_35,no_spells,raw,0.037035093725556884,0.19244504079231786,0.1559341929891338,0.12152293793660218,0.348635617277964,0.3420820045107234,0.07059963030620957,0.20532485842704773,0.34384356013713624,268423,57335,val,2.605989456176758
histgbr,events_combat_strong_65_35,no_spells,quantile,0.07392929770150737,0.2718994257101463,0.23162792319141398,0.12354392819463322,0.3515268170026164,0.34264475912212755,0.10062121805544638,0.2904311716556549,0.3464546091310967,268423,57335,val,2.3010873794555664
histgbr,events_combat_strong_65_35,no_side,raw,0.03726318508470516,0.19303674542611093,0.1565475703989825,0.11611258232763688,0.3407877772241621,0.33591191204924103,0.06899845603502278,0.20532485842704773,0.3360453116276617,268423,57335,val,6.023346185684204
histgbr,events_combat_strong_65_35,no_side,quantile,0.07430429076802628,0.27258813394575027,0.2323879220389718,0.1190982623996949,0.34514826209201777,0.3361730323049155,0.09871039360695227,0.2904311716556549,0.3398753413562187,268423,57335,val,4.205147743225098
histgbr,events_combat_strong_65_35,champions_only,raw,0.03727386467080637,0.19306440549932133,0.15659303208991912,0.11585926120762635,0.34042342410813065,0.3353861543407318,0.06881372030723784,0.20532485842704773,0.3351455875065779,268423,57335,val,2.2796151638031006
