epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
23,support_roam_label,0.3475,0.3707,0.2727,5877
23,team_tendency_label,0.3044,0.3465,0.2504,5910
24,jungle_presence_label,0.3918,0.3494,0.2294,5820
24,support_roam_label,0.3507,0.3746,0.276,5877
24,team_tendency_label,0.3039,0.3464,0.2523,5910
25,jungle_presence_label,0.3912,0.3508,0.2348,5820
25,support_roam_label,0.3464,0.3712,0.2744,5877
25,team_tendency_label,0.3059,0.3488,0.2547,5910
26,jungle_presence_label,0.3909,0.3519,0.2384,5820
26,support_roam_label,0.3471,0.3734,0.2772,5877
26,team_tendency_label,0.3056,0.3481,0.2525,5910
27,jungle_presence_label,0.3936,0.3559,0.2442,5820
27,support_roam_label,0.3473,0.3743,0.2783,5877
27,team_tendency_label,0.3024,0.3444,0.2496,5910
28,jungle_presence_label,0.3957,0.3604,0.252,5820
28,support_roam_label,0.3505,0.3789,0.2824,5877
28,team_tendency_label,0.3054,0.3481,0.2534,5910
29,jungle_presence_label,0.3935,0.3608,0.2561,5820
29,support_roam_label,0.3495,0.3774,0.281,5877
29,team_tendency_label,0.3112,0.3549,0.2592,5910
30,jungle_presence_label,0.3931,0.3598,0.2542,5820
30,support_roam_label,0.3485,0.3764,0.2805,5877
30,team_tendency_label,0.3108,0.3549,0.2604,5910
31,jungle_presence_label,0.3931,0.3603,0.2552,5820
31,support_roam_label,0.3468,0.3771,0.2819,5877
31,team_tendency_label,0.3098,0.3533,0.2579,5910
32,jungle_presence_label,0.3923,0.3614,0.2586,5820
32,support_roam_label,0.3507,0.3815,0.2852,5877
32,team_tendency_label,0.3102,0.354,0.2594,5910
33,jungle_presence_label,0.3918,0.3619,0.26,5820
33,support_roam_label,0.3473,0.3771,0.2818,5877
33,team_tendency_label,0.3102,0.3543,0.2603,5910
34,jungle_presence_label,0.3904,0.362,0.2615,5820
34,support_roam_label,0.3498,0.3803,0.2843,5877
34,team_tendency_label,0.3093,0.3532,0.2591,5910
35,jungle_presence_label,0.3912,0.3623,0.2617,5820
35,support_roam_label,0.3538,0.3858,0.2887,5877
35,team_tendency_label,0.3154,0.3599,0.2638,5910
36,jungle_presence_label,0.3919,0.3662,0.2676,5820
36,support_roam_label,0.349,0.3795,0.2837,5877
36,team_tendency_label,0.3124,0.3567,0.2619,5910
37,jungle_presence_label,0.3923,0.37,0.2738,5820
37,support_roam_label,0.3485,0.3792,0.2835,5877
37,team_tendency_label,0.311,0.3552,0.2609,5910
38,jungle_presence_label,0.3926,0.3663,0.2674,5820
38,support_roam_label,0.3466,0.3756,0.2804,5877
38,team_tendency_label,0.3161,0.3608,0.2645,5910
39,jungle_presence_label,0.39,0.3631,0.2637,5820
39,support_roam_label,0.3517,0.3852,0.2885,5877
39,team_tendency_label,0.3112,0.3557,0.2616,5910
40,jungle_presence_label,0.3921,0.3684,0.2716,5820
40,support_roam_label,0.3493,0.3809,0.285,5877
40,team_tendency_label,0.3125,0.3567,0.2613,5910
41,jungle_presence_label,0.3888,0.3653,0.2688,5820
41,support_roam_label,0.3422,0.3722,0.2782,5877
41,team_tendency_label,0.3144,0.3598,0.2649,5910
42,jungle_presence_label,0.3914,0.3706,0.2753,5820
42,support_roam_label,0.3447,0.3762,0.2816,5877
42,team_tendency_label,0.3181,0.3635,0.2673,5910
43,jungle_presence_label,0.3897,0.3677,0.272,5820
43,support_roam_label,0.3458,0.3767,0.2819,5877
43,team_tendency_label,0.3168,0.3616,0.2653,5910
44,jungle_presence_label,0.3866,0.3659,0.2712,5820
44,support_roam_label,0.3437,0.375,0.2806,5877
44,team_tendency_label,0.3125,0.3574,0.263,5910
45,jungle_presence_label,0.389,0.3696,0.2753,5820
45,support_roam_label,0.3451,0.3774,0.2827,5877
45,team_tendency_label,0.3105,0.3544,0.2599,5910
46,jungle_presence_label,0.3904,0.3695,0.2743,5820
46,support_roam_label,0.3451,0.3781,0.2832,5877
46,team_tendency_label,0.3147,0.3596,0.2642,5910
47,jungle_presence_label,0.3881,0.3692,0.2748,5820
47,support_roam_label,0.3406,0.3725,0.2788,5877
47,team_tendency_label,0.3161,0.3611,0.2654,5910
