model,trained_target,decile,n,pred_mean,true_mean,true_std,abs_error_mean,true_q25,true_q75
HistGBT,raw,1,5747,0.2653137609546119,0.2641513176652612,0.17145579604839284,0.13201147506223315,0.13464281265278938,0.37559113149302603
HistGBT,raw,1,5747,0.2656920975289975,0.264434065862474,0.17248574031272831,0.13316754300480022,0.13354348133519486,0.37646195793033743
HistGBT,raw,1,5747,0.2660728381918702,0.26391350190364105,0.17154357120308314,0.13251828888556152,0.13429412980581582,0.37629158424099624
HistGBT,raw,2,5747,0.3116431171355899,0.3153826507516075,0.17248734461098592,0.13945592927129505,0.1871809089247647,0.43121114071317157
HistGBT,raw,2,5747,0.3123206389103073,0.3144053566136385,0.17232227543956627,0.1388086169378155,0.18633613139586455,0.42738799662941024
HistGBT,raw,2,5747,0.31205203333919984,0.3148690793418761,0.1723217061862021,0.13833045938994853,0.18754836752370002,0.4263981634438729
HistGBT,raw,3,5747,0.3338470030933282,0.33768468306938537,0.17706199975281062,0.1423840275701185,0.20701271376946617,0.45523562668687745
HistGBT,raw,3,5747,0.3343058640773901,0.3390261990985765,0.1766720283244311,0.14185618982916862,0.20942917632010927,0.45419334343929896
HistGBT,raw,3,5747,0.3341968414507248,0.3363805489842874,0.17561182298244213,0.1416739393154041,0.20721369448515395,0.4513580262307518
HistGBT,raw,4,5747,0.3547409221801875,0.3600711345605926,0.17571174139919202,0.14157416394796032,0.22947822871863144,0.4783077871078539
HistGBT,raw,4,5747,0.3545950683157466,0.3567956921970865,0.17564249697986245,0.14228501238387975,0.22614997409428833,0.478141087116028
HistGBT,raw,4,5747,0.3545319861043227,0.3615205061199878,0.17842586899848084,0.14446714762222201,0.22844182731741006,0.48391714998612356
HistGBT,raw,5,5747,0.37446904518459284,0.3786935894966136,0.17540501234800784,0.14240555737622418,0.25214468479469765,0.49879405015285583
HistGBT,raw,5,5747,0.3741193820318613,0.38189813561231356,0.17634895979105775,0.1432446906893833,0.25298221281347033,0.5025802868023075
HistGBT,raw,5,5747,0.3740925797374034,0.37832841397893313,0.17301468934783634,0.14008886572115917,0.2550229405185337,0.49665920690460696
HistGBT,raw,6,5747,0.3932990003402373,0.39565038793317275,0.17792051896926012,0.14379021547874787,0.2705693114928809,0.5164570813777674
HistGBT,raw,6,5747,0.3929410403228222,0.397352349979873,0.17738391636046144,0.1427911088343592,0.27493594026159973,0.5180997553271347
HistGBT,raw,6,5747,0.39294100815818034,0.3971957323545699,0.17864233988390016,0.1444120507355897,0.27171889764390106,0.5183931155707774
HistGBT,raw,7,5747,0.41272837380591243,0.42094310529764456,0.17656328626952783,0.14261934624392864,0.2959786330521146,0.5418122564684567
HistGBT,raw,7,5747,0.4127410981884512,0.41720234151323743,0.1766622808338576,0.1426972342589413,0.29246384938867154,0.5378065220579529
HistGBT,raw,7,5747,0.4127065393586957,0.4191515305772792,0.1771197935508017,0.142809096270258,0.2967368210327873,0.5395468257215714
