model,trained_target,evaluation_scale,eval_split,n_train,n_eval,notes,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,within_005,within_010,within_015,within_020,fixed_bin_acc,fixed_bin_adjacent_acc,train_quantile_bin_acc,train_quantile_adjacent_acc,fixed_bin_spearman,train_quantile_bin_spearman,fixed_bin_kendall_tau,train_quantile_bin_kendall_tau,fixed_bin_qwk,train_quantile_bin_qwk,used_sample_weight,seed,feature_protocol_id,test_dataset,metrics_source
MLP OneHot,quantile,quantile,test,268322,57468,,0.07378779943742649,0.27163909777023354,0.230573681666729,0.14993446116965692,0.3883220064041918,0.38004064548893396,0.1143853182268333,0.294622611057171,0.3882435153785159,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.031003026892092174,0.17607676420269705,0.1423829585502276,0.1459616601776772,0.39239536430378835,0.380039535244585,0.05949882612784197,0.19052999878163798,0.31228061989352235,0.2116308206306118,0.4128036472471636,0.58938887728823,0.7357485905199416,0.47701329435511935,0.9696178742952599,0.29115333750957056,0.8483677872903181,0.17747490649545378,0.31189251357254794,0.1663501633759013,0.28278233645629547,0.08564637389213403,0.2476583390499676,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared,raw,raw,test,268322,57468,,0.030848262609399563,0.1756367347948588,0.14157690378523274,0.15022494167966183,0.38761578196762303,0.3759202372927081,0.07332828405218933,0.19052999878163798,0.3848647694383769,0.215389434119858,0.4178673348646203,0.5956358321152642,0.7384457437182432,0.48268601656574095,0.9697570822022691,0.29999303960464957,0.8435999164752558,0.22489112805595735,0.3163526884671409,0.21045793054129242,0.283933894111976,0.14905892485833394,0.2661683653377981,,123.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared,quantile,quantile,test,268322,57468,,0.07387289653072963,0.2717956889480215,0.2311324794829994,0.14895410795377095,0.38725079628637793,0.3783369298446881,0.1087720276700339,0.294622611057171,0.36919103825648625,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.03114161764738854,0.17646987745048315,0.14268192255073786,0.14214390976962854,0.3906691807190532,0.3783372159329348,0.05632356474289725,0.19052999878163798,0.29561520549553133,0.21448458272429874,0.4114637711422009,0.5893366743231016,0.7340432936590798,0.4762650518549454,0.9683302011554257,0.2878993526832324,0.8507865246746015,0.1588203487997017,0.3111535585546451,0.14892741251011152,0.28295569863708386,0.06316860786311318,0.2434563834445186,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared,raw,raw,test,268322,57468,,0.030837026537525156,0.17560474520218738,0.14142725917469604,0.15053446101153678,0.3886342515313054,0.37580725916393387,0.0771116774510003,0.19052999878163798,0.4047219752485077,0.21789517644602213,0.41736270620171223,0.5969757082202269,0.7395072040091877,0.48239019976334657,0.9700354980162873,0.3021159601865386,0.8417902136841373,0.23279983228360687,0.3176727102857508,0.21785179851756026,0.2843249990767489,0.16051516249002284,0.2707245082983939,,42.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared,quantile,quantile,test,268322,57468,,0.07403692001268967,0.2720972620455591,0.2314781378591668,0.1470644905558237,0.38481171841437867,0.3759798346441064,0.10785951162917091,0.294622611057171,0.36609380129429697,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.03121225490338873,0.17666990378496483,0.14284725892314637,0.14019806993102246,0.3877670644657306,0.37597971773992434,0.05610440957878411,0.19052999878163798,0.2944649658192885,0.21260527597967566,0.41144637015382474,0.5879271942646342,0.7336604719148048,0.4753079974942577,0.9682257952251688,0.2877775457645994,0.8506125147908401,0.15280765396510668,0.30987439206727163,0.1433215782858454,0.2819620520894351,0.055576527449391455,0.2413845044012649,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared,raw,raw,test,268322,57468,,0.030811449941244465,0.1755319057642925,0.1416010163745209,0.15123901782471172,0.3901711142717583,0.37729688771009295,0.0710435288187609,0.19052999878163798,0.37287319200679914,0.21551124103849098,0.415587805387346,0.5941567481032922,0.7393331941254263,0.48101552168163153,0.9701573049349203,0.2961300201851465,0.8465754854875757,0.211497798518623,0.3153092121495373,0.1980420198650759,0.2843304078038787,0.1294936145101141,0.25908702392589744,,456.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Embed Shared,quantile,quantile,test,268322,57468,,0.0739411013865755,0.27192113082027203,0.23114075727702382,0.1481683602017373,0.3852886966324639,0.37730339543109515,0.11036261709649557,0.294622611057171,0.3745897733391545,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
