support_champion_name,rows,v5_mean,v8_mean,productive_event_mean,alive_outside_mean,no_productive_share
Ivern,364,0.3913544429505531,0.3475604106556502,0.3363553113553114,0.18078231292517005,0.45879120879120877
Rumble,75,0.38463350348380615,0.34319791552484186,0.32666666666666666,0.17725396825396825,0.44
Karma,27136,0.3872413347731952,0.34185528318323793,0.3286286360062893,0.16751977692610062,0.4542305424528302
Vayne,24,0.44474406862337346,0.3409851655482006,0.2833333333333333,0.2265873015873016,0.4583333333333333
Sion,119,0.36901455225619606,0.3387345474650367,0.3338935574229692,0.1790816326530612,0.47058823529411764
Thresh,19852,0.37826721529802937,0.33249661528393587,0.3177228155013769,0.1562087423121576,0.4693733628853516
Urgot,24,0.3509776161356383,0.3302220194957357,0.32083333333333336,0.15243055555555554,0.4583333333333333
Annie,477,0.37199771130762416,0.32807000292600824,0.31341719077568136,0.15732754317659978,0.4528301886792453
Syndra,88,0.3674558134801378,0.327821343468807,0.30871212121212116,0.18038419913419912,0.5454545454545454
Zilean,5960,0.3632546960152771,0.3235991225600922,0.31244407158836685,0.1602161233620965,0.46895973154362414
Varus,26,0.34711990752718513,0.3212176209108867,0.2948717948717948,0.16062271062271063,0.46153846153846156
Aurora,31,0.4444304617230659,0.3194215051461039,0.27419354838709675,0.19957757296466974,0.5483870967741935
Brand,1171,0.37611689009297805,0.3193288206735465,0.30500996299459154,0.15613029157008662,0.48334756618274977
Lux,3027,0.356235730341071,0.3184943134940775,0.3067173218808501,0.14926022936429278,0.4886025768087215
Teemo,230,0.3954299163259164,0.3179549533580762,0.29188405797101447,0.16907867494824017,0.49130434782608695
Soraka,7211,0.322337698829907,0.31518171272850676,0.3164609624185272,0.1150555368451638,0.43710997087782555
Anivia,1592,0.36895101816428216,0.3149868412376208,0.29447236180904524,0.1626689997607083,0.49120603015075376
Morgana,2078,0.3590784735412301,0.3121392595602993,0.29794674366377927,0.149293620239241,0.5052935514918191
TahmKench,1598,0.3611372964860509,0.3107991245262268,0.2928035043804756,0.14911422015614756,0.5037546933667084
Ahri,62,0.3674803171675012,0.30959845801687363,0.29623655913978497,0.15518433179723504,0.5161290322580645
Ornn,58,0.33797542193184604,0.30756965634975586,0.28735632183908044,0.15818965517241376,0.5172413793103449
KSante,227,0.36486484962245147,0.3064942791396831,0.2719530102790015,0.16774701069855255,0.5154185022026432
Diana,6,0.3698428858583782,0.3044812666424463,0.27777777777777773,0.1351190476190476,0.6666666666666666
Braum,14668,0.3591134453520027,0.30427247879690167,0.2822447959276429,0.146081930863428,0.5146577583856013
Sett,65,0.38161031805286233,0.2973325891580217,0.2682051282051282,0.15274725274725276,0.5230769230769231
DrMundo,23,0.3797970843254643,0.29666368170087076,0.2753623188405797,0.13524844720496895,0.4782608695652174
Lillia,6,0.5004963615376753,0.2964645813727768,0.2222222222222222,0.1994047619047619,0.6666666666666666
Nami,35437,0.34617523496966535,0.295928354254673,0.282300984846347,0.13131865806118703,0.516211868950532
Ezreal,131,0.36902367901359234,0.29527942609699603,0.2735368956743003,0.15139949109414758,0.5343511450381679
Senna,10154,0.3087440928364943,0.29362316301656,0.2921246142735211,0.12003409400001876,0.4894622808745322
Mel,800,0.33964759793331495,0.2917988505820647,0.27399999999999997,0.1380922619047619,0.525
Renata,2483,0.3450582948867364,0.2910582094560605,0.27528527319103235,0.13461922022131445,0.5255739025372533
Nasus,109,0.34133274790878043,0.28806232455247877,0.2706422018348624,0.14570773263433814,0.5412844036697247
Taric,4608,0.3223018566844765,0.2877653338162883,0.27359664351851853,0.133974041005291,0.5399305555555556
Swain,1274,0.3265352773337573,0.287248737939523,0.2731030873888017,0.12653995664199744,0.5172684458398744
MonkeyKing,27,0.34430105202747513,0.2868771151476033,0.25925925925925924,0.1519400352733686,0.5925925925925926
Sona,11424,0.3335971472202456,0.2834170848461966,0.2677375116713352,0.12973793684140322,0.5346638655462185
Jhin,26,0.3208265762069254,0.2826419611372042,0.28205128205128205,0.08905677655677655,0.46153846153846156
Orianna,155,0.32504344878285363,0.280809352608384,0.26838709677419353,0.13159754224270354,0.5419354838709678
Udyr,10,0.39160356852379613,0.27965121863513615,0.25,0.12142857142857141,0.5
Veigar,360,0.3373755019787408,0.27819173109442474,0.2539814814814815,0.1419047619047619,0.5444444444444444
Ashe,549,0.33465265643420705,0.27421783700044644,0.251183970856102,0.12443837279902853,0.5355191256830601
Lulu,22250,0.3220609947644693,0.27349456787624765,0.25711610486891384,0.12265082932049223,0.5524044943820224
Velkoz,3327,0.33090794429730797,0.2721988952009043,0.24245065624686904,0.13412304807706069,0.5581605049594229
