champion_name,count,mean,median,std,q25,q75
Galio,770,0.3247838358765888,0.30438937279874106,0.16542367534512664,0.20350723482197824,0.4194742968225017
Sejuani,58,0.32368427069511485,0.3021823522072478,0.17423471025384404,0.18832958927787244,0.45325913077699
Taliyah,284,0.323505344156509,0.31827022526075904,0.1667474921565814,0.19933209071140107,0.4205403645833333
Rell,10801,0.32191563260600126,0.3110759493670886,0.16583971930292823,0.19946682901630877,0.43
JarvanIV,300,0.32058084397499675,0.30424116474347435,0.18783691992534957,0.17833836070035378,0.43387388304317753
Blitzcrank,7662,0.3202539392408965,0.30311049112040533,0.1674187889986505,0.19598711417955755,0.43084347880844015
Aatrox,51,0.31971438542652336,0.32430069930069927,0.18179985766796455,0.22286904599993954,0.45727883355176935
Janna,12618,0.31641442867055186,0.29992007196525683,0.17847865883202024,0.18257682918843743,0.43
Zoe,1614,0.3163879535818126,0.30019958044906947,0.16555781971127395,0.19313173734296513,0.4170030070374452
Lissandra,169,0.3158864183347998,0.3066800714924039,0.15992000542082704,0.18942632684753813,0.4273518256860266
Rengar,92,0.3151842150225869,0.327013635301512,0.17200500703999747,0.1848640150597312,0.4083736535405262
Trundle,407,0.31506123549422943,0.2980779357556609,0.18815387302542033,0.17251991272699552,0.43515642679339217
Gragas,301,0.3140969383646848,0.30313993174061427,0.18919241065470926,0.1701550387596899,0.4152716468590832
Maokai,2247,0.3122069856529833,0.2983163645393593,0.16696250640612686,0.18797313759001505,0.41738255647766975
Chogath,57,0.31200688824864026,0.29977477477477477,0.14793086416514706,0.19860454115421,0.4153061224489796
Zac,295,0.3069518246225343,0.2812285415733692,0.1864724944229459,0.15592068066976755,0.4187803015803736
Leona,10671,0.3050344471183936,0.2875,0.16989485946873686,0.17843556361747934,0.41000000000000003
Rakan,13786,0.30433205258195667,0.29137172129003513,0.16342775597873685,0.18315016493317535,0.41000000000000003
Nautilus,25871,0.3030067418376387,0.29,0.161044275463451,0.18394719821837052,0.40800061327459763
Amumu,633,0.29753493450433055,0.2977102219443576,0.1643255164205961,0.16878722034443908,0.41000000000000003
Neeko,8722,0.29624937112180993,0.2799507855734876,0.16081061881067296,0.17502051349920594,0.40063045002637837
Ivern,309,0.2952321162485929,0.27575686823877343,0.17443757564638945,0.15312084993359892,0.41469219756621334
Syndra,60,0.294944606526121,0.25031874371292795,0.18012276736927235,0.16004093951709297,0.40127300416891776
FiddleSticks,1305,0.29032313022991363,0.2736644951140065,0.16932927658372166,0.16755519655358103,0.39281214848143986
Teemo,198,0.28118653802736454,0.2612564914526274,0.17158534181700597,0.15073531377462043,0.37961788250370065
Karma,23653,0.2787835795645064,0.2628802628376734,0.16188874529608893,0.1567001781623823,0.38215195737780866
Rumble,69,0.27873630144254774,0.2520619515766982,0.1748150169111028,0.1280827163645647,0.4066666666666667
Sett,52,0.27679562126843354,0.2536617461391907,0.1618999792163654,0.17247924692716932,0.3929158094380867
Katarina,25,0.27623082398634013,0.24703441295546552,0.16864209197548566,0.1457623267439218,0.4096314907872697
Zed,120,0.2729950876621894,0.25769883032913954,0.1660329608790529,0.13731444780822596,0.37810155263353384
Brand,990,0.2725689003707851,0.24954824739284462,0.18074278547154546,0.13772154197744893,0.37729449569603446
Thresh,17412,0.2702813297809258,0.25527580572458863,0.15619622615433937,0.1505752008459356,0.3713011839669728
KSante,201,0.26820021630744534,0.24803358065976935,0.15847310207152082,0.15185460789925587,0.3647927461139896
Ahri,48,0.2678183302797727,0.24193613189249097,0.2006258079914412,0.12630669257787255,0.35023528946535903
Vex,46,0.2675332797639354,0.25827274528061,0.16059209735350158,0.15235971729449788,0.34499085249568484
Ezreal,90,0.26717717881785547,0.21857637136763347,0.1811864770001087,0.14632990449031322,0.3743663993806186
TahmKench,1397,0.26085128024962506,0.24789590254706534,0.15223188866469514,0.143881563728892,0.35412072485962226
Annie,393,0.25960109163724343,0.22739463601532567,0.1736471105921411,0.13404255319148936,0.34657500699692134
DrMundo,21,0.257138812547513,0.23299180327868851,0.13249632855158466,0.18308743049778903,0.30619281045751634
Sion,85,0.25695859294405693,0.26758570315543434,0.15055243646497443,0.1338849989391046,0.38095238095238093
Morgana,1753,0.25611588138461633,0.23772652796240762,0.16415178245552933,0.1331995540691193,0.3577061542203843
Zilean,5300,0.2556341101898659,0.2344821389670872,0.16547016679974888,0.1292032011891294,0.3607224054868643
Lux,2534,0.2553880291145275,0.23171555569876762,0.1627762422116408,0.13430145758154674,0.35131008469371067
Shen,818,0.2545056173591382,0.2300094073377234,0.1607454239876327,0.14277892072409176,0.3398859724612736
Zaahen,30,0.2539730160498727,0.21107848407472113,0.16576902860179787,0.1313586986098959,0.3496270970089216
Braum,13343,0.2538213057363259,0.23587378640776702,0.15441083686021412,0.13549597332655783,0.35100311844486154
Anivia,1065,0.2534404334021924,0.2286768581971534,0.15729718298748768,0.1350037327360955,0.35307342060330105
Ornn,41,0.2519970725428286,0.19603030303030303,0.17401873589210495,0.13653536977491962,0.31666666666666665
Urgot,21,0.2459162465517103,0.22516707416462914,0.18412595217130695,0.09330070357907616,0.31519181585677747
Heimerdinger,172,0.24441490495090756,0.21223707042150866,0.17034544866967025,0.12865975347743142,0.33974610614821416
Mel,697,0.2437524241944469,0.21522683397683395,0.1580905966030471,0.12213470602828085,0.3385714285714285
Karthus,103,0.24254121352926944,0.2137810945273632,0.16233688858162032,0.10714876830681883,0.3364449522245886
Renata,2179,0.23841648414204675,0.21428571428571427,0.1530116761214866,0.1197527441189229,0.3370994917737416
Nasus,92,0.2369459600012179,0.22402104136262826,0.15717021479201163,0.11390982227482209,0.341415800507884
