case_id,case_group,case_rank,score_band,match_id,team_id,side,patch,prediction,actual,signed_error,abs_error,ally_top_champion_name,ally_jungle_champion_name,ally_middle_champion_name,ally_bottom_champion_name,ally_utility_champion_name,enemy_top_champion_name,enemy_jungle_champion_name,enemy_middle_champion_name,enemy_bottom_champion_name,enemy_utility_champion_name,ally_support_expert_score,ally_support_expert_archetype,ally_support_expert_confidence,enemy_support_expert_score,enemy_support_expert_archetype,enemy_support_expert_confidence,ally_support_champion_mean_score,ally_support_champion_n,enemy_support_champion_mean_score,enemy_support_champion_n,valid_support_frames_v5,valid_coop_frames_v5,outside_ratio_v5,far_ratio_v5,xp_gap_v5,support_score_confidence_v5,score_reconstructed_delta,raw_score_reconstructed_delta,support_early_kills,support_early_deaths,support_early_assists,adc_early_kills,adc_early_deaths,adc_early_assists,bot_related_events_0_12,support_final_kda,adc_final_kda,evidence_tag,raw_missing
bottom_error_01_EUW1_7739311514_200,bottom_error,1,very_low,EUW1_7739311514,200,red,16.3,0.15269862716820323,0.15272832319639656,-2.969602819333228e-05,2.969602819333228e-05,Ornn,Diana,Yone,Lucian,Yuumi,Ryze,Volibear,Naafiri,Zilean,Senna,0.08,adc_enabler,0.95,0.4,marksman_support,0.7,0.14909535543748414,4689,0.3087440928364943,10154,7,7.0,0.14285714285714285,0.0,0.08676182479708916,1.0,0.0,0.0,1,1,2,2,1,1,9,1/4/23,15/5/9,accurate_low,False
bottom_error_02_EUW1_7827297324_100,bottom_error,2,very_low,EUW1_7827297324,100,blue,16.8,0.16378415106303695,0.16386470838071285,-8.055731767589447e-05,8.055731767589447e-05,Azir,Rengar,Viktor,Twitch,Yuumi,Yasuo,Naafiri,Ahri,Vayne,Rell,0.08,adc_enabler,0.95,0.82,engage_roamer,0.85,0.14909535543748414,4689,0.4373914077290479,12474,6,5.0,0.0,0.0,0.4483500717360114,1.0,0.0,0.0,1,6,4,3,5,2,17,1/12/26,19/14/5,chaotic_early_game,False
bottom_error_03_EUW1_7737055177_200,bottom_error,3,very_low,EUW1_7737055177,200,red,16.3,0.15549861204347418,0.15500617848147027,0.0004924335620039022,0.0004924335620039022,Yone,Hecarim,Sylas,Vayne,Yuumi,Sion,DrMundo,Kassadin,Jhin,Lux,0.08,adc_enabler,0.95,0.32,lane_mage,0.75,0.14909535543748414,4689,0.356235730341071,3027,7,7.0,0.14285714285714285,0.0,0.09489916963226563,1.0,0.0,0.0,1,2,2,0,2,3,9,1/6/33,10/7/6,accurate_low,False
bottom_error_04_EUW1_7753025529_100,bottom_error,4,very_low,EUW1_7753025529,100,blue,16.4,0.24689323498143717,0.24578740606243824,0.0011058289189989357,0.0011058289189989357,Olaf,Nocturne,Ahri,Nilah,Senna,Jax,FiddleSticks,Orianna,Smolder,Braum,0.4,marksman_support,0.7,0.48,protective_warden,0.75,0.3087440928364943,10154,0.3591134453520027,14668,6,6.0,0.16666666666666666,0.16666666666666666,0.1031420765027321,1.0,0.0,0.0,0,4,3,2,3,0,11,3/7/24,18/4/6,chaotic_early_game,False
bottom_error_05_EUW1_7740461495_100,bottom_error,5,very_low,EUW1_7740461495,100,blue,16.3,0.14636222468243426,0.1451844570296783,0.0011777676527559566,0.0011777676527559566,Ornn,Khazix,Zoe,Ezreal,Yuumi,Darius,Talon,Katarina,Nilah,Senna,0.08,adc_enabler,0.95,0.4,marksman_support,0.7,0.14909535543748414,4689,0.3087440928364943,10154,5,5.0,0.0,0.0,0.3815312984997412,0.8333333333333334,0.0,0.0,0,0,0,0,0,0,1,0/3/7,2/4/3,accurate_low,False
bottom_error_06_EUW1_7717169345_200,bottom_error,6,low_mid,EUW1_7717169345,200,red,16.3,0.3290151395065423,0.32901838503163305,-3.245525090733725e-06,3.245525090733725e-06,Zaahen,Evelynn,Zed,Varus,Lulu,Vayne,Rengar,Katarina,Hwei,Braum,0.28,adc_enabler,0.85,0.48,protective_warden,0.75,0.3220609947644693,22250,0.3591134453520027,14668,7,7.0,0.14285714285714285,0.14285714285714285,0.5642712550607287,1.0,0.0,0.0,1,1,5,3,1,2,8,3/8/17,11/3/7,accurate_mid,False
bottom_error_07_EUW1_7711409386_100,bottom_error,7,low_mid,EUW1_7711409386,100,blue,16.2,0.27740928704061063,0.27740529984842544,3.987192185195276e-06,3.987192185195276e-06,Jayce,Kindred,Sylas,Lucian,Senna,Olaf,Karthus,Ryze,Draven,Nami,0.4,marksman_support,0.7,0.38,lane_enchanter,0.75,0.3087440928364943,10154,0.34617523496966535,35437,6,5.0,0.0,0.2,0.5545994993742178,1.0,0.0,0.0,2,2,5,2,3,2,18,2/2/13,3/5/4,chaotic_early_game,False
bottom_error_08_EUW1_7822907738_100,bottom_error,8,low_mid,EUW1_7822907738,100,blue,16.8,0.3681500026068791,0.36815926412980576,-9.261522926684584e-06,9.261522926684584e-06,Aatrox,Ekko,Chogath,Velkoz,Sona,Vladimir,Qiyana,Veigar,Yasuo,Rakan,0.22,scaling_enchanter,0.8,0.76,engage_roamer,0.85,0.3335971472202456,11424,0.4187952524345345,15160,6,5.0,0.0,0.2,0.9693225394120153,1.0,0.0,0.0,2,2,2,3,2,1,10,2/14/8,8/8/8,accurate_mid,False
bottom_error_09_EUW1_7760148189_200,bottom_error,9,low_mid,EUW1_7760148189,200,red,16.4,0.46953916662279327,0.46955161500222103,-1.2448379427765222e-05,1.2448379427765222e-05,LeeSin,Nidalee,Galio,Kaisa,Nautilus,Irelia,RekSai,Gwen,Jinx,Bard,0.84,engage_roamer,0.9,0.95,roaming_specialist,0.95,0.4161522916633062,28879,0.5061715449920616,22623,7,7.0,0.14285714285714285,0.42857142857142855,0.7533679981091939,1.0,0.0,0.0,1,2,6,5,1,2,14,1/5/18,19/2/5,chaotic_early_game,False
bottom_error_10_EUW1_7747844563_200,bottom_error,10,low_mid,EUW1_7747844563,200,red,16.4,0.4086323630890341,0.4086183338433356,1.4029245698488069e-05,1.4029245698488069e-05,Fiora,Talon,Diana,MissFortune,Leona,Sion,Evelynn,Zaahen,Senna,Janna,0.8,engage_roamer,0.9,0.58,enchanter_roamer,0.7,0.41426731404073,12027,0.43375721336491035,14180,7,5.0,0.2857142857142857,0.2,0.5232403718459493,1.0,0.0,0.0,0,1,4,4,2,0,8,0/3/17,10/5/2,accurate_mid,False
