case_id,case_group,case_rank,match_id,team_id,side,patch,frame_idx,minute,support_champion_name,adc_champion_name,support_alive,adc_alive,support_x,support_y,adc_x,adc_y,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,valid_support_frame_v5,valid_coop_frame_v5,out_bot_context_v5,far_from_adc_v5,support_xp,adc_xp,xp_ratio_frame
bottom_error_08_EUW1_7822907738_100,bottom_error,8,EUW1_7822907738,100,blue,16.8,8,8.0038,Sona,Velkoz,True,True,11337.0,1834.0,5656.0,944.0,BOT_LANE_CORE,BOT_LANE_CORE,5750.292253442428,True,True,False,True,1867.0,3182.0,0.5867379006913891
bottom_error_08_EUW1_7822907738_100,bottom_error,8,EUW1_7822907738,100,blue,16.8,9,9.00415,Sona,Velkoz,True,True,9869.0,3232.0,941.0,532.0,BOT_SIDE_NEAR,BLUE_BASE,9327.335310794826,True,False,False,False,2008.0,3739.0,0.5370419898368548
bottom_error_08_EUW1_7822907738_100,bottom_error,8,EUW1_7822907738,100,blue,16.8,10,10.004583333333333,Sona,Velkoz,True,True,12028.0,1851.0,11793.0,2070.0,BOT_LANE_CORE,BOT_LANE_CORE,321.22577729690374,True,True,False,False,2443.0,4000.0,0.61075
bottom_error_08_EUW1_7822907738_100,bottom_error,8,EUW1_7822907738,100,blue,16.8,11,11.004766666666667,Sona,Velkoz,False,True,14010.0,5566.0,12243.0,4725.0,BOT_LANE_CORE,BOT_SIDE_NEAR,1956.9287161263694,False,False,False,False,2874.0,4694.0,0.6122709842351939
bottom_error_09_EUW1_7760148189_200,bottom_error,9,EUW1_7760148189,200,red,16.4,5,5.0011,Nautilus,Kaisa,True,True,13353.0,2734.0,13841.0,9815.0,BOT_LANE_CORE,BOT_LANE_CORE,7097.795784608064,True,True,False,True,1096.0,1220.0,0.898360655737705
bottom_error_09_EUW1_7760148189_200,bottom_error,9,EUW1_7760148189,200,red,16.4,6,6.001233333333333,Nautilus,Kaisa,True,True,11798.0,1739.0,11542.0,1580.0,BOT_LANE_CORE,BOT_LANE_CORE,301.3585903869342,True,True,False,False,1560.0,1715.0,0.9096209912536443
bottom_error_09_EUW1_7760148189_200,bottom_error,9,EUW1_7760148189,200,red,16.4,7,7.0026166666666665,Nautilus,Kaisa,True,True,13219.0,3991.0,13809.0,3835.0,BOT_LANE_CORE,BOT_LANE_CORE,610.2753476915154,True,True,False,False,1931.0,2086.0,0.9256951102588686
bottom_error_09_EUW1_7760148189_200,bottom_error,9,EUW1_7760148189,200,red,16.4,8,8.003,Nautilus,Kaisa,True,True,13337.0,3113.0,13200.0,3560.0,BOT_LANE_CORE,BOT_LANE_CORE,467.5232614533741,True,True,False,False,2274.0,2460.0,0.9243902439024391
bottom_error_09_EUW1_7760148189_200,bottom_error,9,EUW1_7760148189,200,red,16.4,9,9.00355,Nautilus,Kaisa,True,True,11599.0,4188.0,11191.0,3969.0,BOT_SIDE_NEAR,BOT_SIDE_NEAR,463.06047121299395,True,True,False,False,2440.0,3228.0,0.7558859975216853
bottom_error_09_EUW1_7760148189_200,bottom_error,9,EUW1_7760148189,200,red,16.4,10,10.003866666666667,Nautilus,Kaisa,True,True,10564.0,9988.0,13633.0,2975.0,RED_BOT_JUNGLE,BOT_LANE_CORE,7655.124427466872,True,True,True,True,2593.0,3735.0,0.694243641231593
bottom_error_09_EUW1_7760148189_200,bottom_error,9,EUW1_7760148189,200,red,16.4,11,11.0041,Nautilus,Kaisa,True,True,9242.0,3384.0,11517.0,1769.0,BOT_SIDE_NEAR,BOT_LANE_CORE,2789.95519677288,True,True,False,True,2956.0,4231.0,0.6986528007563224
