neighbor_scope,support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
all_champions_exploratory,43,Karma,enchanter,1,27,Singed,,Tank,False,0.4292116165161133,0.5707883834838867,False,False
all_champions_exploratory,43,Karma,enchanter,2,421,Rek'Sai,,Fighter,False,0.4739311933517456,0.5260688066482544,False,False
all_champions_exploratory,43,Karma,enchanter,3,895,Nilah,,Fighter,False,0.4966397285461426,0.5033602714538574,False,False
all_champions_exploratory,43,Karma,enchanter,4,56,Nocturne,,Assassin,False,0.518661618232727,0.48133838176727295,False,False
all_champions_exploratory,43,Karma,enchanter,5,68,Rumble,,Fighter,False,0.5927724838256836,0.4072275161743164,False,False
all_champions_exploratory,44,Taric,warden,1,902,Milio,enchanter,Support,True,0.45428919792175293,0.5457108020782471,False,True
all_champions_exploratory,44,Taric,warden,2,163,Taliyah,,Mage,False,0.4595559239387512,0.5404440760612488,False,False
all_champions_exploratory,44,Taric,warden,3,85,Kennen,,Mage,False,0.4704424738883972,0.5295575261116028,False,False
all_champions_exploratory,44,Taric,warden,4,57,Maokai,engage_tank,Tank,True,0.48011815547943115,0.5198818445205688,False,False
all_champions_exploratory,44,Taric,warden,5,777,Yone,,Assassin,False,0.5344177484512329,0.4655822515487671,False,False
all_champions_exploratory,50,Swain,mage_support,1,427,Ivern,enchanter,Support,True,0.3984549045562744,0.6015450954437256,False,False
all_champions_exploratory,50,Swain,mage_support,2,106,Volibear,,Fighter,False,0.4166017174720764,0.5833982825279236,False,False
all_champions_exploratory,50,Swain,mage_support,3,104,Graves,,Marksman,False,0.49454718828201294,0.5054528117179871,False,False
all_champions_exploratory,50,Swain,mage_support,4,804,champ_804,,Unknown,False,0.5044177770614624,0.4955822229385376,False,False
all_champions_exploratory,50,Swain,mage_support,5,96,Kog'Maw,,Marksman,False,0.5107143521308899,0.4892856478691101,False,False
all_champions_exploratory,53,Blitzcrank,hook,1,92,Riven,,Fighter,False,0.39679139852523804,0.603208601474762,False,False
all_champions_exploratory,53,Blitzcrank,hook,2,119,Draven,,Marksman,False,0.39927220344543457,0.6007277965545654,False,False
all_champions_exploratory,53,Blitzcrank,hook,3,523,Aphelios,,Marksman,False,0.4309350848197937,0.5690649151802063,False,False
all_champions_exploratory,53,Blitzcrank,hook,4,238,Zed,,Assassin,False,0.44446229934692383,0.5555377006530762,False,False
all_champions_exploratory,53,Blitzcrank,hook,5,420,Illaoi,,Fighter,False,0.4949702024459839,0.5050297975540161,False,False
all_champions_exploratory,57,Maokai,engage_tank,1,127,Lissandra,,Mage,False,0.38729315996170044,0.6127068400382996,False,False
all_champions_exploratory,57,Maokai,engage_tank,2,79,Gragas,,Fighter,False,0.4041746258735657,0.5958253741264343,False,False
all_champions_exploratory,57,Maokai,engage_tank,3,3,Galio,,Tank,False,0.42155665159225464,0.5784433484077454,False,True
all_champions_exploratory,57,Maokai,engage_tank,4,111,Nautilus,engage_tank,Tank,True,0.4432653784751892,0.5567346215248108,True,True
all_champions_exploratory,57,Maokai,engage_tank,5,120,Hecarim,,Fighter,False,0.4497230648994446,0.5502769351005554,False,False
all_champions_exploratory,63,Brand,mage_support,1,91,Talon,,Assassin,False,0.3665539026260376,0.6334460973739624,False,False
all_champions_exploratory,63,Brand,mage_support,2,142,Zoe,,Mage,False,0.38741886615753174,0.6125811338424683,False,True
all_champions_exploratory,63,Brand,mage_support,3,114,Fiora,,Fighter,False,0.45975375175476074,0.5402462482452393,False,False
all_champions_exploratory,63,Brand,mage_support,4,24,Jax,,Fighter,False,0.4895424246788025,0.5104575753211975,False,False
all_champions_exploratory,63,Brand,mage_support,5,110,Varus,,Marksman,False,0.4983556866645813,0.5016443133354187,False,False
