config_id,support_champion_name,count,mean,median,std
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Aatrox,2,0.13623843988741452,0.13623843988741452,0.19267024940533325
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Ahri,1,0.10747832369942192,0.10747832369942192,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Akshan,1,0.0,0.0,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Alistar,609,0.2737224485026716,0.2378277153558052,0.1976135204220397
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Amumu,30,0.20490026324164604,0.1806885242970004,0.16376235712644696
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Anivia,44,0.2408564295404432,0.2,0.17613684398600513
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Annie,7,0.3981726057753883,0.34169069192751234,0.3689016639186571
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Ashe,43,0.1850762132053196,0.08246723904202438,0.21266192048292357
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,AurelionSol,12,0.4392124442685124,0.40285950782793944,0.24985658192044927
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Bard,935,0.3095299158606313,0.2875,0.19152022216174627
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Blitzcrank,359,0.2634235405812398,0.22083333333333333,0.20327291388221985
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Brand,62,0.27561775161363367,0.2178933005504603,0.2220499206139945
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Braum,910,0.1848830816980784,0.15230655867555432,0.15642262394022244
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Briar,1,0.0865843949044586,0.0865843949044586,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Camille,13,0.40437619425263843,0.3648577161619847,0.1753472561423513
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Chogath,2,0.17277754590984973,0.17277754590984973,0.10292299246194005
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,DrMundo,2,0.2989501650846058,0.2989501650846058,0.04565576130349996
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Ekko,3,0.42008533195459896,0.3587637595258256,0.15752525534868891
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Elise,210,0.38432319801392034,0.4008644447464871,0.2096636070149097
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,FiddleSticks,51,0.15641125374528836,0.10375099760574621,0.17644237498921123
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Fiora,6,0.2762640449474589,0.24909650134563632,0.19465904437270612
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Fizz,2,0.5,0.5,0.3535533905932738
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Galio,35,0.28557250601774964,0.2920289855072464,0.18627287772136272
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Garen,1,0.65,0.65,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Gragas,7,0.22443920397244768,0.10876300316598828,0.2245203343738284
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Heimerdinger,9,0.10727255809687213,0.049264007597340925,0.11962176483619162
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Hwei,9,0.07345757910307625,0.05853474320241692,0.04911656847303392
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Illaoi,1,0.2656047516198704,0.2656047516198704,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Ivern,39,0.22947878981088288,0.22772006925023303,0.16198814362504124
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Janna,667,0.23078888122960803,0.2,0.18462801525796116
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,JarvanIV,34,0.233133035734287,0.23576844726120416,0.15721655757732908
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Jax,6,0.4261090994218834,0.3843279578203216,0.17070415842717843
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,KSante,10,0.2394083417771133,0.2658923353740996,0.13733245711701889
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Karma,1014,0.22828786210733532,0.19978991596638654,0.1790332216419084
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Karthus,4,0.0859334620900884,0.07325064991334489,0.10136578881266115
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Kayle,1,0.47360193747247903,0.47360193747247903,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Kennen,2,0.40692057072239074,0.40692057072239074,0.3241243705853469
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Khazix,1,0.425,0.425,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Leblanc,30,0.3332771860563157,0.2823607877376795,0.20985011728987424
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,LeeSin,3,0.24740547621142775,0.03163074039362701,0.40143748896440035
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Leona,523,0.2409706765446756,0.2012668573763792,0.1926247198589466
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Lissandra,9,0.1850468942056944,0.21631355932203392,0.12146050636172992
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Lulu,1007,0.17326563761681704,0.13333333333333333,0.15656535152655573
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Lux,112,0.19496055195174386,0.15800673611297508,0.16130815720702027
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Malphite,2,0.118877365356623,0.118877365356623,0.14418751267754074
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Maokai,65,0.2910305276544815,0.22942400350416117,0.21169441860617258
