config_id,start_minute,max_minute,far_adc_threshold,w_outside,w_far,w_xp,rows,coverage,score_mean,score_std,score_p25,score_median,score_p75
cfg_061_s5p0_m11_far2800_w0p45-0p35-0p2,5.0,11.0,2800.0,0.45,0.35,0.2,16278,0.9996315401621223,0.2651660644330217,0.17486712621237355,0.1282270930691974,0.24257889357903684,0.3775
cfg_062_s5p0_m11_far2800_w0p35-0p4-0p25,5.0,11.0,2800.0,0.35,0.4,0.25,16278,0.9996315401621223,0.2888595256147172,0.1815385773710849,0.14884801223994865,0.2667849200913387,0.4090885944406115
cfg_063_s5p0_m11_far2800_w0p3-0p45-0p25,5.0,11.0,2800.0,0.3,0.45,0.25,16278,0.9996315401621223,0.2938796412835933,0.18470159821528118,0.15000000000000002,0.27221148160848696,0.4168125747966579
cfg_064_s5p0_m12_far2200_w0p45-0p35-0p2,5.0,12.0,2200.0,0.45,0.35,0.2,16281,0.9998157700810612,0.28566516025847705,0.17098754882576273,0.15434782608695652,0.2674439461883408,0.39714285714285713
cfg_065_s5p0_m12_far2200_w0p35-0p4-0p25,5.0,12.0,2200.0,0.35,0.4,0.25,16281,0.9998157700810612,0.3119378524687466,0.17823862635873036,0.1742473901432386,0.2985202915895985,0.43333333333333335
cfg_066_s5p0_m12_far2200_w0p3-0p45-0p25,5.0,12.0,2200.0,0.3,0.45,0.25,16281,0.9998157700810612,0.3188229010646852,0.18172682985470182,0.17864569623585153,0.3058720574747783,0.44285714285714284
cfg_067_s5p0_m12_far2500_w0p45-0p35-0p2,5.0,12.0,2500.0,0.45,0.35,0.2,16281,0.9998157700810612,0.27899777701010975,0.169746741364547,0.14777507195040956,0.2606023102310231,0.3894291151284491
cfg_068_s5p0_m12_far2500_w0p35-0p4-0p25,5.0,12.0,2500.0,0.35,0.4,0.25,16281,0.9998157700810612,0.3043179858991841,0.17665503136196553,0.16849025141097998,0.28874581509142416,0.4230257784583971
cfg_069_s5p0_m12_far2500_w0p3-0p45-0p25,5.0,12.0,2500.0,0.3,0.45,0.25,16281,0.9998157700810612,0.31025055117392736,0.17985737522016312,0.1714285714285714,0.29589219734840244,0.4315051714752314
cfg_070_s5p0_m12_far2800_w0p45-0p35-0p2,5.0,12.0,2800.0,0.45,0.35,0.2,16281,0.9998157700810612,0.2734068018447841,0.16887201650039013,0.14190314037079074,0.25449433814916045,0.381650581539223
cfg_071_s5p0_m12_far2800_w0p35-0p4-0p25,5.0,12.0,2800.0,0.35,0.4,0.25,16281,0.9998157700810612,0.2979282999959547,0.1755255819914831,0.16238373350638113,0.2820464234959734,0.41555762643562355
cfg_072_s5p0_m12_far2800_w0p3-0p45-0p25,5.0,12.0,2800.0,0.3,0.45,0.25,16281,0.9998157700810612,0.3030621545327944,0.1785059333660084,0.16441767661838608,0.2883831199620673,0.423244911959753
cfg_073_s6p0_m08_far2200_w0p45-0p35-0p2,6.0,8.0,2200.0,0.45,0.35,0.2,12187,0.7484033407025301,0.20936937707599207,0.20222926845625708,0.04785100990013444,0.15346153846153848,0.3214981941267999
cfg_074_s6p0_m08_far2200_w0p35-0p4-0p25,6.0,8.0,2200.0,0.35,0.4,0.25,12187,0.7484033407025301,0.23183177636263802,0.20997334127439773,0.05982301471601027,0.18596491228070178,0.36675034735379564
cfg_075_s6p0_m08_far2200_w0p3-0p45-0p25,6.0,8.0,2200.0,0.3,0.45,0.25,12187,0.7484033407025301,0.23888425543125044,0.21729455182280616,0.0598950624762999,0.18346528623629715,0.37784620836481764
cfg_076_s6p0_m08_far2500_w0p45-0p35-0p2,6.0,8.0,2500.0,0.45,0.35,0.2,12187,0.7484033407025301,0.20249114617421146,0.19996746343708705,0.045736249607514906,0.1413412563667232,0.30992802040534706
cfg_077_s6p0_m08_far2500_w0p35-0p4-0p25,6.0,8.0,2500.0,0.35,0.4,0.25,12187,0.7484033407025301,0.22397094104631735,0.20700567466683056,0.057259297274222506,0.175,0.35091891783341084
cfg_078_s6p0_m08_far2500_w0p3-0p45-0p25,6.0,8.0,2500.0,0.3,0.45,0.25,12187,0.7484033407025301,0.23004081570038967,0.21373108253629397,0.057259297274222506,0.17050487156775906,0.36897715914617196
cfg_079_s6p0_m08_far2800_w0p45-0p35-0p2,6.0,8.0,2800.0,0.45,0.35,0.2,12187,0.7484033407025301,0.19666116340568762,0.19786901326457626,0.04317548746518107,0.13293802601377197,0.301040942242194
cfg_080_s6p0_m08_far2800_w0p35-0p4-0p25,6.0,8.0,2800.0,0.35,0.4,0.25,12187,0.7484033407025301,0.2173081035965758,0.20436390086362977,0.05396935933147634,0.16623181530676787,0.3356526307322616
cfg_081_s6p0_m08_far2800_w0p3-0p45-0p25,6.0,8.0,2800.0,0.3,0.45,0.25,12187,0.7484033407025301,0.22254512356943046,0.21056420755905964,0.05396935933147634,0.16084373741441801,0.3525514024686107
cfg_082_s6p0_m10_far2200_w0p45-0p35-0p2,6.0,10.0,2200.0,0.45,0.35,0.2,16175,0.9933063129452223,0.2808866819487558,0.20381535556823974,0.11666666666666665,0.24990347490347486,0.4136038343059701
cfg_083_s6p0_m10_far2200_w0p35-0p4-0p25,6.0,10.0,2200.0,0.35,0.4,0.25,16175,0.9933063129452223,0.3037885515205976,0.2093661863456746,0.13333333333333333,0.274351117519827,0.44166666666666665
cfg_084_s6p0_m10_far2200_w0p3-0p45-0p25,6.0,10.0,2200.0,0.3,0.45,0.25,16175,0.9933063129452223,0.3105783957200752,0.21384923576545298,0.13985933269487694,0.2838023190045249,0.45196944667044714
cfg_085_s6p0_m10_far2500_w0p45-0p35-0p2,6.0,10.0,2500.0,0.45,0.35,0.2,16175,0.9933063129452223,0.27424010801779236,0.20259581200413543,0.11237609312595007,0.23932644717021734,0.403687927533983
cfg_086_s6p0_m10_far2500_w0p35-0p4-0p25,6.0,10.0,2500.0,0.35,0.4,0.25,16175,0.9933063129452223,0.29619246702806795,0.2076998869470041,0.13050410896118092,0.2632637976346912,0.43415920848817724
cfg_087_s6p0_m10_far2500_w0p3-0p45-0p25,6.0,10.0,2500.0,0.3,0.45,0.25,16175,0.9933063129452223,0.3020328006659794,0.2118277826308366,0.1301258987858483,0.27039473684210524,0.44057525570683465
cfg_088_s6p0_m10_far2800_w0p45-0p35-0p2,6.0,10.0,2800.0,0.45,0.35,0.2,16175,0.9933063129452223,0.2688521636592143,0.20173544076686453,0.10469909841668917,0.23257421255381822,0.4
cfg_089_s6p0_m10_far2800_w0p35-0p4-0p25,6.0,10.0,2800.0,0.35,0.4,0.25,16175,0.9933063129452223,0.2900348163325502,0.2065325299655833,0.12396994612611441,0.25276854007316263,0.4265507774990457
cfg_090_s6p0_m10_far2800_w0p3-0p45-0p25,6.0,10.0,2800.0,0.3,0.45,0.25,16175,0.9933063129452223,0.29510544363352187,0.21041387398647604,0.1235389779977821,0.25847574421168684,0.4351945166462742
cfg_091_s6p0_m11_far2200_w0p45-0p35-0p2,6.0,11.0,2200.0,0.45,0.35,0.2,16267,0.9989560304593466,0.2923681810085695,0.19133769857731053,0.13999999999999999,0.2703068358363542,0.4184654497588345
cfg_092_s6p0_m11_far2200_w0p35-0p4-0p25,6.0,11.0,2200.0,0.35,0.4,0.25,16267,0.9989560304593466,0.3168892907362405,0.19721532854476836,0.16148789083830872,0.2977209944751381,0.4497647553373485
cfg_093_s6p0_m11_far2200_w0p3-0p45-0p25,6.0,11.0,2200.0,0.3,0.45,0.25,16267,0.9989560304593466,0.32367081431924,0.20113907237296794,0.16480999055853707,0.30483466362599765,0.45999999999999996
cfg_094_s6p0_m11_far2500_w0p45-0p35-0p2,6.0,11.0,2500.0,0.45,0.35,0.2,16267,0.9989560304593466,0.28555479603695,0.19020987690186086,0.1327001774660385,0.263513986013986,0.4092268031304964
cfg_095_s6p0_m11_far2500_w0p35-0p4-0p25,6.0,11.0,2500.0,0.35,0.4,0.25,16267,0.9989560304593466,0.3091025650543897,0.1957041067770619,0.15465945691710814,0.2895783847980997,0.43844234926944936
cfg_096_s6p0_m11_far2500_w0p3-0p45-0p25,6.0,11.0,2500.0,0.3,0.45,0.25,16267,0.9989560304593466,0.31491074792715784,0.1993147212818079,0.15636172562801404,0.2959270148737461,0.44753132378016025
cfg_097_s6p0_m11_far2800_w0p45-0p35-0p2,6.0,11.0,2800.0,0.45,0.35,0.2,16267,0.9989560304593466,0.280032368217848,0.18937259704146975,0.12664045896791265,0.25687078995713414,0.401613495160989
cfg_098_s6p0_m11_far2800_w0p35-0p4-0p25,6.0,11.0,2800.0,0.35,0.4,0.25,16267,0.9989560304593466,0.30279121897541594,0.19457324219479477,0.149172643891338,0.2815372537824722,0.43319121538208527
cfg_099_s6p0_m11_far2800_w0p3-0p45-0p25,6.0,11.0,2800.0,0.3,0.45,0.25,16267,0.9989560304593466,0.3078104835883123,0.19794320339997476,0.15000000000000002,0.28689919459599894,0.4375
