ally_utility_champion_name,ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
TahmKench,MissFortune,4,0.08147535507798331,0.08051771299858523,0.1434952938365796,-0.055541500871469474,0.3802823059434393,0.4358238068149088
Varus,Kalista,1,0.08130664665339254,0.08130664665339254,0.08130664665339254,0.08130664665339254,0.35285209838814197,0.2715454517347494
Nami,Ahri,3,0.08117815897368759,0.07618528399517027,0.10962383924783424,0.04826768239709275,0.37658602607394914,0.3283183436768564
Lulu,Teemo,1,0.08102493553744602,0.08102493553744602,0.08102493553744602,0.08102493553744602,0.32335789308639784,0.24233295754895182
Swain,Twitch,5,0.0808252204503013,0.0510160716789049,0.14182718700658484,0.0149089103497962,0.3063872230556585,0.29147831270586233
Orianna,Smolder,1,0.08073241437481682,0.08073241437481682,0.08073241437481682,0.08073241437481682,0.36281120697300673,0.2820787925981899
Karma,Vex,1,0.08071168298028192,0.08071168298028192,0.08071168298028192,-0.08071168298028192,0.34156217500524994,0.42227385798553185
AurelionSol,Velkoz,1,0.08070608575079807,0.08070608575079807,0.08070608575079807,0.08070608575079807,0.6508347239675492,0.5701286382167511
Syndra,AurelionSol,1,0.08057973997428908,0.08057973997428908,0.08057973997428908,-0.08057973997428908,0.37683494463520234,0.4574146846094914
Mel,Corki,8,0.08054342482944858,0.05319293510524223,0.17689595015907225,-0.031181822492495345,0.33670445967631235,0.3678862821688077
Anivia,Poppy,1,0.08048710849645324,0.08048710849645324,0.08048710849645324,-0.08048710849645324,0.32859275573237234,0.4090798642288256
Rakan,MonkeyKing,1,0.08046695011238547,0.08046695011238547,0.08046695011238547,0.08046695011238547,0.42037970931038465,0.3399127591979992
Zoe,Brand,1,0.08045560961133036,0.08045560961133036,0.08045560961133036,-0.08045560961133036,0.46964607184075235,0.5501016814520827
Janna,Galio,1,0.08038896999664902,0.08038896999664902,0.08038896999664902,-0.08038896999664902,0.41408106934162664,0.49447003933827566
Galio,Xerath,1,0.08027887042632065,0.08027887042632065,0.08027887042632065,-0.08027887042632065,0.5218588758133025,0.6021377462396231
Shen,Trundle,1,0.08020319961502198,0.08020319961502198,0.08020319961502198,0.08020319961502198,0.36510325460703497,0.284900054992013
Ornn,Brand,2,0.07995509393859035,0.07995509393859035,0.11699631604280081,-0.04630152763026307,0.3407471202401797,0.3870486478704428
Nami,Fizz,1,0.07983765633557,0.07983765633557,0.07983765633557,0.07983765633557,0.3642177098040365,0.2843800534684665
Sylas,Lucian,6,0.07979250253000221,0.09377204983002174,0.11528091326774395,-0.04029158118043293,0.4713438677377217,0.5116354489181546
Ivern,Corki,2,0.07959765942579383,0.07959765942579383,0.07963739211982722,0.07959765942579383,0.4106641211185457,0.3310664616927519
Shen,Senna,3,0.07939098223649539,0.01627881783137719,0.17372279954187497,-0.06853843701557727,0.34464302830917265,0.4131814653247499
Swain,Senna,7,0.07913450857739737,0.04613143667439912,0.1724388836706186,0.06747985895106678,0.3255859508818503,0.2581060919307835
Ezreal,Aphelios,1,0.07887684596918643,0.07887684596918643,0.07887684596918643,0.07887684596918643,0.3034116970329873,0.2245348510638009
Xerath,Varus,12,0.07870933198780074,0.060143538373161415,0.1129547310428462,0.0173704732614056,0.3033383560307443,0.2859678827693387
Taric,KogMaw,4,0.07864769594659071,0.06446949448723385,0.13208390113357227,-0.06526612336417661,0.3198677344923071,0.38513385785648374
Fiora,Senna,2,0.07848576872585672,0.07848576872585672,0.13255983385060346,-0.07848576872585672,0.46800277348814096,0.5464885422139977
Maokai,Veigar,4,0.07830006381050035,0.0826412714298973,0.12378998671793727,-0.07830006381050035,0.4755042113411669,0.5538042751516672
Gragas,Corki,2,0.07814693502925493,0.07814693502925493,0.13005415178098567,-0.06488402093966342,0.40884932287228937,0.47373334381195276
Khazix,Velkoz,1,0.07812018790009784,0.07812018790009784,0.07812018790009784,-0.07812018790009784,0.4143049205685039,0.4924251084686017
Swain,Zeri,4,0.07810282455493206,0.05097270852333338,0.16499495985116353,0.07592366137836382,0.3373099831632109,0.2613863217848471
LeeSin,Caitlyn,1,0.07809832965546382,0.07809832965546382,0.07809832965546382,0.07809832965546382,0.4526595601813674,0.37456123052590357
Shen,Xayah,1,0.07808467227206628,0.07808467227206628,0.07808467227206628,0.07808467227206628,0.4043592053443007,0.3262745330722344
TwistedFate,Draven,1,0.07768737573121326,0.07768737573121326,0.07768737573121326,-0.07768737573121326,0.45612328308854216,0.5338106588197554
Skarner,Xayah,1,0.07735442223603839,0.07735442223603839,0.07735442223603839,-0.07735442223603839,0.4015308940712682,0.4788853163073066
Soraka,Samira,6,0.07722369369693144,0.06843878192707999,0.13484122829817943,0.030127723665255155,0.31477254472334454,0.28464482105808936
Annie,Kaisa,4,0.07722154753885133,0.05003186999261225,0.1588146864469937,0.05083489033448154,0.3892219579944063,0.3383870676599247
Amumu,Kaisa,11,0.07708969652549488,0.06206661638677735,0.1450568345821603,-0.052819967067702596,0.38650540772744135,0.43932537479514394
TahmKench,Zilean,2,0.07706000112319175,0.07706000112319175,0.07964040897397055,0.07706000112319175,0.40603350675143546,0.3289735056282437
Lux,Kalista,5,0.07692297702233211,0.05278922045428236,0.13876427810190353,0.02460974900650517,0.3296939786153989,0.30508422960889375
Nami,XinZhao,1,0.076851553736702,0.076851553736702,0.076851553736702,-0.076851553736702,0.3155495089407047,0.3924010626774067
TahmKench,Tristana,2,0.07643160657325718,0.07643160657325718,0.11140561576381237,0.043717511488194,0.3898055047012055,0.34608799321301154
Rengar,Xayah,1,0.07640119706941678,0.07640119706941678,0.07640119706941678,-0.07640119706941678,0.4338879307822823,0.5102891278516991
Leona,Aurora,2,0.07618734493655568,0.07618734493655568,0.0775490168248526,0.07618734493655568,0.4670772609747651,0.39088991603820944
Pantheon,Zilean,3,0.07608684908927738,0.03864938196306367,0.1363562845820858,0.07608684908927738,0.5559001733306251,0.47981332424134776
Camille,Lux,1,0.076079098070579,0.076079098070579,0.076079098070579,-0.076079098070579,0.5780738752529967,0.6541529733235757
Nautilus,Katarina,8,0.07606962559414072,0.06191471329026424,0.14889324981691726,0.0003956157174362651,0.3880265314941927,0.3876309157767564
TahmKench,Corki,10,0.07554506125083338,0.0703659576917437,0.1495542073980309,0.03384578592215245,0.3718704366053821,0.3380246506832296
Gragas,Viego,1,0.07547483480745548,0.07547483480745548,0.07547483480745548,-0.07547483480745548,0.39053812578657077,0.46601296059402625
Karthus,Draven,1,0.0754620166378982,0.0754620166378982,0.0754620166378982,0.0754620166378982,0.30022901801227636,0.22476700137437816
Velkoz,Heimerdinger,1,0.07544369675866336,0.07544369675866336,0.07544369675866336,0.07544369675866336,0.3651179809608442,0.28967428420218083
Syndra,Ashe,1,0.07539452606886932,0.07539452606886932,0.07539452606886932,-0.07539452606886932,0.3545080127070327,0.429902538775902
Zilean,Lux,4,0.0752977597650091,0.054196718695863344,0.15274720209768203,-0.05469410614387002,0.3891305092201302,0.4438246153640002
Camille,Twitch,1,0.0751974436435548,0.0751974436435548,0.0751974436435548,0.0751974436435548,0.4929318616898853,0.4177344180463305
Soraka,Swain,14,0.07515918694837961,0.06249549074536925,0.14801647656868933,0.045644976856490174,0.34123756914798603,0.29559259229149587
Leblanc,Lucian,1,0.07513758120783143,0.07513758120783143,0.07513758120783143,-0.07513758120783143,0.5194938854956459,0.5946314667034773
Mel,AurelionSol,3,0.07493011979686835,0.09273713028872965,0.12191992650370662,0.07493011979686835,0.37857268506270225,0.3036425652658339
Velkoz,Chogath,1,0.07487631818249701,0.07487631818249701,0.07487631818249701,0.07487631818249701,0.3965636010960234,0.3216872829135264
KogMaw,Ezreal,3,0.07472228046151883,0.037066112429338605,0.15219444783647165,0.07472228046151883,0.30722775563882226,0.23250547517730338
Heimerdinger,Xayah,1,0.07446128792264711,0.07446128792264711,0.07446128792264711,-0.07446128792264711,0.333983359864576,0.4084446477872231
Bard,Syndra,11,0.07400747800607607,0.05092166731593056,0.10031480572383206,0.03698260382433679,0.5330865279273689,0.49610392410303206
Lulu,Azir,1,0.07393620619690211,0.07393620619690211,0.07393620619690211,0.07393620619690211,0.33578908788863737,0.26185288169173526
