ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Camille,7,0.1463213153448805,0.10749664224080221,0.26661724760243577,0.015660093353588454,0.3644460303419778,0.3487859369883894
Riven,6,0.14621517530914838,0.09469734103886593,0.3131339845139653,-0.0563174703066307,0.4203004493973354,0.4766179197039661
Teemo,4,0.14595771330215437,0.140005687310837,0.20799566402941208,-0.018712772375491626,0.3624224988252678,0.3811352712007594
Zilean,135,0.14595253507208028,0.10637791737714031,0.29988740126380803,-0.024603968158083054,0.46769828933894675,0.4923022574970299
AurelionSol,657,0.14563578413796244,0.12449679103933792,0.2933903561247177,0.020590399546921965,0.44322089674009785,0.4226304971931759
Velkoz,517,0.14541538065283022,0.12800261968276977,0.28875675092714786,-0.0015294501157492339,0.45556478339809064,0.4570942335138399
KogMaw,738,0.14490071260204,0.13044643397953337,0.2859672716290309,-0.0015518783672579697,0.36719663735143887,0.3687485157186969
Karthus,531,0.14488016139066137,0.12746461294046363,0.2936424962314568,0.00037217428067250555,0.4346051033327277,0.4342329290520552
Sett,1,0.14478387842490906,0.14478387842490906,0.14478387842490906,0.14478387842490906,0.2982301591363945,0.15344628071148544
Cassiopeia,232,0.14451404253411237,0.12246283311812595,0.29381578560926375,0.00017156845342056982,0.38517270897910605,0.38500114052568546
Smolder,1412,0.14440980284108165,0.12717921943099258,0.28361813337129993,0.003709405062988119,0.39709452355399855,0.39338511849101043
Hwei,273,0.14435957227063329,0.12813433144318687,0.2972006948395562,0.0028856825220449226,0.4603230183067457,0.45743733578470075
Veigar,443,0.1435379004362269,0.12297221543216569,0.2945858588454953,-0.0035670113728674424,0.4475400013148698,0.4511070126877373
Corki,3015,0.1432093557957131,0.12411077165503276,0.29439600231552726,-1.3147676552601922e-06,0.39426464470714356,0.3942659594747988
Katarina,181,0.14298195603422628,0.13411978039252354,0.258215122631539,-0.005983375658795428,0.3669653654616822,0.37294874112047754
Ashe,2105,0.14296293154056666,0.12223828373806278,0.2899128532604586,-0.001820524852915733,0.3611505616638217,0.3629710865167375
Kayle,7,0.14265296874645353,0.15026286112223108,0.21408909850581806,0.02449555720086651,0.36074473673069324,0.33624917952982675
Yunara,4244,0.1421928912139136,0.12393224715497655,0.2890011348127184,0.004204404796064927,0.3749789592547554,0.37077455445869045
Mel,748,0.14197764041062458,0.12731768729031012,0.2778430870278464,0.0024384666298885326,0.44736676889336646,0.44492830226347796
Draven,1467,0.14172249627139746,0.12451629989065438,0.28697773042040436,0.0073660823148046445,0.37581011093562955,0.3684440286208249
Zeri,823,0.14171508073570843,0.12122924983467678,0.2980173320526489,0.0006224765439033923,0.36132232830519573,0.3606998517612923
MissFortune,1130,0.14162539289113832,0.12279877738671417,0.28562550649153323,0.0008095957010287401,0.40679240139039613,0.40598280568936734
Swain,631,0.14161768851841253,0.117696285056063,0.28510953207448964,0.008908448269854784,0.41647636299033897,0.4075679147204842
Varus,2558,0.14126369327531862,0.12199142443289296,0.28367185405870804,-0.00879354426137969,0.40434988657021137,0.4131434308315911
Ezreal,4650,0.14126127899833588,0.12302432687953685,0.28675748094823145,-0.0036486520577474293,0.4163641644308951,0.4200128164886425
Jinx,2638,0.14064506718267478,0.12300843548022422,0.28904038951507577,0.002106497086281216,0.3664947778805988,0.36438828079431757
Seraphine,461,0.14056265031129367,0.11904208556577184,0.2825380383111056,0.013389559132449526,0.44057704007887083,0.42718748094642134
Twitch,1284,0.14050661229137082,0.1230099941479896,0.29074420175779286,-0.002242132201501581,0.35819663271193025,0.36043876491343185
Kaisa,3833,0.1402188428719098,0.12128962954475664,0.28670670720927527,-0.0009363337933236406,0.39854665425269725,0.3994829880460209
Lux,328,0.13996011359756913,0.12441887183416497,0.2787528975335513,-0.00301362426577795,0.4334934834832181,0.43650710774899604
Vayne,1037,0.1397019486258947,0.1245501851452534,0.28361799446818187,-4.5944892102837334e-05,0.35285429925298173,0.35290024414508453
Xerath,114,0.13967667363022263,0.11134325570975649,0.29391520809497035,-0.020620167058036314,0.43330228762157913,0.45392245467961545
Sivir,1586,0.139013202120365,0.11633780847931167,0.28823206967788717,-0.002916938511765476,0.4159187622787981,0.4188357007905636
Brand,259,0.13894112952340604,0.12336610442887597,0.2708534384435785,0.021089606362806674,0.40613781659037673,0.3850482102275701
Olaf,30,0.1387643156081239,0.11739288271451931,0.229830861309929,0.0827443505410817,0.3409882795369982,0.25824392899591647
Lucian,1680,0.13876095084329418,0.11867872806570594,0.279598313901186,0.002021185566399435,0.3398282639571387,0.33780707839073926
Viktor,98,0.13855676188207514,0.13268319914820284,0.2549974099508096,-0.0009351910301211328,0.4190916203345457,0.4200268113646668
Fiora,46,0.13840996069195394,0.1095199936790811,0.3154201684154153,0.004933830376463358,0.3798663418481903,0.37493251147172696
Xayah,1010,0.13811135314448025,0.11320385184189093,0.278858440172224,0.0009935067707026247,0.3928410766586051,0.39184756988790254
Yasuo,696,0.13797607127026382,0.12044399497012712,0.2803920319862801,0.014056864860638913,0.39337393991876746,0.37931707505812856
Nilah,493,0.1378100063073959,0.11741843577616656,0.27170216246144535,0.020824634655358543,0.3265836482142193,0.30575901355886076
Darius,3,0.13761200105104904,0.1267398563726171,0.2354316902370785,0.05311876346930431,0.5088740775006169,0.4557553140313126
Senna,734,0.1374933584819927,0.11653958869514833,0.2758353781762116,0.014369179686448743,0.3892501281758728,0.37488094848942405
Kalista,633,0.13672832708227498,0.12186170497696369,0.2743975989300337,0.0024438239355458785,0.34864451915891986,0.346200695223374
Aphelios,2429,0.13645270267711723,0.11731753138706208,0.28261897780951756,0.00010945945025483736,0.3634839723030197,0.36337451285276484
Jhin,3651,0.1364010895955691,0.11790332169929157,0.27697786134125885,0.0015392145830816174,0.41107456724162317,0.4095353526585416
Caitlyn,3409,0.13638329093030366,0.11841762143168222,0.2827680043718845,-9.956787974697737e-06,0.38644153240768686,0.3864514891956616
Jax,5,0.13597876546741366,0.09957786843391842,0.2682784348943969,0.06422490386805924,0.3387672737696451,0.2745423699015858
Ziggs,623,0.13578505149236172,0.12036332733018684,0.272807093217048,-0.00666088343500179,0.4661648688489463,0.47282575228394813
Ahri,21,0.13470426746588549,0.10218721083865018,0.29927761968600153,-0.028061232006794366,0.447238999094875,0.4753002311016694
Zed,20,0.13427363096672598,0.10852118368733127,0.30978487111900355,-0.019101092696357774,0.47098672944420955,0.4900878221405673
