ally_utility_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Renata,393,0.1457473369653388,0.13063945815095124,0.30630876121767225,-0.005660654372739487,0.34462238345863255,0.35028303783137205
Taric,699,0.1453780256835659,0.13220028394232697,0.2908924160453628,0.013649223233952526,0.32537343743000874,0.3117242141960562
Rell,1849,0.14527463124566217,0.1275728652167606,0.2945110399474387,0.004012626969883642,0.43706471594097895,0.43305208897109526
Jhin,3,0.14481726724225702,0.08647939734457089,0.25788140098749884,0.08716433567920977,0.3389733116427436,0.2518089759635338
Camille,99,0.14478980304052275,0.13629825662076162,0.2597929456971536,-0.019045702579537284,0.496354057100634,0.5153997596801714
Nami,5283,0.14411947548567317,0.12662736101731537,0.2889791291704549,0.005441763641543644,0.3472823234022342,0.34184055976069055
Galio,113,0.14404566110480826,0.13658954464734557,0.28315391911939447,-0.0007640637397863889,0.4398992484177536,0.44066331215753995
Veigar,48,0.1438542368589958,0.13504522347484932,0.26758710802395436,0.01101373793073341,0.3372254543787965,0.32621171644806307
Zoe,288,0.14369552103121228,0.13351521824861787,0.27753813213551826,-0.002335755755504704,0.4259598966218094,0.4282956523773141
Senna,1553,0.14341719654869226,0.12701387035879902,0.28785249017924186,-0.0028326937308718802,0.31166270786668804,0.31449540159755995
Ahri,15,0.14296050626744058,0.1135067666174086,0.2704471458180894,0.04284558222488661,0.39348462709232906,0.35063904486744246
Maokai,378,0.14281814940276816,0.11790383367080576,0.28974126433914765,0.0025062132576623795,0.4214583048905154,0.41895209163285296
Sejuani,10,0.14259161672013437,0.09471505013626216,0.27728086717162914,-0.08903455133955185,0.41027009436797013,0.499304645707522
Nidalee,125,0.14257362480290633,0.10761155825396707,0.3160039604325665,-0.016512856282969137,0.4531027200797937,0.46961557636276285
Hwei,81,0.14249263721004882,0.1332627167860738,0.28739098994187334,0.033410459309105245,0.3287754001550348,0.29536494084592957
Blitzcrank,1307,0.14213300251755528,0.12209328372285994,0.2913539595915755,0.0011469234564293047,0.4350679826938016,0.43392105923737234
KSante,34,0.1418390631025399,0.11626764016178986,0.26699425896106443,0.03679085854506111,0.3729289271856738,0.3361380686406127
Seraphine,1115,0.14157702217669613,0.12955772570895993,0.280671907388161,0.004608290078993896,0.3166367769323808,0.31202848685338685
Sylas,214,0.1412099054576912,0.11239257657340732,0.2947305445224886,-0.009357511657009774,0.48336912613192157,0.4927266377889313
Lulu,3367,0.14073912703229224,0.1243603179964439,0.28368367718317083,-0.0016379882425334145,0.32343849185632756,0.325076480098861
Evelynn,2,0.1407197129318457,0.1407197129318457,0.22523066857575594,-0.10563869455488778,0.455576688376332,0.5612153829312198
Quinn,7,0.14071160908717376,0.11503976401784327,0.24981562619477618,-0.0889321580610168,0.44208299356697556,0.5310151516279924
Leona,1845,0.13989383851353704,0.11910356659767196,0.28452507886912676,0.00016113721273136727,0.4163484089168473,0.41618727170411596
Nautilus,4402,0.13982539030079386,0.12248265800621316,0.2827294246542869,0.0021266371782569884,0.4171968397548676,0.41507020257661054
Alistar,2111,0.13979382028878867,0.11960902521680705,0.2845157327751185,-0.0007820169687900123,0.4504850901052055,0.45126710707399553
Ivern,55,0.13960648523498015,0.12072531093972816,0.26743240964092385,-0.010341724960611613,0.40538819100450446,0.41572991596511605
Pyke,1770,0.1395066428601086,0.12069726088617497,0.28983256262066465,-0.009948929034876902,0.4900356947697049,0.49998462380458175
Thresh,2928,0.13889852735539462,0.11927925322468386,0.28668851844715976,0.0003383664781512012,0.3787217934153432,0.378383426937192
Braum,2175,0.1386282407611603,0.12187125465322157,0.28421034166018505,-0.0026592539716742873,0.3593161341265724,0.36197538809824664
Soraka,1095,0.1384226166529514,0.12042181839968896,0.28043245680783013,0.007096275018610857,0.3244547106507544,0.31735843563214355
Neeko,1432,0.13815208999844975,0.12062521441509108,0.27271054362107,-0.004239885405792036,0.40957277182238755,0.4138126572281796
Heimerdinger,32,0.13791511322769756,0.131992713943075,0.24601585997145708,0.10474942990110407,0.33135017501529096,0.22660074511418687
Karma,4100,0.137561982522315,0.11912713437094058,0.2820162025915679,0.0018366138877256748,0.3884749355640078,0.3866383216762822
Sion,17,0.1374066889549888,0.07930680042194,0.2676434343536595,-0.08296706958731885,0.36121893162984725,0.44418600121716606
Mel,121,0.1372020854600676,0.1089607678329681,0.2918310839110168,-0.006299731558701571,0.3415452968705481,0.34784502842924964
Katarina,6,0.13696513542712982,0.12843362414826437,0.25404591116578,-0.051342719328286886,0.34734936492362145,0.39869208425190833
Lux,462,0.1369248778963779,0.1151062245770447,0.28364906638084847,0.0035888068862400596,0.35499122465502636,0.3514024177687863
FiddleSticks,223,0.1368307138014791,0.11382764173750953,0.29251080259045703,-0.014681446130296856,0.39593587359534294,0.41061731972563975
Rakan,2273,0.13679371346760386,0.11626940180874068,0.27710274428615983,0.0026701925500386145,0.4178884495904448,0.4152182570404062
Bard,3468,0.13632288480308768,0.11471379381232802,0.2825503823051416,-0.0028571573115054216,0.5036051560523459,0.5064623133638514
Smolder,3,0.13600493799624624,0.09253823483314849,0.22266675146871992,0.09581980564426125,0.36387240045456354,0.2680525948103023
Zyra,221,0.13593147212854403,0.11819147209003461,0.26757821760832184,-0.0014305507908392657,0.3064997639585288,0.30793031474936805
Milio,1171,0.13556996576279337,0.11809323696037277,0.2669069649624879,0.007094204134048001,0.2980250393927183,0.2909308352586703
Poppy,480,0.13524600187833713,0.11175310476125636,0.29309970576992384,-0.008016382899503757,0.48544746153726676,0.49346384443677055
Ezreal,15,0.13457193396408546,0.13860174459193852,0.27464848250294227,0.05106069695389972,0.36967234851286157,0.3186116515589619
Ryze,3,0.13376469071371092,0.12338154668877566,0.24430821569795141,0.13376469071371092,0.3831337843780906,0.24936909366437968
Briar,3,0.13267311430926562,0.14147363503481902,0.2161015166309178,0.02383254371069606,0.5194729948813818,0.4956404511706858
TahmKench,213,0.13223077289541077,0.1120717689319693,0.2846528299844607,0.016760441645720506,0.3665334911153503,0.3497730494696297
Nunu,4,0.13214568236074253,0.11586292896157036,0.19380979984847008,-0.01934853106181643,0.5995598159494284,0.6189083470112448
Velkoz,510,0.13139604399223057,0.11239769714465761,0.27316006900074735,0.008185810509189836,0.33436222283944195,0.32617641233025213
Swain,182,0.13109894915675688,0.11155413111727076,0.28741851866949947,0.02281447671681589,0.33260232472120804,0.3097878480043922
Gragas,51,0.1310985605169775,0.10167798888100266,0.30000890801794106,0.0076946194074054486,0.41828211134417226,0.41058749193676675
Kennen,17,0.1308487216524134,0.11645905932386025,0.2733174595984143,-0.028545219038672492,0.42282608473884914,0.45137130377752166
Ashe,72,0.13052401213767195,0.09302840422494354,0.26752676760944033,0.019487024533720754,0.34448007102104544,0.3249930464873247
Xerath,135,0.13034657218848464,0.11237081921854372,0.24990853970454224,-0.002796589184119148,0.2965302809203495,0.2993268701044686
Leblanc,130,0.12989640567947808,0.10797067354547685,0.2729812759731328,0.01939893321354653,0.5210089379072655,0.5016100046937191
