match_id,team_id,label_m06,label_m08,label_m10,label_m12,label_m14,label_path,n_observed_windows,n_label_changes,n_extreme_flips_ignore_ambiguous,is_fully_stable,has_any_change
EUW1_7712847850,100,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712847850,200,farm_oriented,farm_oriented,ambiguous,farm_oriented,farm_oriented,farm_oriented | farm_oriented | ambiguous | farm_oriented | farm_oriented,5,2,0,False,True
EUW1_7712850971,100,ambiguous,map_presence,ambiguous,map_presence,map_presence,ambiguous | map_presence | ambiguous | map_presence | map_presence,5,3,0,False,True
EUW1_7712850971,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712857434,100,map_presence,map_presence,ambiguous,map_presence,ambiguous,map_presence | map_presence | ambiguous | map_presence | ambiguous,5,3,0,False,True
EUW1_7712857434,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712858481,100,ambiguous,ambiguous,ambiguous,ambiguous,map_presence,ambiguous | ambiguous | ambiguous | ambiguous | map_presence,5,1,0,False,True
EUW1_7712858481,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712859322,100,ambiguous,ambiguous,ambiguous,farm_oriented,farm_oriented,ambiguous | ambiguous | ambiguous | farm_oriented | farm_oriented,5,1,0,False,True
EUW1_7712859322,200,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented,ambiguous | ambiguous | ambiguous | ambiguous | farm_oriented,5,1,0,False,True
EUW1_7712873489,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712873489,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712877673,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
