match_id,team_id,label_m06,label_m08,label_m10,label_m12,label_m14,label_path,n_observed_windows,n_label_changes,n_extreme_flips_ignore_ambiguous,is_fully_stable,has_any_change
EUW1_7697313682,200,farm_oriented,ambiguous,map_presence,map_presence,map_presence,farm_oriented | ambiguous | map_presence | map_presence | map_presence,5,2,0,False,True
EUW1_7697314685,100,farm_oriented,ambiguous,map_presence,map_presence,map_presence,farm_oriented | ambiguous | map_presence | map_presence | map_presence,5,2,0,False,True
EUW1_7697314685,200,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697314783,100,ambiguous,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous | farm_oriented | ambiguous | ambiguous | ambiguous,5,2,0,False,True
EUW1_7697314783,200,ambiguous,ambiguous,map_presence,map_presence,map_presence,ambiguous | ambiguous | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7697314818,100,map_presence,ambiguous,ambiguous,ambiguous,farm_oriented,map_presence | ambiguous | ambiguous | ambiguous | farm_oriented,5,2,0,False,True
EUW1_7697314818,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697314864,100,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697314864,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697314931,100,ambiguous,ambiguous,ambiguous,ambiguous,map_presence,ambiguous | ambiguous | ambiguous | ambiguous | map_presence,5,1,0,False,True
EUW1_7697314931,200,map_presence,ambiguous,map_presence,map_presence,map_presence,map_presence | ambiguous | map_presence | map_presence | map_presence,5,2,0,False,True
EUW1_7697315404,100,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697315404,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697315603,100,,farm_oriented,farm_oriented,farm_oriented,farm_oriented,nan | farm_oriented | farm_oriented | farm_oriented | farm_oriented,4,0,0,True,False
EUW1_7697315603,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697316421,100,ambiguous,ambiguous,ambiguous,map_presence,map_presence,ambiguous | ambiguous | ambiguous | map_presence | map_presence,5,1,0,False,True
EUW1_7697316421,200,map_presence,map_presence,map_presence,ambiguous,ambiguous,map_presence | map_presence | map_presence | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697316490,100,ambiguous,ambiguous,ambiguous,ambiguous,map_presence,ambiguous | ambiguous | ambiguous | ambiguous | map_presence,5,1,0,False,True
EUW1_7697316490,200,farm_oriented,farm_oriented,farm_oriented,ambiguous,ambiguous,farm_oriented | farm_oriented | farm_oriented | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697316662,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7697316662,200,ambiguous,map_presence,map_presence,map_presence,map_presence,ambiguous | map_presence | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7697317105,100,ambiguous,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,1,0,False,True
EUW1_7697317105,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697317509,100,ambiguous,ambiguous,ambiguous,farm_oriented,ambiguous,ambiguous | ambiguous | ambiguous | farm_oriented | ambiguous,5,2,0,False,True
